fips,county,state,start_date,avg_delta_cases_per_100k
06075,San Francisco,California,2020-09-11,16.843965358637192
06001,Alameda,California,2020-09-11,21.179409757771968
06013,Contra Costa,California,2020-09-11,23.461560542693817
06041,Marin,California,2020-09-11,15.203962352910555
06055,Napa,California,2020-09-11,30.874214986887335
06081,San Mateo,California,2020-09-11,23.13665983980166
06085,Santa Clara,California,2020-09-11,27.129428057413985
06095,Solano,California,2020-09-11,30.26872060911744
06097,Sonoma,California,2020-09-11,25.45486718607945
41051,Multnomah,Oregon,2020-09-11,17.50240894476324
41009,Columbia,Oregon,2020-09-11,12.02906483155214
41027,Hood River,Oregon,2020-09-11,19.221892023033686
41005,Clackamas,Oregon,2020-09-11,14.964605745237245
41067,Washington,Oregon,2020-09-11,16.084792947496922
53033,King,Washington,2020-09-11,15.794582808795498
53061,Snohomish,Washington,2020-09-11,16.05489575603151
53035,Kitsap,Washington,2020-09-11,9.709438472179274
53037,Kittitas,Washington,2020-09-11,22.797946035817574
53077,Yakima,Washington,2020-09-11,34.04314462628115
53053,Pierce,Washington,2020-09-11,19.237346815938565
53007,Chelan,Washington,2020-09-11,29.2668282305321
