fips,county,state,start_date,avg_delta_cases_per_100k
06075,San Francisco,California,2022-03-11,38.21088679453067
06001,Alameda,California,2022-03-11,32.04376175919241
06013,Contra Costa,California,2022-03-11,31.398623832301876
06041,Marin,California,2022-03-11,31.019043910745268
06055,Napa,California,2022-03-11,27.4752387146458
06081,San Mateo,California,2022-03-11,37.575228743874206
06085,Santa Clara,California,2022-03-11,36.01999041473016
06095,Solano,California,2022-03-11,30.36751448395566
06097,Sonoma,California,2022-03-11,29.08420362248429
41051,Multnomah,Oregon,2022-03-11,30.01786762852252
41009,Columbia,Oregon,2022-03-11,20.205424178055917
41027,Hood River,Oregon,2022-03-11,19.401054621430706
41005,Clackamas,Oregon,2022-03-11,22.51530408723479
41067,Washington,Oregon,2022-03-11,24.998228514782443
53033,King,Washington,2022-03-11,33.92446181638598
53061,Snohomish,Washington,2022-03-11,27.013155860852518
53035,Kitsap,Washington,2022-03-11,18.784139910189822
53037,Kittitas,Washington,2022-03-11,20.825183126711543
53077,Yakima,Washington,2022-03-11,19.6821855667243
53053,Pierce,Washington,2022-03-11,22.365531924818495
53007,Chelan,Washington,2022-03-11,20.886817891936115
