fips,county,state,start_date,avg_delta_cases_per_100k,end_date,mid_date
06075,San Francisco,California,2020-03-10,6.264055393424344,2020-09-10,2020-06-10
06001,Alameda,California,2020-03-10,6.320640597085346,2020-09-10,2020-06-10
06013,Contra Costa,California,2020-03-10,6.939462323320397,2020-09-10,2020-06-10
06041,Marin,California,2020-03-10,13.152230552519868,2020-09-10,2020-06-10
06055,Napa,California,2020-03-10,6.071589307317779,2020-09-10,2020-06-10
06081,San Mateo,California,2020-03-10,6.045713691432459,2020-09-10,2020-06-10
06085,Santa Clara,California,2020-03-10,5.279818335958455,2020-09-10,2020-06-10
06095,Solano,California,2020-03-10,6.816410798536734,2020-09-10,2020-06-10
06097,Sonoma,California,2020-03-10,7.13145715418992,2020-09-10,2020-06-10
41051,Multnomah,Oregon,2020-03-10,4.236202831695377,2020-09-10,2020-06-10
41009,Columbia,Oregon,2020-03-10,1.404560618580799,2020-09-10,2020-06-10
41027,Hood River,Oregon,2020-03-10,5.368861057033998,2020-09-10,2020-06-10
41005,Clackamas,Oregon,2020-03-10,2.702267678549906,2020-09-10,2020-06-10
41067,Washington,Oregon,2020-03-10,3.6157129298379935,2020-09-10,2020-06-10
53033,King,Washington,2020-03-10,4.9151241483590775,2020-09-10,2020-06-10
53061,Snohomish,Washington,2020-03-10,4.261496719321628,2020-09-10,2020-06-10
53035,Kitsap,Washington,2020-03-10,2.112596493775728,2020-09-10,2020-06-10
53037,Kittitas,Washington,2020-03-10,5.8297271239265465,2020-09-10,2020-06-10
53077,Yakima,Washington,2020-03-10,23.823256909770915,2020-09-10,2020-06-10
53053,Pierce,Washington,2020-03-10,4.252505787279372,2020-09-10,2020-06-10
53007,Chelan,Washington,2020-03-10,12.995402833611774,2020-09-10,2020-06-10
06075,San Francisco,California,2020-09-11,16.843965358637192,2021-03-10,2020-12-10
06001,Alameda,California,2020-09-11,21.179409757771968,2021-03-10,2020-12-10
06013,Contra Costa,California,2020-09-11,23.461560542693817,2021-03-10,2020-12-10
06041,Marin,California,2020-09-11,15.203962352910557,2021-03-10,2020-12-10
06055,Napa,California,2020-09-11,30.87421498688733,2021-03-10,2020-12-10
06081,San Mateo,California,2020-09-11,23.13665983980166,2021-03-10,2020-12-10
06085,Santa Clara,California,2020-09-11,27.129428057413985,2021-03-10,2020-12-10
06095,Solano,California,2020-09-11,30.26872060911744,2021-03-10,2020-12-10
06097,Sonoma,California,2020-09-11,25.45486718607945,2021-03-10,2020-12-10
41051,Multnomah,Oregon,2020-09-11,17.50240894476324,2021-03-10,2020-12-10
41009,Columbia,Oregon,2020-09-11,12.02906483155214,2021-03-10,2020-12-10
41027,Hood River,Oregon,2020-09-11,19.22189202303369,2021-03-10,2020-12-10
41005,Clackamas,Oregon,2020-09-11,14.964605745237243,2021-03-10,2020-12-10
41067,Washington,Oregon,2020-09-11,16.084792947496922,2021-03-10,2020-12-10
53033,King,Washington,2020-09-11,15.794582808795498,2021-03-10,2020-12-10
53061,Snohomish,Washington,2020-09-11,16.05489575603151,2021-03-10,2020-12-10
53035,Kitsap,Washington,2020-09-11,9.709438472179274,2021-03-10,2020-12-10
53037,Kittitas,Washington,2020-09-11,22.79794603581757,2021-03-10,2020-12-10
53077,Yakima,Washington,2020-09-11,34.04314462628115,2021-03-10,2020-12-10
53053,Pierce,Washington,2020-09-11,19.237346815938565,2021-03-10,2020-12-10
53007,Chelan,Washington,2020-09-11,29.2668282305321,2021-03-10,2020-12-10
06075,San Francisco,California,2021-03-11,9.895175267028495,2021-09-10,2021-06-10
06001,Alameda,California,2021-03-11,10.077861679665828,2021-09-10,2021-06-10
06013,Contra Costa,California,2021-03-11,13.731459494641202,2021-09-10,2021-06-10
06041,Marin,California,2021-03-11,6.931874700883424,2021-09-10,2021-06-10
06055,Napa,California,2021-03-11,11.287149878992182,2021-09-10,2021-06-10
06081,San Mateo,California,2021-03-11,8.09612017392269,2021-09-10,2021-06-10
06085,Santa Clara,California,2021-03-11,7.404464021166181,2021-09-10,2021-06-10
06095,Solano,California,2021-03-11,15.466686554071922,2021-09-10,2021-06-10
06097,Sonoma,California,2021-03-11,11.066555742373634,2021-09-10,2021-06-10
41051,Multnomah,Oregon,2021-03-11,11.66227026319627,2021-09-10,2021-06-10
41009,Columbia,Oregon,2021-03-11,18.050563643406672,2021-09-10,2021-06-10
41027,Hood River,Oregon,2021-03-11,10.83075501193188,2021-09-10,2021-06-10
41005,Clackamas,Oregon,2021-03-11,15.085931847905082,2021-09-10,2021-06-10
41067,Washington,Oregon,2021-03-11,10.7738875390532,2021-09-10,2021-06-10
53033,King,Washington,2021-03-11,13.47466563125862,2021-09-10,2021-06-10
53061,Snohomish,Washington,2021-03-11,14.986819451102798,2021-09-10,2021-06-10
53035,Kitsap,Washington,2021-03-11,14.082659453746077,2021-09-10,2021-06-10
53037,Kittitas,Washington,2021-03-11,21.42505855371116,2021-09-10,2021-06-10
53077,Yakima,Washington,2021-03-11,22.232903274211,2021-09-10,2021-06-10
53053,Pierce,Washington,2021-03-11,21.40446481489243,2021-09-10,2021-06-10
53007,Chelan,Washington,2021-03-11,20.907202268904907,2021-09-10,2021-06-10
06075,San Francisco,California,2021-09-11,55.42158868665994,2022-03-10,2021-12-10
06001,Alameda,California,2021-09-11,51.703153383480746,2022-03-10,2021-12-10
06013,Contra Costa,California,2021-09-11,50.55861415587649,2022-03-10,2021-12-10
06041,Marin,California,2021-09-11,39.44597847946913,2022-03-10,2021-12-10
06055,Napa,California,2021-09-11,59.39653482174797,2022-03-10,2021-12-10
06081,San Mateo,California,2021-09-11,56.82915312142432,2022-03-10,2021-12-10
06085,Santa Clara,California,2021-09-11,53.72991785122552,2022-03-10,2021-12-10
06095,Solano,California,2021-09-11,53.20018425783399,2022-03-10,2021-12-10
06097,Sonoma,California,2021-09-11,53.12554186436049,2022-03-10,2021-12-10
