2020,2021,2022,2023,county,state
331526933,332048977,333271411,334914895,United States,
58915,59203,59726,60342,Autauga,Alabama
233227,239439,246531,253507,Baldwin,Alabama
24969,24533,24700,24585,Barbour,Alabama
22188,22359,21986,21868,Bibb,Alabama
59107,59079,59516,59816,Blount,Alabama
10229,10143,10143,9897,Bullock,Alabama
19025,18890,18668,18382,Butler,Alabama
116243,115678,115780,116429,Calhoun,Alabama
34651,34488,34164,34079,Chambers,Alabama
24969,25074,25353,25666,Cherokee,Alabama
45057,45259,45848,46431,Chilton,Alabama
12626,12548,12431,12252,Choctaw,Alabama
22987,22740,22574,22337,Clarke,Alabama
14212,14170,14183,14111,Clay,Alabama
15064,15156,15372,15639,Cleburne,Alabama
53549,54199,54840,55643,Coffee,Alabama
57304,57644,57993,58361,Colbert,Alabama
11554,11320,11224,11174,Conecuh,Alabama
10335,10314,10307,10268,Coosa,Alabama
37506,37570,37603,37952,Covington,Alabama
13163,13069,13048,13101,Crenshaw,Alabama
88136,89639,90663,92016,Cullman,Alabama
49257,49395,49495,49871,Dale,Alabama
38171,37515,36729,36165,Dallas,Alabama
71659,71912,72082,72569,DeKalb,Alabama
87861,88789,89600,90441,Elmore,Alabama
36685,36660,36636,36558,Escambia,Alabama
103453,103010,102903,103241,Etowah,Alabama
16331,16127,16082,15967,Fayette,Alabama
32078,31998,31910,31802,Franklin,Alabama
26698,26620,26760,26988,Geneva,Alabama
7700,7614,7452,7341,Greene,Alabama
14772,14726,14599,14888,Hale,Alabama
17169,17433,17670,17899,Henry,Alabama
107284,107470,108047,108462,Houston,Alabama
52545,52719,52923,53467,Jackson,Alabama
674717,669990,665084,662895,Jefferson,Alabama
13953,13736,13706,13661,Lamar,Alabama
94025,94853,95875,96814,Lauderdale,Alabama
33089,33073,33187,33502,Lawrence,Alabama
174754,177596,180698,183215,Lee,Alabama
104203,107303,110868,114654,Limestone,Alabama
10285,9945,9783,9717,Lowndes,Alabama
19464,18905,18532,18370,Macon,Alabama
390503,396671,403605,412600,Madison,Alabama
19270,18985,18791,18684,Marengo,Alabama
29176,29001,29182,29244,Marion,Alabama
97702,98286,99428,100756,Marshall,Alabama
414377,413383,411398,411640,Mobile,Alabama
19706,19550,19412,19229,Monroe,Alabama
228342,226935,226301,224980,Montgomery,Alabama
123288,123375,124231,125133,Morgan,Alabama
8458,8328,7904,7738,Perry,Alabama
18969,18618,18749,18688,Pickens,Alabama
32900,32746,33008,33137,Pike,Alabama
22086,22184,22460,22786,Randolph,Alabama
59258,58681,58594,58744,Russell,Alabama
91657,92874,93881,95552,St. Clair,Alabama
223912,227453,230033,233000,Shelby,Alabama
12191,11967,11889,11727,Sumter,Alabama
81575,80734,80748,81132,Talladega,Alabama
41284,41099,40913,40677,Tallapoosa,Alabama
231547,235670,236690,237373,Tuscaloosa,Alabama
65138,64636,64438,64728,Walker,Alabama
15329,15223,15094,15022,Washington,Alabama
10534,10423,10139,9944,Wilcox,Alabama
23493,23655,23741,23611,Winston,Alabama
3427,3417,3430,3461,Aleutians East Borough,Alaska
5214,5147,5090,5160,Aleutians West Census Area,Alaska
290893,289169,286983,286075,Anchorage Municipality,Alaska
18661,18594,18259,18224,Bethel Census Area,Alaska
830,842,870,844,Bristol Bay Borough,Alaska
7080,6971,6899,6769,Chugach Census Area,Alaska
2614,2621,2609,2674,Copper River Census Area,Alaska
1614,1595,1575,1584,Denali Borough,Alaska
4838,4796,4724,4607,Dillingham Census Area,Alaska
95337,95593,95202,94840,Fairbanks North Star Borough,Alaska
2084,2074,2070,2070,Haines Borough,Alaska
2358,2330,2279,2262,Hoonah-Angoon Census Area,Alaska
32209,31979,31740,31555,Juneau City and Borough,Alaska
58942,59946,60611,61223,Kenai Peninsula Borough,Alaska
13915,13866,13772,13738,Ketchikan Gateway Borough,Alaska
13047,12878,12639,12565,Kodiak Island Borough,Alaska
8371,8377,8214,8001,Kusilvak Census Area,Alaska
1450,1419,1377,1331,Lake and Peninsula Borough,Alaska
107504,110998,113472,115239,Matanuska-Susitna Borough,Alaska
10029,9894,9791,9763,Nome Census Area,Alaska
11004,11054,10811,10603,North Slope Borough,Alaska
7797,7635,7453,7361,Northwest Arctic Borough,Alaska
3403,3381,3370,3427,Petersburg Borough,Alaska
5741,5720,5650,5696,Prince of Wales-Hyder Census Area,Alaska
8426,8383,8353,8282,Sitka City and Borough,Alaska
1238,1147,1092,1095,Skagway Municipality,Alaska
6821,7007,7016,7077,Southeast Fairbanks Census Area,Alaska
2126,2102,2071,2064,Wrangell City and Borough,Alaska
682,710,685,687,Yakutat City and Borough,Alaska
5309,5278,5169,5129,Yukon-Koyukuk Census Area,Alaska
65913,65389,65533,65036,Apache,Arizona
125527,126119,125487,124640,Cochise,Arizona
145192,142897,144223,144472,Coconino,Arizona
53351,53549,53922,54003,Gila,Arizona
38646,38921,38822,39525,Graham,Arizona
9528,9400,9327,9369,Greenlee,Arizona
16569,16385,16535,16710,La Paz,Arizona
4445059,4499438,4555833,4585871,Maricopa,Arizona
214185,217164,220905,223682,Mohave,Arizona
106763,107726,108800,109175,Navajo,Arizona
1045175,1048914,1057476,1063162,Pima,Arizona
430187,448993,465037,484239,Pinal,Arizona
47712,47956,48680,49158,Santa Cruz,Arizona
237217,242352,246230,249081,Yavapai,Arizona
205659,207284,208874,213221,Yuma,Arizona
17107,16687,16498,16307,Arkansas,Arkansas
18957,18654,18348,18262,Ashley,Arkansas
41686,42224,42485,42875,Baxter,Arkansas
286618,294297,302822,311013,Benton,Arkansas
37381,37894,38280,38530,Boone,Arkansas
10495,10343,10168,10104,Bradley,Arkansas
4736,4728,4687,4641,Calhoun,Arkansas
28240,28539,28717,28814,Carroll,Arkansas
10156,10052,9834,9538,Chicot,Arkansas
21385,21244,21276,21274,Clark,Arkansas
14529,14362,14271,14201,Clay,Arkansas
24704,25028,25253,25445,Cleburne,Arkansas
7552,7486,7467,7378,Cleveland,Arkansas
22744,22490,22286,22150,Columbia,Arkansas
20730,20902,21021,21077,Conway,Arkansas
111619,111794,112863,113993,Craighead,Arkansas
60142,60430,61041,61891,Crawford,Arkansas
48076,47438,47051,47139,Crittenden,Arkansas
16795,16672,16590,16420,Cross,Arkansas
6444,6309,6196,6185,Dallas,Arkansas
11324,11048,10758,10479,Desha,Arkansas
17313,17057,16912,16945,Drew,Arkansas
123820,125608,127565,129951,Faulkner,Arkansas
17139,17166,17270,17468,Franklin,Arkansas
12054,12147,12355,12421,Fulton,Arkansas
100258,100393,99982,99784,Garland,Arkansas
18018,18123,18129,18383,Grant,Arkansas
45864,46341,46408,46743,Greene,Arkansas
19989,19667,19481,19343,Hempstead,Arkansas
33075,33079,33149,33258,Hot Spring,Arkansas
12757,12695,12622,12533,Howard,Arkansas
37940,38100,38254,38320,Independence,Arkansas
13602,13921,14029,14169,Izard,Arkansas
16761,16781,16654,16784,Jackson,Arkansas
66830,65637,64295,63661,Jefferson,Arkansas
25724,25957,25970,26129,Johnson,Arkansas
6293,6159,6129,6095,Lafayette,Arkansas
16218,16329,16194,16318,Lawrence,Arkansas
8526,8560,8367,8201,Lee,Arkansas
12890,13168,12910,12898,Lincoln,Arkansas
11974,11973,11865,11805,Little River,Arkansas
21100,21229,21258,21400,Logan,Arkansas
74055,74770,75199,75944,Lonoke,Arkansas
16545,16944,17463,17775,Madison,Arkansas
16873,16984,17289,17514,Marion,Arkansas
42588,42494,42608,42415,Miller,Arkansas
40538,39534,38863,38663,Mississippi,Arkansas
6776,6648,6568,6512,Monroe,Arkansas
8485,8635,8543,8620,Montgomery,Arkansas
8284,8184,8179,8120,Nevada,Arkansas
7196,7167,7101,7071,Newton,Arkansas
22615,22312,21994,21793,Ouachita,Arkansas
9997,9995,10073,10184,Perry,Arkansas
