fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
53033.0,King,Washington,2020-03-10,116,2020,2274282,0.0,0.0
53033.0,King,Washington,2020-03-11,190,2020,2274282,74.0,3.253774158173876
53033.0,King,Washington,2020-03-12,270,2020,2274282,80.0,3.517593684512299
53033.0,King,Washington,2020-03-13,328,2020,2274282,58.0,2.550255421271417
53033.0,King,Washington,2020-03-14,387,2020,2274282,59.0,2.5942253423278205
53033.0,King,Washington,2020-03-15,387,2020,2274282,0.0,0.0
53033.0,King,Washington,2020-03-16,488,2020,2274282,101.0,4.440962026696777
53033.0,King,Washington,2020-03-17,569,2020,2274282,81.0,3.5615636055687028
53033.0,King,Washington,2020-03-18,562,2020,2274282,-7.0,-0.30778944739482617
53033.0,King,Washington,2020-03-19,693,2020,2274282,131.0,5.760059658388889
53033.0,King,Washington,2020-03-20,793,2020,2274282,100.0,4.396992105640373
53033.0,King,Washington,2020-03-21,934,2020,2274282,141.0,6.199758868952927
53033.0,King,Washington,2020-03-22,1040,2020,2274282,106.0,4.660811631978796
53033.0,King,Washington,2020-03-23,1170,2020,2274282,130.0,5.716089737332485
53033.0,King,Washington,2020-03-24,1170,2020,2274282,0.0,0.0
53033.0,King,Washington,2020-03-25,1359,2020,2274282,189.0,8.310315079660306
53033.0,King,Washington,2020-03-26,1577,2020,2274282,218.0,9.585442790296014
53033.0,King,Washington,2020-03-27,1577,2020,2274282,0.0,0.0
53033.0,King,Washington,2020-03-28,2077,2020,2274282,500.0,21.984960528201867
53033.0,King,Washington,2020-03-29,2159,2020,2274282,82.0,3.605533526625106
53033.0,King,Washington,2020-03-30,2161,2020,2274282,2.0,0.08793984211280748
53033.0,King,Washington,2020-03-31,2330,2020,2274282,169.0,7.430916658532231
53033.0,King,Washington,2020-04-01,2330,2020,2274282,0.0,0.0
53033.0,King,Washington,2020-04-02,2656,2020,2274282,326.0,14.33419426438762
53033.0,King,Washington,2020-04-03,2787,2020,2274282,131.0,5.760059658388889
53033.0,King,Washington,2020-04-04,2898,2020,2274282,111.0,4.8806612372608145
53033.0,King,Washington,2020-04-05,3167,2020,2274282,269.0,11.827908764172605
53033.0,King,Washington,2020-04-06,3331,2020,2274282,164.0,7.211067053250212
53033.0,King,Washington,2020-04-07,3486,2020,2274282,155.0,6.815337763742579
53033.0,King,Washington,2020-04-08,3688,2020,2274282,202.0,8.881924053393554
53033.0,King,Washington,2020-04-09,3886,2020,2274282,198.0,8.70604436916794
53033.0,King,Washington,2020-04-10,4117,2020,2274282,231.0,10.157051764029262
53033.0,King,Washington,2020-04-11,4262,2020,2274282,145.0,6.375638553178542
53033.0,King,Washington,2020-04-12,4426,2020,2274282,164.0,7.211067053250212
53033.0,King,Washington,2020-04-13,4426,2020,2274282,0.0,0.0
53033.0,King,Washington,2020-04-14,4549,2020,2274282,123.0,5.408300289937659
53033.0,King,Washington,2020-04-15,4620,2020,2274282,71.0,3.1218643950046654
53033.0,King,Washington,2020-04-16,4697,2020,2274282,77.0,3.3856839213430874
53033.0,King,Washington,2020-04-17,4902,2020,2274282,205.0,9.013833816562766
53033.0,King,Washington,2020-04-18,4902,2020,2274282,0.0,0.0
53033.0,King,Washington,2020-04-19,5174,2020,2274282,272.0,11.959818527341817
53033.0,King,Washington,2020-04-20,5174,2020,2274282,0.0,0.0
53033.0,King,Washington,2020-04-21,5293,2020,2274282,119.0,5.232420605712044
53033.0,King,Washington,2020-04-22,5379,2020,2274282,86.0,3.7814132108507215
53033.0,King,Washington,2020-04-23,5532,2020,2274282,153.0,6.727397921629772
53033.0,King,Washington,2020-04-24,5637,2020,2274282,105.0,4.616841710922392
53033.0,King,Washington,2020-04-25,5739,2020,2274282,102.0,4.484931947753181
53033.0,King,Washington,2020-04-26,5863,2020,2274282,124.0,5.4522702109940635
53033.0,King,Washington,2020-04-27,5945,2020,2274282,82.0,3.605533526625106
53033.0,King,Washington,2020-04-28,6001,2020,2274282,56.0,2.4623155791586093
53033.0,King,Washington,2020-04-29,6103,2020,2274282,102.0,4.484931947753181
53033.0,King,Washington,2020-04-30,6207,2020,2274282,104.0,4.572871789865989
53033.0,King,Washington,2020-05-01,6274,2020,2274282,67.0,2.9459847107790504
53033.0,King,Washington,2020-05-02,6351,2020,2274282,77.0,3.3856839213430874
53033.0,King,Washington,2020-05-03,6449,2020,2274282,98.0,4.309052263527566
53033.0,King,Washington,2020-05-04,6545,2020,2274282,96.0,4.221112421414759
53033.0,King,Washington,2020-05-05,6621,2020,2274282,76.0,3.341714000286684
53033.0,King,Washington,2020-05-06,6704,2020,2274282,83.0,3.6495034476815102
53033.0,King,Washington,2020-05-07,6809,2020,2274282,105.0,4.616841710922392
53033.0,King,Washington,2020-05-08,6863,2020,2274282,54.0,2.374375737045802
53033.0,King,Washington,2020-05-09,6947,2020,2274282,84.0,3.6934733687379135
53033.0,King,Washington,2020-05-10,7007,2020,2274282,60.0,2.638195263384224
53033.0,King,Washington,2020-05-11,7068,2020,2274282,61.0,2.682165184440628
53033.0,King,Washington,2020-05-12,7137,2020,2274282,69.0,3.0339245528918575
53033.0,King,Washington,2020-05-13,7212,2020,2274282,75.0,3.2977440792302803
53033.0,King,Washington,2020-05-14,7290,2020,2274282,78.0,3.4296538423994916
53033.0,King,Washington,2020-05-15,7325,2020,2274282,35.0,1.5389472369741308
53033.0,King,Washington,2020-05-16,7426,2020,2274282,101.0,4.440962026696777
53033.0,King,Washington,2020-05-17,7472,2020,2274282,46.0,2.022616368594572
53033.0,King,Washington,2020-05-18,7515,2020,2274282,43.0,1.8907066054253607
53033.0,King,Washington,2020-05-19,7565,2020,2274282,50.0,2.1984960528201865
53033.0,King,Washington,2020-05-20,7602,2020,2274282,37.0,1.626887079086938
53033.0,King,Washington,2020-05-21,7630,2020,2274282,28.0,1.2311577895793047
53033.0,King,Washington,2020-05-22,7669,2020,2274282,39.0,1.7148269211997458
53033.0,King,Washington,2020-05-23,7669,2020,2274282,0.0,0.0
53033.0,King,Washington,2020-05-24,7783,2020,2274282,114.0,5.012571000430026
53033.0,King,Washington,2020-05-25,7826,2020,2274282,43.0,1.8907066054253607
53033.0,King,Washington,2020-05-26,7835,2020,2274282,9.0,0.3957292895076336
53033.0,King,Washington,2020-05-27,7863,2020,2274282,28.0,1.2311577895793047
53033.0,King,Washington,2020-05-28,7923,2020,2274282,60.0,2.638195263384224
53033.0,King,Washington,2020-05-29,7949,2020,2274282,26.0,1.1432179474664972
53033.0,King,Washington,2020-05-30,7993,2020,2274282,44.0,1.9346765264817645
53033.0,King,Washington,2020-05-31,8092,2020,2274282,99.0,4.35302218458397
53033.0,King,Washington,2020-06-01,8244,2020,2274282,152.0,6.683428000573368
53033.0,King,Washington,2020-06-02,8289,2020,2274282,45.0,1.9786464475381682
53033.0,King,Washington,2020-06-03,8339,2020,2274282,50.0,2.1984960528201865
53033.0,King,Washington,2020-06-04,8387,2020,2274282,48.0,2.1105562107073794
53033.0,King,Washington,2020-06-05,8441,2020,2274282,54.0,2.374375737045802
53033.0,King,Washington,2020-06-06,8481,2020,2274282,40.0,1.7587968422561495
53033.0,King,Washington,2020-06-07,8516,2020,2274282,35.0,1.5389472369741308
53033.0,King,Washington,2020-06-08,8546,2020,2274282,30.0,1.319097631692112
53033.0,King,Washington,2020-06-09,8567,2020,2274282,21.0,0.9233683421844784
53033.0,King,Washington,2020-06-10,8587,2020,2274282,20.0,0.8793984211280748
53033.0,King,Washington,2020-06-11,8631,2020,2274282,44.0,1.9346765264817645
53033.0,King,Washington,2020-06-12,8710,2020,2274282,79.0,3.473623763455895
53033.0,King,Washington,2020-06-13,8749,2020,2274282,39.0,1.7148269211997458
53033.0,King,Washington,2020-06-14,8813,2020,2274282,64.0,2.8140749476098392
53033.0,King,Washington,2020-06-15,8867,2020,2274282,54.0,2.374375737045802
53033.0,King,Washington,2020-06-16,8899,2020,2274282,32.0,1.4070374738049196
53033.0,King,Washington,2020-06-17,8989,2020,2274282,90.0,3.9572928950763364
53033.0,King,Washington,2020-06-18,9061,2020,2274282,72.0,3.1658343160610687
53033.0,King,Washington,2020-06-19,9155,2020,2274282,94.0,4.133172579301951
53033.0,King,Washington,2020-06-20,9215,2020,2274282,60.0,2.638195263384224
53033.0,King,Washington,2020-06-21,9249,2020,2274282,34.0,1.494977315917727
53033.0,King,Washington,2020-06-22,9374,2020,2274282,125.0,5.496240132050467
53033.0,King,Washington,2020-06-23,9454,2020,2274282,80.0,3.517593684512299
53033.0,King,Washington,2020-06-24,9574,2020,2274282,120.0,5.276390526768448
53033.0,King,Washington,2020-06-25,9678,2020,2274282,104.0,4.572871789865989
53033.0,King,Washington,2020-06-26,9816,2020,2274282,138.0,6.067849105783715
53033.0,King,Washington,2020-06-27,9898,2020,2274282,82.0,3.605533526625106
53033.0,King,Washington,2020-06-28,10053,2020,2274282,155.0,6.815337763742579
53033.0,King,Washington,2020-06-29,10174,2020,2274282,121.0,5.320360447824852
53033.0,King,Washington,2020-06-30,10338,2020,2274282,164.0,7.211067053250212
53033.0,King,Washington,2020-07-01,10547,2020,2274282,209.0,9.18971350078838
53033.0,King,Washington,2020-07-02,10682,2020,2274282,135.0,5.935939342614504
53033.0,King,Washington,2020-07-03,10781,2020,2274282,99.0,4.35302218458397
53033.0,King,Washington,2020-07-04,10954,2020,2274282,173.0,7.606796342757847
53033.0,King,Washington,2020-07-05,11127,2020,2274282,173.0,7.606796342757847
53033.0,King,Washington,2020-07-06,11190,2020,2274282,63.0,2.7701050265534355
53033.0,King,Washington,2020-07-07,11298,2020,2274282,108.0,4.748751474091604
53033.0,King,Washington,2020-07-08,11440,2020,2274282,142.0,6.243728790009331
53033.0,King,Washington,2020-07-09,11579,2020,2274282,139.0,6.111819026840119
53033.0,King,Washington,2020-07-10,11686,2020,2274282,107.0,4.7047815530351995
53033.0,King,Washington,2020-07-11,11847,2020,2274282,161.0,7.079157290081001
53033.0,King,Washington,2020-07-12,12122,2020,2274282,275.0,12.091728290511028
53033.0,King,Washington,2020-07-13,12241,2020,2274282,119.0,5.232420605712044
53033.0,King,Washington,2020-07-14,12346,2020,2274282,105.0,4.616841710922392
53033.0,King,Washington,2020-07-15,12590,2020,2274282,244.0,10.728660737762512
53033.0,King,Washington,2020-07-16,12742,2020,2274282,152.0,6.683428000573368
53033.0,King,Washington,2020-07-17,12934,2020,2274282,192.0,8.442224842829518
53033.0,King,Washington,2020-07-18,13148,2020,2274282,214.0,9.409563106070399
53033.0,King,Washington,2020-07-19,13315,2020,2274282,167.0,7.342976816419423
53033.0,King,Washington,2020-07-20,13482,2020,2274282,167.0,7.342976816419423
53033.0,King,Washington,2020-07-21,13632,2020,2274282,150.0,6.595488158460561
53033.0,King,Washington,2020-07-22,13844,2020,2274282,212.0,9.321623263957592
53033.0,King,Washington,2020-07-23,14038,2020,2274282,194.0,8.530164684942324
53033.0,King,Washington,2020-07-24,14251,2020,2274282,213.0,9.365593185013996
53033.0,King,Washington,2020-07-25,14416,2020,2274282,165.0,7.255036974306616
53033.0,King,Washington,2020-07-26,14578,2020,2274282,162.0,7.1231272111374055
53033.0,King,Washington,2020-07-27,14720,2020,2274282,142.0,6.243728790009331
53033.0,King,Washington,2020-07-28,14864,2020,2274282,144.0,6.331668632122137
53033.0,King,Washington,2020-07-29,15040,2020,2274282,176.0,7.738706105927058
53033.0,King,Washington,2020-07-30,15220,2020,2274282,180.0,7.914585790152673
53033.0,King,Washington,2020-07-31,15412,2020,2274282,192.0,8.442224842829518
53033.0,King,Washington,2020-08-01,15506,2020,2274282,94.0,4.133172579301951
53033.0,King,Washington,2020-08-02,15615,2020,2274282,109.0,4.792721395148007
53033.0,King,Washington,2020-08-03,15736,2020,2274282,121.0,5.320360447824852
53033.0,King,Washington,2020-08-04,15876,2020,2274282,140.0,6.155788947896523
53033.0,King,Washington,2020-08-05,16095,2020,2274282,219.0,9.629412711352419
53033.0,King,Washington,2020-08-06,16216,2020,2274282,121.0,5.320360447824852
53033.0,King,Washington,2020-08-07,16423,2020,2274282,207.0,9.101773658675572
53033.0,King,Washington,2020-08-08,16564,2020,2274282,141.0,6.199758868952927
53033.0,King,Washington,2020-08-09,16702,2020,2274282,138.0,6.067849105783715
53033.0,King,Washington,2020-08-10,16801,2020,2274282,99.0,4.35302218458397
53033.0,King,Washington,2020-08-11,16928,2020,2274282,127.0,5.584179974163274
53033.0,King,Washington,2020-08-12,17109,2020,2274282,181.0,7.958555711209076
53033.0,King,Washington,2020-08-13,17304,2020,2274282,195.0,8.574134605998728
53033.0,King,Washington,2020-08-14,17498,2020,2274282,194.0,8.530164684942324
53033.0,King,Washington,2020-08-15,17625,2020,2274282,127.0,5.584179974163274
53033.0,King,Washington,2020-08-16,17732,2020,2274282,107.0,4.7047815530351995
53033.0,King,Washington,2020-08-17,17892,2020,2274282,160.0,7.035187369024598
53033.0,King,Washington,2020-08-18,18075,2020,2274282,183.0,8.046495553321884
53033.0,King,Washington,2020-08-19,18326,2020,2274282,251.0,11.036450185157337
53033.0,King,Washington,2020-08-20,18468,2020,2274282,142.0,6.243728790009331
53033.0,King,Washington,2020-08-21,18682,2020,2274282,214.0,9.409563106070399
53033.0,King,Washington,2020-08-22,18788,2020,2274282,106.0,4.660811631978796
53033.0,King,Washington,2020-08-23,18920,2020,2274282,132.0,5.804029579445293
53033.0,King,Washington,2020-08-24,18980,2020,2274282,60.0,2.638195263384224
53033.0,King,Washington,2020-08-25,19101,2020,2274282,121.0,5.320360447824852
53033.0,King,Washington,2020-08-26,19287,2020,2274282,186.0,8.178405316491094
53033.0,King,Washington,2020-08-27,19455,2020,2274282,168.0,7.386946737475827
53033.0,King,Washington,2020-08-28,19591,2020,2274282,136.0,5.979909263670908
53033.0,King,Washington,2020-08-29,19692,2020,2274282,101.0,4.440962026696777
