fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
53033.0,King,Washington,2020-03-10,116,2020,2274282,0.0,0.0
53033.0,King,Washington,2020-03-17,569,2020,2274282,453.0,19.91837423855089
53033.0,King,Washington,2020-03-24,1170,2020,2274282,601.0,26.425922554898648
53033.0,King,Washington,2020-03-31,2330,2020,2274282,1160.0,51.00510842542833
53033.0,King,Washington,2020-04-07,3486,2020,2274282,1156.0,50.82922874120271
53033.0,King,Washington,2020-04-14,4549,2020,2274282,1063.0,46.74002608295717
53033.0,King,Washington,2020-04-21,5293,2020,2274282,744.0,32.71362126596438
53033.0,King,Washington,2020-04-28,6001,2020,2274282,708.0,31.13070410793384
53033.0,King,Washington,2020-05-05,6621,2020,2274282,620.0,27.261351054970316
53033.0,King,Washington,2020-05-12,7137,2020,2274282,516.0,22.688479265104327
53033.0,King,Washington,2020-05-19,7565,2020,2274282,428.0,18.819126212140798
53033.0,King,Washington,2020-05-26,7835,2020,2274282,270.0,11.871878685229008
53033.0,King,Washington,2020-06-02,8289,2020,2274282,454.0,19.962344159607294
53033.0,King,Washington,2020-06-09,8567,2020,2274282,278.0,12.223638053680238
53033.0,King,Washington,2020-06-16,8899,2020,2274282,332.0,14.598013790726041
53033.0,King,Washington,2020-06-23,9454,2020,2274282,555.0,24.40330618630407
53033.0,King,Washington,2020-06-30,10338,2020,2274282,884.0,38.8694102138609
53033.0,King,Washington,2020-07-07,11298,2020,2274282,960.0,42.21112421414758
53033.0,King,Washington,2020-07-14,12346,2020,2274282,1048.0,46.080477267111114
53033.0,King,Washington,2020-07-21,13632,2020,2274282,1286.0,56.5453184785352
53033.0,King,Washington,2020-07-28,14864,2020,2274282,1232.0,54.1709427414894
53033.0,King,Washington,2020-08-04,15876,2020,2274282,1012.0,44.49756010908058
53033.0,King,Washington,2020-08-11,16928,2020,2274282,1052.0,46.25635695133673
53033.0,King,Washington,2020-08-18,18075,2020,2274282,1147.0,50.433499451695084
53033.0,King,Washington,2020-08-25,19101,2020,2274282,1026.0,45.11313900387023
53033.0,King,Washington,2020-09-01,19920,2020,2274282,819.0,36.01136534519466
53033.0,King,Washington,2020-09-08,20558,2020,2274282,638.0,28.052809633985586
53033.0,King,Washington,2020-09-15,21189,2020,2274282,631.0,27.745020186590757
53033.0,King,Washington,2020-09-22,21793,2020,2274282,604.0,26.557832318067856
53033.0,King,Washington,2020-09-29,22529,2020,2274282,736.0,32.36186189751315
53033.0,King,Washington,2020-10-06,23560,2020,2274282,1031.0,45.33298860915225
53033.0,King,Washington,2020-10-13,24683,2020,2274282,1123.0,49.3782213463414
53033.0,King,Washington,2020-10-20,25777,2020,2274282,1094.0,48.10309363570568
53033.0,King,Washington,2020-10-27,27081,2020,2274282,1304.0,57.33677705755048
53033.0,King,Washington,2020-11-03,29344,2020,2274282,2263.0,99.50393135064165
53033.0,King,Washington,2020-11-10,32287,2020,2274282,2943.0,129.4034776689962
53033.0,King,Washington,2020-11-17,36323,2020,2274282,4036.0,177.46260138364548
53033.0,King,Washington,2020-11-24,41852,2020,2274282,5529.0,243.10969352085627
53033.0,King,Washington,2020-12-01,46204,2020,2274282,4352.0,191.35709643746907
53033.0,King,Washington,2020-12-08,51374,2020,2274282,5170.0,227.32449186160733
53033.0,King,Washington,2020-12-15,55637,2020,2274282,4263.0,187.44377346344913
53033.0,King,Washington,2020-12-22,58968,2020,2274282,3331.0,146.46380703888084
53033.0,King,Washington,2020-12-29,61455,2020,2274282,2487.0,109.35319366727609
53033.0,King,Washington,2021-01-05,65834,2021,2252980,4379.0,194.36479684684284
53033.0,King,Washington,2021-01-12,70545,2021,2252980,4711.0,209.10083533808555
53033.0,King,Washington,2021-01-19,73667,2021,2252980,3122.0,138.57202460740885
53033.0,King,Washington,2021-01-26,76146,2021,2252980,2479.0,110.03204644515264
53033.0,King,Washington,2021-02-02,78678,2021,2252980,2532.0,112.38448632477875
53033.0,King,Washington,2021-02-09,80594,2021,2252980,1916.0,85.04292093138865
53033.0,King,Washington,2021-02-16,82022,2021,2252980,1428.0,63.38271977558612
53033.0,King,Washington,2021-02-23,83195,2021,2252980,1173.0,52.064376958517165
53033.0,King,Washington,2021-03-02,84326,2021,2252980,1131.0,50.200179318058744
53033.0,King,Washington,2021-03-09,85417,2021,2252980,1091.0,48.42475299381264
53033.0,King,Washington,2021-03-16,86655,2021,2252980,1238.0,54.949444735417096
53033.0,King,Washington,2021-03-23,88112,2021,2252980,1457.0,64.66990386066453
53033.0,King,Washington,2021-03-30,90333,2021,2252980,2221.0,98.58054665376524
53033.0,King,Washington,2021-04-06,92570,2021,2252980,2237.0,99.29071718346367
53033.0,King,Washington,2021-04-13,95001,2021,2252980,2431.0,107.90153485605732
53033.0,King,Washington,2021-04-20,97712,2021,2252980,2711.0,120.32951912578007
53033.0,King,Washington,2021-04-27,100477,2021,2252980,2765.0,122.72634466351234
53033.0,King,Washington,2021-05-04,103351,2021,2252980,2874.0,127.56438139708297
53033.0,King,Washington,2021-05-11,105690,2021,2252980,2339.0,103.81805431029126
53033.0,King,Washington,2021-05-18,107462,2021,2252980,1772.0,78.65138616410265
53033.0,King,Washington,2021-05-25,108614,2021,2252980,1152.0,51.13227813828796
53033.0,King,Washington,2021-06-01,109757,2021,2252980,1143.0,50.73280721533258
53033.0,King,Washington,2021-06-08,109458,2021,2252980,-299.0,-13.27131177373967
53033.0,King,Washington,2021-06-15,111201,2021,2252980,1743.0,77.36420207902422
53033.0,King,Washington,2021-06-22,111725,2021,2252980,524.0,23.258084847624037
53033.0,King,Washington,2021-06-29,112482,2021,2252980,757.0,33.59994318635762
53033.0,King,Washington,2021-07-06,112963,2021,2252980,481.0,21.349501549059468
53033.0,King,Washington,2021-07-13,113725,2021,2252980,762.0,33.82187147688839
53033.0,King,Washington,2021-07-20,114683,2021,2252980,958.0,42.521460465694325
53033.0,King,Washington,2021-07-27,116313,2021,2252980,1630.0,72.34862271302897
53033.0,King,Washington,2021-08-03,118704,2021,2252980,2391.0,106.1261085318112
53033.0,King,Washington,2021-08-10,122157,2021,2252980,3453.0,153.2636774405454
53033.0,King,Washington,2021-08-17,126887,2021,2252980,4730.0,209.94416284210246
53033.0,King,Washington,2021-08-24,131281,2021,2252980,4394.0,195.03058171843514
53033.0,King,Washington,2021-08-31,135541,2021,2252980,4260.0,189.08290353221068
53033.0,King,Washington,2021-09-07,139600,2021,2252980,4059.0,180.16138625287397
53033.0,King,Washington,2021-09-14,143546,2021,2252980,3946.0,175.14580688687872
53033.0,King,Washington,2021-09-21,147108,2021,2252980,3562.0,158.10171417411607
53033.0,King,Washington,2021-09-28,150532,2021,2252980,3424.0,151.97649335546697
53033.0,King,Washington,2021-10-05,153740,2021,2252980,3208.0,142.38919120453798
53033.0,King,Washington,2021-10-12,156822,2021,2252980,3082.0,136.79659828316272
53033.0,King,Washington,2021-10-19,159701,2021,2252980,2879.0,127.78630968761372
53033.0,King,Washington,2021-10-26,162588,2021,2252980,2887.0,128.14139495246297
53033.0,King,Washington,2021-11-02,165361,2021,2252980,2773.0,123.08142992836154
53033.0,King,Washington,2021-11-09,167673,2021,2252980,2312.0,102.61964154142514
53033.0,King,Washington,2021-11-16,169752,2021,2252980,2079.0,92.27778320269154
53033.0,King,Washington,2021-11-23,171692,2021,2252980,1940.0,86.10817672593632
53033.0,King,Washington,2021-11-30,173128,2021,2252980,1436.0,63.737805040435326
53033.0,King,Washington,2021-12-07,175350,2021,2252980,2222.0,98.62493231187139
53033.0,King,Washington,2021-12-14,177441,2021,2252980,2091.0,92.81041109996538
53033.0,King,Washington,2021-12-21,182058,2021,2252980,4617.0,204.9285834761072
53033.0,King,Washington,2021-12-28,195696,2021,2252980,13638.0,605.331605251711
53033.0,King,Washington,2022-01-04,214271,2022,2265311,18575.0,819.9757119441879
53033.0,King,Washington,2022-01-11,252185,2022,2265311,37914.0,1673.677477397143
53033.0,King,Washington,2022-01-18,286617,2022,2265311,34432.0,1519.967898447498
53033.0,King,Washington,2022-01-25,313773,2022,2265311,27156.0,1198.7757972304908
53033.0,King,Washington,2022-02-01,345785,2022,2265311,32012.0,1413.1392996370034
53033.0,King,Washington,2022-02-08,355892,2022,2265311,10107.0,446.1639042056477
53033.0,King,Washington,2022-02-15,361584,2022,2265311,5692.0,251.2679274501382
53033.0,King,Washington,2022-02-22,361753,2022,2265311,169.0,7.460344297096513
53033.0,King,Washington,2022-03-01,365871,2022,2265311,4118.0,181.78519417422154
53033.0,King,Washington,2022-03-08,367762,2022,2265311,1891.0,83.4763968391095
53033.0,King,Washington,2022-03-15,369569,2022,2265311,1807.0,79.76829671510887
53033.0,King,Washington,2022-03-22,371186,2022,2265311,1617.0,71.3809273870122
53033.0,King,Washington,2022-03-29,373237,2022,2265311,2051.0,90.5394446943488
53033.0,King,Washington,2022-04-05,375674,2022,2265311,2437.0,107.57904764511362
53033.0,King,Washington,2022-04-12,380075,2022,2265311,4401.0,194.27796006817607
53033.0,King,Washington,2022-04-19,386021,2022,2265311,5946.0,262.4805159203306
53033.0,King,Washington,2022-04-26,391425,2022,2265311,5404.0,238.55444131070743
53033.0,King,Washington,2022-05-03,400288,2022,2265311,8863.0,391.2487071311622
53033.0,King,Washington,2022-05-10,405163,2022,2265311,4875.0,215.20223933932252
53033.0,King,Washington,2022-05-17,413357,2022,2265311,8194.0,361.71633828644275
53033.0,King,Washington,2022-05-24,422477,2022,2265311,9120.0,402.5937277486402
53033.0,King,Washington,2022-05-31,428378,2022,2265311,5901.0,260.49403371104455
53033.0,King,Washington,2022-06-07,440326,2022,2265311,11948.0,527.4330985899949
53033.0,King,Washington,2022-06-14,446957,2022,2265311,6631.0,292.71918955057384
53033.0,King,Washington,2022-06-21,451025,2022,2265311,4068.0,179.57799171945928
53033.0,King,Washington,2022-06-28,461584,2022,2265311,10559.0,466.1170143966988
53033.0,King,Washington,2022-07-05,465990,2022,2265311,4406.0,194.4986803136523
53033.0,King,Washington,2022-07-12,476158,2022,2265311,10168.0,448.8566912004577
53033.0,King,Washington,2022-07-19,482145,2022,2265311,5987.0,264.2904219332357
53033.0,King,Washington,2022-07-26,487863,2022,2265311,5718.0,252.4156727266146
53033.0,King,Washington,2022-08-02,492734,2022,2265311,4871.0,215.02566314294154
53033.0,King,Washington,2022-08-09,494994,2022,2265311,2260.0,99.76555095525515
53033.0,King,Washington,2022-08-16,500396,2022,2265311,5402.0,238.46615321251696
53033.0,King,Washington,2022-08-23,503330,2022,2265311,2934.0,129.5186400454507
53033.0,King,Washington,2022-08-30,506236,2022,2265311,2906.0,128.28260667078385
53033.0,King,Washington,2022-09-06,507596,2022,2265311,1360.0,60.03590676953407
53033.0,King,Washington,2022-09-13,510499,2022,2265311,2903.0,128.1501745234981
53033.0,King,Washington,2022-09-20,512880,2022,2265311,2381.0,105.10698089577987
53033.0,King,Washington,2022-09-27,515391,2022,2265311,2511.0,110.84570727816181
53033.0,King,Washington,2022-10-04,517817,2022,2265311,2426.0,107.09346310506594
53033.0,King,Washington,2022-10-11,519680,2022,2265311,1863.0,82.24036346444262
53033.0,King,Washington,2022-10-18,521115,2022,2265311,1435.0,63.346710451677495
53033.0,King,Washington,2022-10-25,522610,2022,2265311,1495.0,65.99535339739224
