fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
53007.0,Chelan,Washington,2020-03-10,0,2020,79238,0.0,0.0
53007.0,Chelan,Washington,2020-03-17,2,2020,79238,2.0,2.524041495242182
53007.0,Chelan,Washington,2020-03-24,6,2020,79238,4.0,5.048082990484364
53007.0,Chelan,Washington,2020-03-31,16,2020,79238,10.0,12.620207476210908
53007.0,Chelan,Washington,2020-04-07,34,2020,79238,18.0,22.716373457179635
53007.0,Chelan,Washington,2020-04-14,61,2020,79238,27.0,34.07456018576946
53007.0,Chelan,Washington,2020-04-21,81,2020,79238,20.0,25.240414952421816
53007.0,Chelan,Washington,2020-04-28,96,2020,79238,15.0,18.930311214316365
53007.0,Chelan,Washington,2020-05-05,125,2020,79238,29.0,36.59860168101164
53007.0,Chelan,Washington,2020-05-12,150,2020,79238,25.0,31.550518690527273
53007.0,Chelan,Washington,2020-05-19,182,2020,79238,32.0,40.38466392387491
53007.0,Chelan,Washington,2020-05-26,233,2020,79238,51.0,64.36305812867563
53007.0,Chelan,Washington,2020-06-02,253,2020,79238,20.0,25.240414952421816
53007.0,Chelan,Washington,2020-06-09,265,2020,79238,12.0,15.14424897145309
53007.0,Chelan,Washington,2020-06-16,274,2020,79238,9.0,11.358186728589818
53007.0,Chelan,Washington,2020-06-23,293,2020,79238,19.0,23.978394204800725
53007.0,Chelan,Washington,2020-06-30,349,2020,79238,56.0,70.67316186678109
53007.0,Chelan,Washington,2020-07-07,477,2020,79238,128.0,161.53865569549964
53007.0,Chelan,Washington,2020-07-14,606,2020,79238,129.0,162.80067644312072
53007.0,Chelan,Washington,2020-07-21,808,2020,79238,202.0,254.92819101946037
53007.0,Chelan,Washington,2020-07-28,993,2020,79238,185.0,233.4738383099018
53007.0,Chelan,Washington,2020-08-04,1224,2020,79238,231.0,291.526792700472
53007.0,Chelan,Washington,2020-08-11,1406,2020,79238,182.0,229.68777606703853
53007.0,Chelan,Washington,2020-08-18,1579,2020,79238,173.0,218.3295893384487
53007.0,Chelan,Washington,2020-08-25,1701,2020,79238,122.0,153.96653120977308
53007.0,Chelan,Washington,2020-09-01,1799,2020,79238,98.0,123.67803326686692
53007.0,Chelan,Washington,2020-09-08,1866,2020,79238,67.0,84.55539009061309
53007.0,Chelan,Washington,2020-09-15,1982,2020,79238,116.0,146.39440672404655
53007.0,Chelan,Washington,2020-09-22,2023,2020,79238,41.0,51.74285065246473
53007.0,Chelan,Washington,2020-09-29,2072,2020,79238,49.0,61.83901663343346
53007.0,Chelan,Washington,2020-10-06,2137,2020,79238,65.0,82.0313485953709
53007.0,Chelan,Washington,2020-10-13,2204,2020,79238,67.0,84.55539009061309
53007.0,Chelan,Washington,2020-10-20,2281,2020,79238,77.0,97.17559756682401
53007.0,Chelan,Washington,2020-10-27,2354,2020,79238,73.0,92.12751457633964
53007.0,Chelan,Washington,2020-11-03,2465,2020,79238,111.0,140.0843029859411
53007.0,Chelan,Washington,2020-11-10,2636,2020,79238,171.0,215.80554784320654
53007.0,Chelan,Washington,2020-11-17,2952,2020,79238,316.0,398.79855624826473
53007.0,Chelan,Washington,2020-11-24,3288,2020,79238,336.0,424.03897120068655
53007.0,Chelan,Washington,2020-12-01,3605,2020,79238,317.0,400.0605769958858
53007.0,Chelan,Washington,2020-12-08,4096,2020,79238,491.0,619.6521870819556
53007.0,Chelan,Washington,2020-12-15,4340,2020,79238,244.0,307.93306241954616
53007.0,Chelan,Washington,2020-12-22,4495,2020,79238,155.0,195.6132158812691
53007.0,Chelan,Washington,2020-12-29,4726,2020,79238,231.0,291.526792700472
53007.0,Chelan,Washington,2021-01-05,5025,2021,79778,299.0,374.79004236757004
53007.0,Chelan,Washington,2021-01-12,5285,2021,79778,260.0,325.9043846674522
53007.0,Chelan,Washington,2021-01-19,5467,2021,79778,182.0,228.1330692672165
53007.0,Chelan,Washington,2021-01-26,5614,2021,79778,147.0,184.26132517736718
53007.0,Chelan,Washington,2021-02-02,5761,2021,79778,147.0,184.26132517736718
53007.0,Chelan,Washington,2021-02-09,5880,2021,79778,119.0,149.16392990548772
53007.0,Chelan,Washington,2021-02-16,5953,2021,79778,73.0,91.50392338740004
53007.0,Chelan,Washington,2021-02-23,6019,2021,79778,66.0,82.72957456943017
53007.0,Chelan,Washington,2021-03-02,6055,2021,79778,36.0,45.125222492416455
53007.0,Chelan,Washington,2021-03-09,6100,2021,79778,45.0,56.406528115520565
53007.0,Chelan,Washington,2021-03-16,6139,2021,79778,39.0,48.885657700117825
53007.0,Chelan,Washington,2021-03-23,6222,2021,79778,83.0,104.03870741307126
53007.0,Chelan,Washington,2021-03-30,6301,2021,79778,79.0,99.02479380280278
53007.0,Chelan,Washington,2021-04-06,6375,2021,79778,74.0,92.75740178996716
53007.0,Chelan,Washington,2021-04-13,6441,2021,79778,66.0,82.72957456943017
53007.0,Chelan,Washington,2021-04-20,6521,2021,79778,80.0,100.2782722053699
53007.0,Chelan,Washington,2021-04-27,6592,2021,79778,71.0,88.99696658226578
53007.0,Chelan,Washington,2021-05-04,6638,2021,79778,46.0,57.66000651808769
