fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
53035.0,Kitsap,Washington,2020-03-10,1,2020,275823,0.0,0.0
53035.0,Kitsap,Washington,2020-03-17,7,2020,275823,6.0,2.1753080780065477
53035.0,Kitsap,Washington,2020-03-24,18,2020,275823,11.0,3.9880648096786704
53035.0,Kitsap,Washington,2020-03-31,74,2020,275823,56.0,20.302875394727778
53035.0,Kitsap,Washington,2020-04-07,119,2020,275823,45.0,16.31481058504911
53035.0,Kitsap,Washington,2020-04-14,132,2020,275823,13.0,4.71316750234752
53035.0,Kitsap,Washington,2020-04-21,138,2020,275823,6.0,2.1753080780065477
53035.0,Kitsap,Washington,2020-04-28,148,2020,275823,10.0,3.625513463344246
53035.0,Kitsap,Washington,2020-05-05,150,2020,275823,2.0,0.7251026926688492
53035.0,Kitsap,Washington,2020-05-12,156,2020,275823,6.0,2.1753080780065477
53035.0,Kitsap,Washington,2020-05-19,161,2020,275823,5.0,1.812756731672123
53035.0,Kitsap,Washington,2020-05-26,161,2020,275823,0.0,0.0
53035.0,Kitsap,Washington,2020-06-02,162,2020,275823,1.0,0.3625513463344246
53035.0,Kitsap,Washington,2020-06-09,171,2020,275823,9.0,3.2629621170098217
53035.0,Kitsap,Washington,2020-06-16,179,2020,275823,8.0,2.9004107706753968
53035.0,Kitsap,Washington,2020-06-23,198,2020,275823,19.0,6.888475580354067
53035.0,Kitsap,Washington,2020-06-30,226,2020,275823,28.0,10.151437697363889
53035.0,Kitsap,Washington,2020-07-07,263,2020,275823,37.0,13.414399814373711
53035.0,Kitsap,Washington,2020-07-14,322,2020,275823,59.0,21.39052943373105
53035.0,Kitsap,Washington,2020-07-21,428,2020,275823,106.0,38.430442711449004
53035.0,Kitsap,Washington,2020-07-28,568,2020,275823,140.0,50.75718848681944
53035.0,Kitsap,Washington,2020-08-04,686,2020,275823,118.0,42.7810588674621
53035.0,Kitsap,Washington,2020-08-11,759,2020,275823,73.0,26.466248282412995
53035.0,Kitsap,Washington,2020-08-18,849,2020,275823,90.0,32.62962117009822
53035.0,Kitsap,Washington,2020-08-25,940,2020,275823,91.0,32.99217251643264
