fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
53037.0,Kittitas,Washington,2020-03-10,1,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-11,1,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-12,2,2020,44599,1.0,2.2422027399717486
53037.0,Kittitas,Washington,2020-03-13,3,2020,44599,1.0,2.2422027399717486
53037.0,Kittitas,Washington,2020-03-14,3,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-15,3,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-16,3,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-17,3,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-18,4,2020,44599,1.0,2.2422027399717486
53037.0,Kittitas,Washington,2020-03-19,4,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-20,4,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-21,4,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-22,4,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-23,4,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-24,5,2020,44599,1.0,2.2422027399717486
53037.0,Kittitas,Washington,2020-03-25,18,2020,44599,13.0,29.14863561963273
53037.0,Kittitas,Washington,2020-03-26,8,2020,44599,-10.0,-22.422027399717482
53037.0,Kittitas,Washington,2020-03-27,8,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-28,8,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-29,8,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-03-30,9,2020,44599,1.0,2.2422027399717486
53037.0,Kittitas,Washington,2020-03-31,9,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-01,9,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-02,10,2020,44599,1.0,2.2422027399717486
53037.0,Kittitas,Washington,2020-04-03,10,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-04,10,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-05,10,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-06,12,2020,44599,2.0,4.484405479943497
53037.0,Kittitas,Washington,2020-04-07,13,2020,44599,1.0,2.2422027399717486
53037.0,Kittitas,Washington,2020-04-08,13,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-09,15,2020,44599,2.0,4.484405479943497
53037.0,Kittitas,Washington,2020-04-10,15,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-11,15,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-12,13,2020,44599,-2.0,-4.484405479943497
53037.0,Kittitas,Washington,2020-04-13,14,2020,44599,1.0,2.2422027399717486
53037.0,Kittitas,Washington,2020-04-14,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-15,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-16,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-17,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-18,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-19,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-20,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-21,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-22,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-23,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-24,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-25,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-26,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-27,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-04-28,15,2020,44599,1.0,2.2422027399717486
53037.0,Kittitas,Washington,2020-04-29,14,2020,44599,-1.0,-2.2422027399717486
53037.0,Kittitas,Washington,2020-04-30,14,2020,44599,0.0,0.0
53037.0,Kittitas,Washington,2020-05-01,15,2020,44599,1.0,2.2422027399717486
53037.0,Kittitas,Washington,2020-05-02,15,2020,44599,0.0,0.0
