fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
53037,Kittitas,Washington,2020-03-10,1,2020,44599,0.0,0.0
53037,Kittitas,Washington,2020-03-17,3,2020,44599,2.0,4.484405479943497
53037,Kittitas,Washington,2020-03-24,5,2020,44599,2.0,4.484405479943497
53037,Kittitas,Washington,2020-03-31,9,2020,44599,4.0,8.968810959886994
53037,Kittitas,Washington,2020-04-07,13,2020,44599,4.0,8.968810959886994
53037,Kittitas,Washington,2020-04-14,14,2020,44599,1.0,2.2422027399717486
53037,Kittitas,Washington,2020-04-21,14,2020,44599,0.0,0.0
53037,Kittitas,Washington,2020-04-28,15,2020,44599,1.0,2.2422027399717486
53037,Kittitas,Washington,2020-05-05,14,2020,44599,-1.0,-2.2422027399717486
53037,Kittitas,Washington,2020-05-12,40,2020,44599,26.0,58.29727123926546
53037,Kittitas,Washington,2020-05-19,61,2020,44599,21.0,47.086257539406716
53037,Kittitas,Washington,2020-05-26,75,2020,44599,14.0,31.390838359604473
53037,Kittitas,Washington,2020-06-02,89,2020,44599,14.0,31.390838359604473
53037,Kittitas,Washington,2020-06-09,92,2020,44599,3.0,6.726608219915245
53037,Kittitas,Washington,2020-06-16,93,2020,44599,1.0,2.2422027399717486
53037,Kittitas,Washington,2020-06-23,109,2020,44599,16.0,35.87524383954798
53037,Kittitas,Washington,2020-06-30,130,2020,44599,21.0,47.086257539406716
53037,Kittitas,Washington,2020-07-07,165,2020,44599,35.0,78.47709589901119
53037,Kittitas,Washington,2020-07-14,204,2020,44599,39.0,87.44590685889818
53037,Kittitas,Washington,2020-07-21,307,2020,44599,103.0,230.94688221709006
53037,Kittitas,Washington,2020-07-28,329,2020,44599,22.0,49.32846027937846
53037,Kittitas,Washington,2020-08-04,356,2020,44599,27.0,60.5394739792372
53037,Kittitas,Washington,2020-08-11,417,2020,44599,61.0,136.77436713827666
53037,Kittitas,Washington,2020-08-18,452,2020,44599,35.0,78.47709589901119
53037,Kittitas,Washington,2020-08-25,454,2020,44599,2.0,4.484405479943497
53037,Kittitas,Washington,2020-09-01,456,2020,44599,2.0,4.484405479943497
53037,Kittitas,Washington,2020-09-08,460,2020,44599,4.0,8.968810959886994
53037,Kittitas,Washington,2020-09-15,494,2020,44599,34.0,76.23489315903944
53037,Kittitas,Washington,2020-09-22,513,2020,44599,19.0,42.60185205946321
53037,Kittitas,Washington,2020-09-29,548,2020,44599,35.0,78.47709589901119
53037,Kittitas,Washington,2020-10-06,572,2020,44599,24.0,53.81286575932196
53037,Kittitas,Washington,2020-10-13,643,2020,44599,71.0,159.19639453799414
