fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
53053,Pierce,Washington,2020-03-10,4,2020,923589,0.0,0.0
53053,Pierce,Washington,2020-03-17,45,2020,923589,41.0,4.439204018237549
53053,Pierce,Washington,2020-03-24,138,2020,923589,93.0,10.069413992587613
53053,Pierce,Washington,2020-03-31,377,2020,923589,239.0,25.877311228262787
53053,Pierce,Washington,2020-04-07,760,2020,923589,383.0,41.468661926462964
53053,Pierce,Washington,2020-04-14,969,2020,923589,209.0,22.629113166137753
53053,Pierce,Washington,2020-04-21,1219,2020,923589,250.0,27.0683171843753
53053,Pierce,Washington,2020-04-28,1293,2020,923589,74.0,8.01222188657509
53053,Pierce,Washington,2020-05-05,1433,2020,923589,140.0,15.15825762325017
53053,Pierce,Washington,2020-05-12,1593,2020,923589,160.0,17.323722998000193
53053,Pierce,Washington,2020-05-19,1704,2020,923589,111.0,12.018332829862633
53053,Pierce,Washington,2020-05-26,1766,2020,923589,62.0,6.712942661725075
53053,Pierce,Washington,2020-06-02,1981,2020,923589,215.0,23.27875277856276
53053,Pierce,Washington,2020-06-09,2081,2020,923589,100.0,10.82732687375012
53053,Pierce,Washington,2020-06-16,2184,2020,923589,103.0,11.152146679962623
53053,Pierce,Washington,2020-06-23,2367,2020,923589,183.0,19.81400817896272
53053,Pierce,Washington,2020-06-30,2594,2020,923589,227.0,24.578032003412776
53053,Pierce,Washington,2020-07-07,2940,2020,923589,346.0,37.46255098317542
53053,Pierce,Washington,2020-07-14,3392,2020,923589,452.0,48.93951746935054
53053,Pierce,Washington,2020-07-21,4008,2020,923589,616.0,66.69633354230074
53053,Pierce,Washington,2020-07-28,4727,2020,923589,719.0,77.84848022226336
53053,Pierce,Washington,2020-08-04,5346,2020,923589,619.0,67.02115334851325
53053,Pierce,Washington,2020-08-11,5879,2020,923589,533.0,57.709652237088136
53053,Pierce,Washington,2020-08-18,6286,2020,923589,407.0,44.067220376162986
53053,Pierce,Washington,2020-08-25,6649,2020,923589,363.0,39.30319655171294
53053,Pierce,Washington,2020-09-01,6923,2020,923589,274.0,29.666875634075332
53053,Pierce,Washington,2020-09-08,7189,2020,923589,266.0,28.800689484175322
53053,Pierce,Washington,2020-09-15,7436,2020,923589,247.0,26.743497378162797
53053,Pierce,Washington,2020-09-22,7739,2020,923589,303.0,32.80680042746287
53053,Pierce,Washington,2020-09-29,8107,2020,923589,368.0,39.84456289540044
53053,Pierce,Washington,2020-10-06,8484,2020,923589,377.0,40.81902231403796
53053,Pierce,Washington,2020-10-13,8989,2020,923589,505.0,54.67800071243811
53053,Pierce,Washington,2020-10-20,9578,2020,923589,589.0,63.77295528638821
53053,Pierce,Washington,2020-10-27,10224,2020,923589,646.0,69.94453160442578
53053,Pierce,Washington,2020-11-03,11001,2020,923589,777.0,84.12832980903843
53053,Pierce,Washington,2020-11-10,12199,2020,923589,1198.0,129.71137594752645
53053,Pierce,Washington,2020-11-17,13803,2020,923589,1604.0,173.67032305495195
53053,Pierce,Washington,2020-11-24,15797,2020,923589,1994.0,215.8968978625774
53053,Pierce,Washington,2020-12-01,17832,2020,923589,2035.0,220.33610188081497
53053,Pierce,Washington,2020-12-08,19867,2020,923589,2035.0,220.33610188081497
53053,Pierce,Washington,2020-12-15,22348,2020,923589,2481.0,268.62597973774047
53053,Pierce,Washington,2020-12-22,23612,2020,923589,1264.0,136.85741168420154
53053,Pierce,Washington,2020-12-29,25205,2020,923589,1593.0,172.4793170988394
53053,Pierce,Washington,2021-01-05,27193,2021,927402,1988.0,214.36227224008573
53053,Pierce,Washington,2021-01-12,29563,2021,927402,2370.0,255.55260825402573
53053,Pierce,Washington,2021-01-19,31164,2021,927402,1601.0,172.63279570240306
53053,Pierce,Washington,2021-01-26,32936,2021,927402,1772.0,191.0714016144024
53053,Pierce,Washington,2021-02-02,34500,2021,927402,1564.0,168.6431558267073
53053,Pierce,Washington,2021-02-09,35557,2021,927402,1057.0,113.97430671920051
53053,Pierce,Washington,2021-02-16,36648,2021,927402,1091.0,117.64046228065067
53053,Pierce,Washington,2021-02-23,37543,2021,927402,895.0,96.506153749938
53053,Pierce,Washington,2021-03-02,38491,2021,927402,948.0,102.2210433016103
53053,Pierce,Washington,2021-03-09,39367,2021,927402,876.0,94.45741975971585
53053,Pierce,Washington,2021-03-16,40172,2021,927402,805.0,86.80162432256994
53053,Pierce,Washington,2021-03-23,41200,2021,927402,1028.0,110.84729168149303
53053,Pierce,Washington,2021-03-30,42305,2021,927402,1105.0,119.15005574713017
