fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
53061.0,Snohomish,Washington,2020-03-10,37,2020,829933,0.0,0.0
53061.0,Snohomish,Washington,2020-03-11,68,2020,829933,31.0,3.7352412785128437
53061.0,Snohomish,Washington,2020-03-12,108,2020,829933,40.0,4.819666165823024
53061.0,Snohomish,Washington,2020-03-13,133,2020,829933,25.0,3.01229135363939
53061.0,Snohomish,Washington,2020-03-14,154,2020,829933,21.0,2.5303247370570876
53061.0,Snohomish,Washington,2020-03-15,154,2020,829933,0.0,0.0
53061.0,Snohomish,Washington,2020-03-16,200,2020,829933,46.0,5.5426160906964785
53061.0,Snohomish,Washington,2020-03-17,266,2020,829933,66.0,7.95244917360799
53061.0,Snohomish,Washington,2020-03-18,310,2020,829933,44.0,5.301632782405327
53061.0,Snohomish,Washington,2020-03-19,348,2020,829933,38.0,4.578682857531874
53061.0,Snohomish,Washington,2020-03-20,385,2020,829933,37.0,4.458191203386297
53061.0,Snohomish,Washington,2020-03-21,447,2020,829933,62.0,7.470482557025687
53061.0,Snohomish,Washington,2020-03-22,480,2020,829933,33.0,3.976224586803995
53061.0,Snohomish,Washington,2020-03-23,519,2020,829933,39.0,4.699174511677448
53061.0,Snohomish,Washington,2020-03-24,614,2020,829933,95.0,11.446707143829682
53061.0,Snohomish,Washington,2020-03-25,634,2020,829933,20.0,2.409833082911512
53061.0,Snohomish,Washington,2020-03-26,778,2020,829933,144.0,17.350798196962888
53061.0,Snohomish,Washington,2020-03-27,912,2020,829933,134.0,16.145881655507132
53061.0,Snohomish,Washington,2020-03-28,913,2020,829933,1.0,0.12049165414557561
53061.0,Snohomish,Washington,2020-03-29,912,2020,829933,-1.0,-0.12049165414557561
53061.0,Snohomish,Washington,2020-03-30,1068,2020,829933,156.0,18.796698046709793
53061.0,Snohomish,Washington,2020-03-31,1229,2020,829933,161.0,19.399156317437672
53061.0,Snohomish,Washington,2020-04-01,1304,2020,829933,75.0,9.036874060918171
53061.0,Snohomish,Washington,2020-04-02,1376,2020,829933,72.0,8.675399098481444
53061.0,Snohomish,Washington,2020-04-03,1376,2020,829933,0.0,0.0
53061.0,Snohomish,Washington,2020-04-04,1503,2020,829933,127.0,15.302440076488104
53061.0,Snohomish,Washington,2020-04-05,1559,2020,829933,56.0,6.747532632152233
53061.0,Snohomish,Washington,2020-04-06,1603,2020,829933,44.0,5.301632782405327
53061.0,Snohomish,Washington,2020-04-07,1659,2020,829933,56.0,6.747532632152233
53061.0,Snohomish,Washington,2020-04-08,1695,2020,829933,36.0,4.337699549240722
53061.0,Snohomish,Washington,2020-04-09,1745,2020,829933,50.0,6.02458270727878
53061.0,Snohomish,Washington,2020-04-10,1802,2020,829933,57.0,6.86802428629781
53061.0,Snohomish,Washington,2020-04-11,1835,2020,829933,33.0,3.976224586803995
53061.0,Snohomish,Washington,2020-04-12,1867,2020,829933,32.0,3.8557329326584195
53061.0,Snohomish,Washington,2020-04-13,1907,2020,829933,40.0,4.819666165823024
53061.0,Snohomish,Washington,2020-04-14,1950,2020,829933,43.0,5.1811411282597515
53061.0,Snohomish,Washington,2020-04-15,1988,2020,829933,38.0,4.578682857531874
53061.0,Snohomish,Washington,2020-04-16,2032,2020,829933,44.0,5.301632782405327
53061.0,Snohomish,Washington,2020-04-17,2056,2020,829933,24.0,2.8917996994938147
53061.0,Snohomish,Washington,2020-04-18,2093,2020,829933,37.0,4.458191203386297
53061.0,Snohomish,Washington,2020-04-19,2143,2020,829933,50.0,6.02458270727878
53061.0,Snohomish,Washington,2020-04-20,2163,2020,829933,20.0,2.409833082911512
53061.0,Snohomish,Washington,2020-04-21,2189,2020,829933,26.0,3.132783007784966
53061.0,Snohomish,Washington,2020-04-22,2209,2020,829933,20.0,2.409833082911512
53061.0,Snohomish,Washington,2020-04-23,2216,2020,829933,7.0,0.8434415790190292
53061.0,Snohomish,Washington,2020-04-24,2243,2020,829933,27.0,3.2532746619305417
53061.0,Snohomish,Washington,2020-04-25,2297,2020,829933,54.0,6.506549323861083
53061.0,Snohomish,Washington,2020-04-26,2311,2020,829933,14.0,1.6868831580380583
53061.0,Snohomish,Washington,2020-04-27,2332,2020,829933,21.0,2.5303247370570876
53061.0,Snohomish,Washington,2020-04-28,2365,2020,829933,33.0,3.976224586803995
53061.0,Snohomish,Washington,2020-04-29,2389,2020,829933,24.0,2.8917996994938147
53061.0,Snohomish,Washington,2020-04-30,2433,2020,829933,44.0,5.301632782405327
53061.0,Snohomish,Washington,2020-05-01,2453,2020,829933,20.0,2.409833082911512
53061.0,Snohomish,Washington,2020-05-02,2493,2020,829933,40.0,4.819666165823024
53061.0,Snohomish,Washington,2020-05-03,2509,2020,829933,16.0,1.9278664663292098
53061.0,Snohomish,Washington,2020-05-04,2537,2020,829933,28.0,3.3737663160761167
53061.0,Snohomish,Washington,2020-05-05,2549,2020,829933,12.0,1.4458998497469073
53061.0,Snohomish,Washington,2020-05-06,2584,2020,829933,35.0,4.217207895095147
53061.0,Snohomish,Washington,2020-05-07,2627,2020,829933,43.0,5.1811411282597515
53061.0,Snohomish,Washington,2020-05-08,2634,2020,829933,7.0,0.8434415790190292
53061.0,Snohomish,Washington,2020-05-09,2664,2020,829933,30.0,3.6147496243672683
53061.0,Snohomish,Washington,2020-05-10,2681,2020,829933,17.0,2.048358120474785
53061.0,Snohomish,Washington,2020-05-11,2690,2020,829933,9.0,1.0844248873101805
53061.0,Snohomish,Washington,2020-05-12,2711,2020,829933,21.0,2.5303247370570876
53061.0,Snohomish,Washington,2020-05-13,2720,2020,829933,9.0,1.0844248873101805
53061.0,Snohomish,Washington,2020-05-14,2739,2020,829933,19.0,2.289341428765937
53061.0,Snohomish,Washington,2020-05-15,2756,2020,829933,17.0,2.048358120474785
53061.0,Snohomish,Washington,2020-05-16,2773,2020,829933,17.0,2.048358120474785
53061.0,Snohomish,Washington,2020-05-17,2784,2020,829933,11.0,1.3254081956013317
53061.0,Snohomish,Washington,2020-05-18,2797,2020,829933,13.0,1.566391503892483
53061.0,Snohomish,Washington,2020-05-19,2818,2020,829933,21.0,2.5303247370570876
53061.0,Snohomish,Washington,2020-05-20,2826,2020,829933,8.0,0.9639332331646049
53061.0,Snohomish,Washington,2020-05-21,2846,2020,829933,20.0,2.409833082911512
53061.0,Snohomish,Washington,2020-05-22,2863,2020,829933,17.0,2.048358120474785
53061.0,Snohomish,Washington,2020-05-23,2863,2020,829933,0.0,0.0
53061.0,Snohomish,Washington,2020-05-24,2895,2020,829933,32.0,3.8557329326584195
53061.0,Snohomish,Washington,2020-05-25,2904,2020,829933,9.0,1.0844248873101805
53061.0,Snohomish,Washington,2020-05-26,2916,2020,829933,12.0,1.4458998497469073
53061.0,Snohomish,Washington,2020-05-27,2927,2020,829933,11.0,1.3254081956013317
53061.0,Snohomish,Washington,2020-05-28,2937,2020,829933,10.0,1.204916541455756
53061.0,Snohomish,Washington,2020-05-29,2945,2020,829933,8.0,0.9639332331646049
53061.0,Snohomish,Washington,2020-05-30,2956,2020,829933,11.0,1.3254081956013317
53061.0,Snohomish,Washington,2020-05-31,2967,2020,829933,11.0,1.3254081956013317
53061.0,Snohomish,Washington,2020-06-01,2983,2020,829933,16.0,1.9278664663292098
53061.0,Snohomish,Washington,2020-06-02,2992,2020,829933,9.0,1.0844248873101805
53061.0,Snohomish,Washington,2020-06-03,3002,2020,829933,10.0,1.204916541455756
53061.0,Snohomish,Washington,2020-06-04,3014,2020,829933,12.0,1.4458998497469073
53061.0,Snohomish,Washington,2020-06-05,3026,2020,829933,12.0,1.4458998497469073
53061.0,Snohomish,Washington,2020-06-06,3032,2020,829933,6.0,0.7229499248734537
53061.0,Snohomish,Washington,2020-06-07,3034,2020,829933,2.0,0.24098330829115122
