fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
53061.0,Snohomish,Washington,2020-03-10,37,2020,829933,0.0,0.0
53061.0,Snohomish,Washington,2020-03-17,266,2020,829933,229.0,27.592588799336813
53061.0,Snohomish,Washington,2020-03-24,614,2020,829933,348.0,41.93109564266031
53061.0,Snohomish,Washington,2020-03-31,1229,2020,829933,615.0,74.10236729952899
53061.0,Snohomish,Washington,2020-04-07,1659,2020,829933,430.0,51.81141128259751
53061.0,Snohomish,Washington,2020-04-14,1950,2020,829933,291.0,35.0630713563625
53061.0,Snohomish,Washington,2020-04-21,2189,2020,829933,239.0,28.79750534079257
53061.0,Snohomish,Washington,2020-04-28,2365,2020,829933,176.0,21.206531129621307
53061.0,Snohomish,Washington,2020-05-05,2549,2020,829933,184.0,22.170464362785914
53061.0,Snohomish,Washington,2020-05-12,2711,2020,829933,162.0,19.519647971583247
53061.0,Snohomish,Washington,2020-05-19,2818,2020,829933,107.0,12.89260699357659
53061.0,Snohomish,Washington,2020-05-26,2916,2020,829933,98.0,11.80818210626641
53061.0,Snohomish,Washington,2020-06-02,2992,2020,829933,76.0,9.157365715063747
53061.0,Snohomish,Washington,2020-06-09,3080,2020,829933,88.0,10.603265564810654
53061.0,Snohomish,Washington,2020-06-16,3184,2020,829933,104.0,12.531132031139864
53061.0,Snohomish,Washington,2020-06-23,3354,2020,829933,170.0,20.483581204747853
53061.0,Snohomish,Washington,2020-06-30,3546,2020,829933,192.0,23.134397595950517
53061.0,Snohomish,Washington,2020-07-07,3795,2020,829933,249.0,30.002421882248328
53061.0,Snohomish,Washington,2020-07-14,4136,2020,829933,341.0,41.08765406364128
53061.0,Snohomish,Washington,2020-07-21,4527,2020,829933,391.0,47.11223677092006
53061.0,Snohomish,Washington,2020-07-28,4906,2020,829933,379.0,45.666336921173155
53061.0,Snohomish,Washington,2020-08-04,5270,2020,829933,364.0,43.85896210898952
53061.0,Snohomish,Washington,2020-08-11,5590,2020,829933,320.0,38.557329326584195
53061.0,Snohomish,Washington,2020-08-18,5858,2020,829933,268.0,32.291763311014265
53061.0,Snohomish,Washington,2020-08-25,6098,2020,829933,240.0,28.917996994938147
53061.0,Snohomish,Washington,2020-09-01,6340,2020,829933,242.0,29.1589803032293
53061.0,Snohomish,Washington,2020-09-08,6515,2020,829933,175.0,21.08603947547573
53061.0,Snohomish,Washington,2020-09-15,6694,2020,829933,179.0,21.568006092058035
53061.0,Snohomish,Washington,2020-09-22,6865,2020,829933,171.0,20.60407285889343
53061.0,Snohomish,Washington,2020-09-29,7099,2020,829933,234.0,28.195047070064692
53061.0,Snohomish,Washington,2020-10-06,7394,2020,829933,295.0,35.545037972944804
53061.0,Snohomish,Washington,2020-10-13,7811,2020,829933,417.0,50.24501977870503
53061.0,Snohomish,Washington,2020-10-20,8342,2020,829933,531.0,63.98106835130065
53061.0,Snohomish,Washington,2020-10-27,8866,2020,829933,524.0,63.137626772281614
53061.0,Snohomish,Washington,2020-11-03,9531,2020,829933,665.0,80.12695000680779
53061.0,Snohomish,Washington,2020-11-10,10722,2020,829933,1191.0,143.50556008738056
53061.0,Snohomish,Washington,2020-11-17,12027,2020,829933,1305.0,157.24160865997618
53061.0,Snohomish,Washington,2020-11-24,13713,2020,829933,1686.0,203.14892888944044
53061.0,Snohomish,Washington,2020-12-01,15343,2020,829933,1630.0,196.4013962572882
53061.0,Snohomish,Washington,2020-12-08,17262,2020,829933,1919.0,231.2234843053596
53061.0,Snohomish,Washington,2020-12-15,19047,2020,829933,1785.0,215.07760264985242
53061.0,Snohomish,Washington,2020-12-22,20407,2020,829933,1360.0,163.86864963798283
53061.0,Snohomish,Washington,2020-12-29,21707,2020,829933,1300.0,156.6391503892483
53061.0,Snohomish,Washington,2021-01-05,23426,2021,836097,1719.0,205.598154281142
53061.0,Snohomish,Washington,2021-01-12,25243,2021,836097,1817.0,217.31928233207393
53061.0,Snohomish,Washington,2021-01-19,26363,2021,836097,1120.0,133.95574915350733
53061.0,Snohomish,Washington,2021-01-26,27163,2021,836097,800.0,95.68267796679093
53061.0,Snohomish,Washington,2021-02-02,27957,2021,836097,794.0,94.96505788204
53061.0,Snohomish,Washington,2021-02-09,28787,2021,836097,830.0,99.2707783905456
