fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
53077,Yakima,Washington,2020-03-10,0,2020,256733,0.0,0.0
53077,Yakima,Washington,2020-03-11,0,2020,256733,0.0,0.0
53077,Yakima,Washington,2020-03-12,0,2020,256733,0.0,0.0
53077,Yakima,Washington,2020-03-13,2,2020,256733,2.0,0.7790194482205247
53077,Yakima,Washington,2020-03-14,4,2020,256733,2.0,0.7790194482205247
53077,Yakima,Washington,2020-03-15,4,2020,256733,0.0,0.0
53077,Yakima,Washington,2020-03-16,4,2020,256733,0.0,0.0
53077,Yakima,Washington,2020-03-17,5,2020,256733,1.0,0.38950972411026236
53077,Yakima,Washington,2020-03-18,7,2020,256733,2.0,0.7790194482205247
53077,Yakima,Washington,2020-03-19,7,2020,256733,0.0,0.0
53077,Yakima,Washington,2020-03-20,10,2020,256733,3.0,1.1685291723307873
53077,Yakima,Washington,2020-03-21,13,2020,256733,3.0,1.1685291723307873
53077,Yakima,Washington,2020-03-22,16,2020,256733,3.0,1.1685291723307873
53077,Yakima,Washington,2020-03-23,16,2020,256733,0.0,0.0
53077,Yakima,Washington,2020-03-24,25,2020,256733,9.0,3.5055875169923616
53077,Yakima,Washington,2020-03-25,47,2020,256733,22.0,8.569213930425773
53077,Yakima,Washington,2020-03-26,61,2020,256733,14.0,5.453136137543674
53077,Yakima,Washington,2020-03-27,66,2020,256733,5.0,1.947548620551312
53077,Yakima,Washington,2020-03-28,82,2020,256733,16.0,6.232155585764198
53077,Yakima,Washington,2020-03-29,140,2020,256733,58.0,22.59156399839522
53077,Yakima,Washington,2020-03-30,147,2020,256733,7.0,2.726568068771837
53077,Yakima,Washington,2020-03-31,161,2020,256733,14.0,5.453136137543674
53077,Yakima,Washington,2020-04-01,161,2020,256733,0.0,0.0
53077,Yakima,Washington,2020-04-02,224,2020,256733,63.0,24.539112618946533
53077,Yakima,Washington,2020-04-03,240,2020,256733,16.0,6.232155585764198
53077,Yakima,Washington,2020-04-04,289,2020,256733,49.0,19.08597648140286
53077,Yakima,Washington,2020-04-05,326,2020,256733,37.0,14.41185979207971
53077,Yakima,Washington,2020-04-06,363,2020,256733,37.0,14.41185979207971
53077,Yakima,Washington,2020-04-07,380,2020,256733,17.0,6.6216653098744604
53077,Yakima,Washington,2020-04-08,400,2020,256733,20.0,7.790194482205248
53077,Yakima,Washington,2020-04-09,433,2020,256733,33.0,12.853820895638659
53077,Yakima,Washington,2020-04-10,447,2020,256733,14.0,5.453136137543674
