fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
53077,Yakima,Washington,2020-03-10,0,2020,256733,0.0,0.0
53077,Yakima,Washington,2020-03-17,5,2020,256733,5.0,1.947548620551312
53077,Yakima,Washington,2020-03-24,25,2020,256733,20.0,7.790194482205248
53077,Yakima,Washington,2020-03-31,161,2020,256733,136.0,52.973322478995684
53077,Yakima,Washington,2020-04-07,380,2020,256733,219.0,85.30262958014747
53077,Yakima,Washington,2020-04-14,614,2020,256733,234.0,91.1452754418014
53077,Yakima,Washington,2020-04-21,868,2020,256733,254.0,98.93546992400665
53077,Yakima,Washington,2020-04-28,1046,2020,256733,178.0,69.33273089162671
53077,Yakima,Washington,2020-05-05,1389,2020,256733,343.0,133.60183536982
53077,Yakima,Washington,2020-05-12,1916,2020,256733,527.0,205.2716246061083
53077,Yakima,Washington,2020-05-19,2444,2020,256733,528.0,205.66113433021854
53077,Yakima,Washington,2020-05-26,3008,2020,256733,564.0,219.683484398188
53077,Yakima,Washington,2020-06-02,3943,2020,256733,935.0,364.19159204309534
53077,Yakima,Washington,2020-06-09,4909,2020,256733,966.0,376.2663934905135
53077,Yakima,Washington,2020-06-16,5662,2020,256733,753.0,293.3008222550276
53077,Yakima,Washington,2020-06-23,6504,2020,256733,842.0,327.96718770084095
53077,Yakima,Washington,2020-06-30,7171,2020,256733,667.0,259.802985981545
53077,Yakima,Washington,2020-07-07,7777,2020,256733,606.0,236.042892810819
53077,Yakima,Washington,2020-07-14,8457,2020,256733,680.0,264.86661239497846
53077,Yakima,Washington,2020-07-21,9325,2020,256733,868.0,338.0944405277078
53077,Yakima,Washington,2020-07-28,9809,2020,256733,484.0,188.522706469367
53077,Yakima,Washington,2020-08-04,10174,2020,256733,365.0,142.17104930024578
53077,Yakima,Washington,2020-08-11,10484,2020,256733,310.0,120.74801447418135
53077,Yakima,Washington,2020-08-18,10756,2020,256733,272.0,105.94664495799137
53077,Yakima,Washington,2020-08-25,10957,2020,256733,201.0,78.29145454616275
53077,Yakima,Washington,2020-09-01,11123,2020,256733,166.0,64.65861420230355
53077,Yakima,Washington,2020-09-08,11268,2020,256733,145.0,56.478909995988055
53077,Yakima,Washington,2020-09-15,11394,2020,256733,126.0,49.078225237893065
