fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
41051,Multnomah,Oregon,2020-03-10,0,2020,816514,0.0,0.0
41051,Multnomah,Oregon,2020-03-11,1,2020,816514,1.0,0.12247187433405918
41051,Multnomah,Oregon,2020-03-12,1,2020,816514,0.0,0.0
41051,Multnomah,Oregon,2020-03-13,1,2020,816514,0.0,0.0
41051,Multnomah,Oregon,2020-03-14,1,2020,816514,0.0,0.0
41051,Multnomah,Oregon,2020-03-15,1,2020,816514,0.0,0.0
41051,Multnomah,Oregon,2020-03-16,1,2020,816514,0.0,0.0
41051,Multnomah,Oregon,2020-03-17,3,2020,816514,2.0,0.24494374866811836
41051,Multnomah,Oregon,2020-03-18,3,2020,816514,0.0,0.0
41051,Multnomah,Oregon,2020-03-19,7,2020,816514,4.0,0.4898874973362367
41051,Multnomah,Oregon,2020-03-20,12,2020,816514,5.0,0.612359371670296
41051,Multnomah,Oregon,2020-03-21,18,2020,816514,6.0,0.7348312460043551
41051,Multnomah,Oregon,2020-03-22,19,2020,816514,1.0,0.12247187433405918
41051,Multnomah,Oregon,2020-03-23,21,2020,816514,2.0,0.24494374866811836
41051,Multnomah,Oregon,2020-03-24,25,2020,816514,4.0,0.4898874973362367
41051,Multnomah,Oregon,2020-03-25,33,2020,816514,8.0,0.9797749946724734
41051,Multnomah,Oregon,2020-03-26,45,2020,816514,12.0,1.4696624920087102
41051,Multnomah,Oregon,2020-03-27,67,2020,816514,22.0,2.6943812353493017
41051,Multnomah,Oregon,2020-03-28,81,2020,816514,14.0,1.7146062406768285
41051,Multnomah,Oregon,2020-03-29,91,2020,816514,10.0,1.224718743340592
41051,Multnomah,Oregon,2020-03-30,100,2020,816514,9.0,1.1022468690065328
41051,Multnomah,Oregon,2020-03-31,116,2020,816514,16.0,1.9595499893449468
41051,Multnomah,Oregon,2020-04-01,134,2020,816514,18.0,2.2044937380130656
41051,Multnomah,Oregon,2020-04-02,160,2020,816514,26.0,3.184268732685539
41051,Multnomah,Oregon,2020-04-03,175,2020,816514,15.0,1.8370781150108877
41051,Multnomah,Oregon,2020-04-04,175,2020,816514,0.0,0.0
41051,Multnomah,Oregon,2020-04-05,233,2020,816514,58.0,7.103368711375433
41051,Multnomah,Oregon,2020-04-06,233,2020,816514,0.0,0.0
41051,Multnomah,Oregon,2020-04-07,243,2020,816514,10.0,1.224718743340592
41051,Multnomah,Oregon,2020-04-08,258,2020,816514,15.0,1.8370781150108877
41051,Multnomah,Oregon,2020-04-09,302,2020,816514,44.0,5.3887624706986035
41051,Multnomah,Oregon,2020-04-10,302,2020,816514,0.0,0.0
41051,Multnomah,Oregon,2020-04-11,317,2020,816514,15.0,1.8370781150108877
41051,Multnomah,Oregon,2020-04-12,374,2020,816514,57.0,6.980896837041373
41051,Multnomah,Oregon,2020-04-13,398,2020,816514,24.0,2.9393249840174205
41051,Multnomah,Oregon,2020-04-14,420,2020,816514,22.0,2.6943812353493017
41051,Multnomah,Oregon,2020-04-15,430,2020,816514,10.0,1.224718743340592
41051,Multnomah,Oregon,2020-04-16,448,2020,816514,18.0,2.2044937380130656
41051,Multnomah,Oregon,2020-04-17,467,2020,816514,19.0,2.3269656123471245
41051,Multnomah,Oregon,2020-04-18,493,2020,816514,26.0,3.184268732685539
41051,Multnomah,Oregon,2020-04-19,514,2020,816514,21.0,2.571909361015243
41051,Multnomah,Oregon,2020-04-20,520,2020,816514,6.0,0.7348312460043551
41051,Multnomah,Oregon,2020-04-21,542,2020,816514,22.0,2.6943812353493017
41051,Multnomah,Oregon,2020-04-22,566,2020,816514,24.0,2.9393249840174205
41051,Multnomah,Oregon,2020-04-23,582,2020,816514,16.0,1.9595499893449468
41051,Multnomah,Oregon,2020-04-24,596,2020,816514,14.0,1.7146062406768285
41051,Multnomah,Oregon,2020-04-25,623,2020,816514,27.0,3.306740607019598
41051,Multnomah,Oregon,2020-04-26,652,2020,816514,29.0,3.5516843556877165
41051,Multnomah,Oregon,2020-04-27,664,2020,816514,12.0,1.4696624920087102
41051,Multnomah,Oregon,2020-04-28,677,2020,816514,13.0,1.5921343663427694
41051,Multnomah,Oregon,2020-04-29,696,2020,816514,19.0,2.3269656123471245
41051,Multnomah,Oregon,2020-04-30,707,2020,816514,11.0,1.3471906176746509
41051,Multnomah,Oregon,2020-05-01,720,2020,816514,13.0,1.5921343663427694
41051,Multnomah,Oregon,2020-05-02,734,2020,816514,14.0,1.7146062406768285
41051,Multnomah,Oregon,2020-05-03,739,2020,816514,5.0,0.612359371670296
41051,Multnomah,Oregon,2020-05-04,754,2020,816514,15.0,1.8370781150108877
41051,Multnomah,Oregon,2020-05-05,769,2020,816514,15.0,1.8370781150108877
41051,Multnomah,Oregon,2020-05-06,793,2020,816514,24.0,2.9393249840174205
41051,Multnomah,Oregon,2020-05-07,809,2020,816514,16.0,1.9595499893449468
41051,Multnomah,Oregon,2020-05-08,839,2020,816514,30.0,3.6741562300217754
41051,Multnomah,Oregon,2020-05-09,863,2020,816514,24.0,2.9393249840174205
41051,Multnomah,Oregon,2020-05-10,885,2020,816514,22.0,2.6943812353493017
41051,Multnomah,Oregon,2020-05-11,899,2020,816514,14.0,1.7146062406768285
41051,Multnomah,Oregon,2020-05-12,908,2020,816514,9.0,1.1022468690065328
41051,Multnomah,Oregon,2020-05-13,921,2020,816514,13.0,1.5921343663427694
41051,Multnomah,Oregon,2020-05-14,940,2020,816514,19.0,2.3269656123471245
41051,Multnomah,Oregon,2020-05-15,957,2020,816514,17.0,2.082021863679006
41051,Multnomah,Oregon,2020-05-16,979,2020,816514,22.0,2.6943812353493017
41051,Multnomah,Oregon,2020-05-17,984,2020,816514,5.0,0.612359371670296
41051,Multnomah,Oregon,2020-05-18,996,2020,816514,12.0,1.4696624920087102
41051,Multnomah,Oregon,2020-05-19,1005,2020,816514,9.0,1.1022468690065328
41051,Multnomah,Oregon,2020-05-20,1018,2020,816514,13.0,1.5921343663427694
41051,Multnomah,Oregon,2020-05-21,1026,2020,816514,8.0,0.9797749946724734
41051,Multnomah,Oregon,2020-05-22,1037,2020,816514,11.0,1.3471906176746509
41051,Multnomah,Oregon,2020-05-23,1037,2020,816514,0.0,0.0
41051,Multnomah,Oregon,2020-05-24,1040,2020,816514,3.0,0.36741562300217756
41051,Multnomah,Oregon,2020-05-25,1045,2020,816514,5.0,0.612359371670296
41051,Multnomah,Oregon,2020-05-26,1052,2020,816514,7.0,0.8573031203384143
41051,Multnomah,Oregon,2020-05-27,1093,2020,816514,41.0,5.021346847696427
41051,Multnomah,Oregon,2020-05-28,1103,2020,816514,10.0,1.224718743340592
41051,Multnomah,Oregon,2020-05-29,1121,2020,816514,18.0,2.2044937380130656
41051,Multnomah,Oregon,2020-05-30,1142,2020,816514,21.0,2.571909361015243
41051,Multnomah,Oregon,2020-05-31,1165,2020,816514,23.0,2.816853109683361
41051,Multnomah,Oregon,2020-06-01,1171,2020,816514,6.0,0.7348312460043551
41051,Multnomah,Oregon,2020-06-02,1181,2020,816514,10.0,1.224718743340592
41051,Multnomah,Oregon,2020-06-03,1194,2020,816514,13.0,1.5921343663427694
41051,Multnomah,Oregon,2020-06-04,1224,2020,816514,30.0,3.6741562300217754
41051,Multnomah,Oregon,2020-06-05,1236,2020,816514,12.0,1.4696624920087102
41051,Multnomah,Oregon,2020-06-06,1236,2020,816514,0.0,0.0
41051,Multnomah,Oregon,2020-06-07,1264,2020,816514,28.0,3.429212481353657
41051,Multnomah,Oregon,2020-06-08,1302,2020,816514,38.0,4.653931224694249
41051,Multnomah,Oregon,2020-06-09,1329,2020,816514,27.0,3.306740607019598
41051,Multnomah,Oregon,2020-06-10,1361,2020,816514,32.0,3.9190999786898937
41051,Multnomah,Oregon,2020-06-11,1404,2020,816514,43.0,5.266290596364545
41051,Multnomah,Oregon,2020-06-12,1440,2020,816514,36.0,4.408987476026131
41051,Multnomah,Oregon,2020-06-13,1440,2020,816514,0.0,0.0
41051,Multnomah,Oregon,2020-06-14,1519,2020,816514,79.0,9.675278072390675
41051,Multnomah,Oregon,2020-06-15,1556,2020,816514,37.0,4.53145935036019
41051,Multnomah,Oregon,2020-06-16,1598,2020,816514,42.0,5.143818722030486
41051,Multnomah,Oregon,2020-06-17,1632,2020,816514,34.0,4.164043727358012
41051,Multnomah,Oregon,2020-06-18,1665,2020,816514,33.0,4.041571853023953
41051,Multnomah,Oregon,2020-06-19,1714,2020,816514,49.0,6.0011218423688995
41051,Multnomah,Oregon,2020-06-20,1748,2020,816514,34.0,4.164043727358012
41051,Multnomah,Oregon,2020-06-21,1832,2020,816514,84.0,10.287637444060971
41051,Multnomah,Oregon,2020-06-22,1849,2020,816514,17.0,2.082021863679006
41051,Multnomah,Oregon,2020-06-23,1893,2020,816514,44.0,5.3887624706986035
41051,Multnomah,Oregon,2020-06-24,1938,2020,816514,45.0,5.511234345032664
41051,Multnomah,Oregon,2020-06-25,1967,2020,816514,29.0,3.5516843556877165
41051,Multnomah,Oregon,2020-06-26,2028,2020,816514,61.0,7.470784334377611
41051,Multnomah,Oregon,2020-06-27,2087,2020,816514,59.0,7.225840585709492
41051,Multnomah,Oregon,2020-06-28,2139,2020,816514,52.0,6.368537465371078
41051,Multnomah,Oregon,2020-06-29,2167,2020,816514,28.0,3.429212481353657
41051,Multnomah,Oregon,2020-06-30,2202,2020,816514,35.0,4.286515601692071
41051,Multnomah,Oregon,2020-07-01,2239,2020,816514,37.0,4.53145935036019
41051,Multnomah,Oregon,2020-07-02,2301,2020,816514,62.0,7.5932562087116695
41051,Multnomah,Oregon,2020-07-03,2361,2020,816514,60.0,7.348312460043551
41051,Multnomah,Oregon,2020-07-04,2417,2020,816514,56.0,6.858424962707314
41051,Multnomah,Oregon,2020-07-05,2488,2020,816514,71.0,8.695503077718202
41051,Multnomah,Oregon,2020-07-06,2529,2020,816514,41.0,5.021346847696427
41051,Multnomah,Oregon,2020-07-07,2580,2020,816514,51.0,6.246065591037019
41051,Multnomah,Oregon,2020-07-08,2608,2020,816514,28.0,3.429212481353657
41051,Multnomah,Oregon,2020-07-09,2694,2020,816514,86.0,10.53258119272909
41051,Multnomah,Oregon,2020-07-10,2730,2020,816514,36.0,4.408987476026131
41051,Multnomah,Oregon,2020-07-11,2824,2020,816514,94.0,11.512356187401563
41051,Multnomah,Oregon,2020-07-12,2888,2020,816514,64.0,7.838199957379787
41051,Multnomah,Oregon,2020-07-13,2966,2020,816514,78.0,9.552806198056615
41051,Multnomah,Oregon,2020-07-14,3038,2020,816514,72.0,8.817974952052262
41051,Multnomah,Oregon,2020-07-15,3095,2020,816514,57.0,6.980896837041373
41051,Multnomah,Oregon,2020-07-16,3199,2020,816514,104.0,12.737074930742155
41051,Multnomah,Oregon,2020-07-17,3285,2020,816514,86.0,10.53258119272909
41051,Multnomah,Oregon,2020-07-18,3369,2020,816514,84.0,10.287637444060971
41051,Multnomah,Oregon,2020-07-19,3486,2020,816514,117.0,14.329209297084924
41051,Multnomah,Oregon,2020-07-20,3566,2020,816514,80.0,9.797749946724736
41051,Multnomah,Oregon,2020-07-21,3631,2020,816514,65.0,7.960671831713848
41051,Multnomah,Oregon,2020-07-22,3678,2020,816514,47.0,5.756178093700782
41051,Multnomah,Oregon,2020-07-23,3743,2020,816514,65.0,7.960671831713848
41051,Multnomah,Oregon,2020-07-24,3813,2020,816514,70.0,8.573031203384142
