fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
41005,Clackamas,Oregon,2020-03-10,0,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-03-17,6,2020,422468,6.0,1.4202259106015132
41005,Clackamas,Oregon,2020-03-24,17,2020,422468,11.0,2.6037475027694406
41005,Clackamas,Oregon,2020-03-31,50,2020,422468,33.0,7.811242508308323
41005,Clackamas,Oregon,2020-04-07,90,2020,422468,40.0,9.46817273734342
41005,Clackamas,Oregon,2020-04-14,135,2020,422468,45.0,10.651694329511347
41005,Clackamas,Oregon,2020-04-21,173,2020,422468,38.0,8.99476410047625
41005,Clackamas,Oregon,2020-04-28,205,2020,422468,32.0,7.574538189874735
41005,Clackamas,Oregon,2020-05-05,231,2020,422468,26.0,6.154312279273223
41005,Clackamas,Oregon,2020-05-12,274,2020,422468,43.0,10.178285692644176
41005,Clackamas,Oregon,2020-05-19,284,2020,422468,10.0,2.367043184335855
41005,Clackamas,Oregon,2020-05-26,296,2020,422468,12.0,2.8404518212030263
41005,Clackamas,Oregon,2020-06-02,317,2020,422468,21.0,4.970790687105295
41005,Clackamas,Oregon,2020-06-09,393,2020,422468,76.0,17.9895282009525
41005,Clackamas,Oregon,2020-06-16,509,2020,422468,116.0,27.45770093829592
41005,Clackamas,Oregon,2020-06-23,632,2020,422468,123.0,29.114631167331016
41005,Clackamas,Oregon,2020-06-30,733,2020,422468,101.0,23.907136161792135
41005,Clackamas,Oregon,2020-07-07,877,2020,422468,144.0,34.08542185443631
41005,Clackamas,Oregon,2020-07-14,1027,2020,422468,150.0,35.50564776503783
41005,Clackamas,Oregon,2020-07-21,1156,2020,422468,129.0,30.534857077932532
41005,Clackamas,Oregon,2020-07-28,1296,2020,422468,140.0,33.13860458070197
41005,Clackamas,Oregon,2020-08-04,1443,2020,422468,147.0,34.79553480973707
41005,Clackamas,Oregon,2020-08-11,1571,2020,422468,128.0,30.29815275949894
41005,Clackamas,Oregon,2020-08-18,1709,2020,422468,138.0,32.6651959438348
41005,Clackamas,Oregon,2020-08-25,1852,2020,422468,143.0,33.84871753600273
41005,Clackamas,Oregon,2020-09-01,1979,2020,422468,127.0,30.061448441065355
41005,Clackamas,Oregon,2020-09-08,2095,2020,422468,116.0,27.45770093829592
41005,Clackamas,Oregon,2020-09-15,2178,2020,422468,83.0,19.646458429987597
41005,Clackamas,Oregon,2020-09-22,2304,2020,422468,126.0,29.82474412263177
41005,Clackamas,Oregon,2020-09-29,2448,2020,422468,144.0,34.08542185443631
41005,Clackamas,Oregon,2020-10-06,2595,2020,422468,147.0,34.79553480973707
41005,Clackamas,Oregon,2020-10-13,2792,2020,422468,197.0,46.63075073141634
