fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
41009.0,Columbia,Oregon,2020-03-10,0,2020,52724,0.0,0.0
41009.0,Columbia,Oregon,2020-03-17,0,2020,52724,0.0,0.0
41009.0,Columbia,Oregon,2020-03-24,0,2020,52724,0.0,0.0
41009.0,Columbia,Oregon,2020-03-31,1,2020,52724,1.0,1.8966694484485245
41009.0,Columbia,Oregon,2020-04-07,8,2020,52724,7.0,13.27668613913967
41009.0,Columbia,Oregon,2020-04-14,11,2020,52724,3.0,5.690008345345573
41009.0,Columbia,Oregon,2020-04-21,14,2020,52724,3.0,5.690008345345573
41009.0,Columbia,Oregon,2020-04-28,14,2020,52724,0.0,0.0
41009.0,Columbia,Oregon,2020-05-05,14,2020,52724,0.0,0.0
41009.0,Columbia,Oregon,2020-05-12,15,2020,52724,1.0,1.8966694484485245
41009.0,Columbia,Oregon,2020-05-19,16,2020,52724,1.0,1.8966694484485245
41009.0,Columbia,Oregon,2020-05-26,16,2020,52724,0.0,0.0
41009.0,Columbia,Oregon,2020-06-02,16,2020,52724,0.0,0.0
41009.0,Columbia,Oregon,2020-06-09,17,2020,52724,1.0,1.8966694484485245
41009.0,Columbia,Oregon,2020-06-16,22,2020,52724,5.0,9.48334724224262
41009.0,Columbia,Oregon,2020-06-23,26,2020,52724,4.0,7.586677793794098
41009.0,Columbia,Oregon,2020-06-30,29,2020,52724,3.0,5.690008345345573
41009.0,Columbia,Oregon,2020-07-07,44,2020,52724,15.0,28.450041726727864
41009.0,Columbia,Oregon,2020-07-14,57,2020,52724,13.0,24.65670282983082
41009.0,Columbia,Oregon,2020-07-21,63,2020,52724,6.0,11.380016690691146
41009.0,Columbia,Oregon,2020-07-28,70,2020,52724,7.0,13.27668613913967
41009.0,Columbia,Oregon,2020-08-04,84,2020,52724,14.0,26.55337227827934
41009.0,Columbia,Oregon,2020-08-11,101,2020,52724,17.0,32.243380623624915
41009.0,Columbia,Oregon,2020-08-18,115,2020,52724,14.0,26.55337227827934
41009.0,Columbia,Oregon,2020-08-25,126,2020,52724,11.0,20.86336393293377
41009.0,Columbia,Oregon,2020-09-01,130,2020,52724,4.0,7.586677793794098
41009.0,Columbia,Oregon,2020-09-08,136,2020,52724,6.0,11.380016690691146
41009.0,Columbia,Oregon,2020-09-15,145,2020,52724,9.0,17.07002503603672
41009.0,Columbia,Oregon,2020-09-22,154,2020,52724,9.0,17.07002503603672
41009.0,Columbia,Oregon,2020-09-29,182,2020,52724,28.0,53.10674455655868
41009.0,Columbia,Oregon,2020-10-06,210,2020,52724,28.0,53.10674455655868
41009.0,Columbia,Oregon,2020-10-13,232,2020,52724,22.0,41.72672786586754
41009.0,Columbia,Oregon,2020-10-20,247,2020,52724,15.0,28.450041726727864
41009.0,Columbia,Oregon,2020-10-27,269,2020,52724,22.0,41.72672786586754
41009.0,Columbia,Oregon,2020-11-03,285,2020,52724,16.0,30.34671117517639
41009.0,Columbia,Oregon,2020-11-10,318,2020,52724,33.0,62.5900917988013
41009.0,Columbia,Oregon,2020-11-17,365,2020,52724,47.0,89.14346407708065
41009.0,Columbia,Oregon,2020-11-24,445,2020,52724,80.0,151.73355587588193
41009.0,Columbia,Oregon,2020-12-01,526,2020,52724,81.0,153.6302253243305
41009.0,Columbia,Oregon,2020-12-08,607,2020,52724,81.0,153.6302253243305
41009.0,Columbia,Oregon,2020-12-15,689,2020,52724,82.0,155.526894772779
41009.0,Columbia,Oregon,2020-12-22,767,2020,52724,78.0,147.9402169789849
41009.0,Columbia,Oregon,2020-12-29,817,2020,52724,50.0,94.83347242242621
41009.0,Columbia,Oregon,2021-01-05,897,2021,53202,80.0,150.37028683132212
41009.0,Columbia,Oregon,2021-01-12,976,2021,53202,79.0,148.4906582459306
41009.0,Columbia,Oregon,2021-01-19,1054,2021,53202,78.0,146.61102966053906
41009.0,Columbia,Oregon,2021-01-26,1082,2021,53202,28.0,52.62960039096275
41009.0,Columbia,Oregon,2021-02-02,1119,2021,53202,37.0,69.54625765948649
41009.0,Columbia,Oregon,2021-02-09,1148,2021,53202,29.0,54.50922897635427
41009.0,Columbia,Oregon,2021-02-16,1178,2021,53202,30.0,56.3888575617458
41009.0,Columbia,Oregon,2021-02-23,1232,2021,53202,54.0,101.49994361114244
41009.0,Columbia,Oregon,2021-03-02,1271,2021,53202,39.0,73.30551483026953
41009.0,Columbia,Oregon,2021-03-09,1285,2021,53202,14.0,26.314800195481375
41009.0,Columbia,Oregon,2021-03-16,1299,2021,53202,14.0,26.314800195481375
41009.0,Columbia,Oregon,2021-03-23,1313,2021,53202,14.0,26.314800195481375
