fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
41027,Hood River,Oregon,2020-03-10,0,2020,23962,0.0,0.0
41027,Hood River,Oregon,2020-03-17,0,2020,23962,0.0,0.0
41027,Hood River,Oregon,2020-03-24,1,2020,23962,1.0,4.173274351055839
41027,Hood River,Oregon,2020-03-31,3,2020,23962,2.0,8.346548702111678
41027,Hood River,Oregon,2020-04-07,2,2020,23962,-1.0,-4.173274351055839
41027,Hood River,Oregon,2020-04-14,4,2020,23962,2.0,8.346548702111678
41027,Hood River,Oregon,2020-04-21,4,2020,23962,0.0,0.0
41027,Hood River,Oregon,2020-04-28,5,2020,23962,1.0,4.173274351055839
41027,Hood River,Oregon,2020-05-05,11,2020,23962,6.0,25.03964610633503
41027,Hood River,Oregon,2020-05-12,13,2020,23962,2.0,8.346548702111678
41027,Hood River,Oregon,2020-05-19,14,2020,23962,1.0,4.173274351055839
41027,Hood River,Oregon,2020-05-26,12,2020,23962,-2.0,-8.346548702111678
41027,Hood River,Oregon,2020-06-02,22,2020,23962,10.0,41.732743510558386
41027,Hood River,Oregon,2020-06-09,65,2020,23962,43.0,179.45079709540104
41027,Hood River,Oregon,2020-06-16,83,2020,23962,18.0,75.1189383190051
41027,Hood River,Oregon,2020-06-23,89,2020,23962,6.0,25.03964610633503
41027,Hood River,Oregon,2020-06-30,88,2020,23962,-1.0,-4.173274351055839
41027,Hood River,Oregon,2020-07-07,97,2020,23962,9.0,37.55946915950255
41027,Hood River,Oregon,2020-07-14,109,2020,23962,12.0,50.07929221267006
41027,Hood River,Oregon,2020-07-21,135,2020,23962,26.0,108.50513312745181
41027,Hood River,Oregon,2020-07-28,151,2020,23962,16.0,66.77238961689342
41027,Hood River,Oregon,2020-08-04,174,2020,23962,23.0,95.98531007428429
41027,Hood River,Oregon,2020-08-11,201,2020,23962,27.0,112.67840747850764
41027,Hood River,Oregon,2020-08-18,220,2020,23962,19.0,79.29221267006092
41027,Hood River,Oregon,2020-08-25,225,2020,23962,5.0,20.866371755279193
41027,Hood River,Oregon,2020-09-01,236,2020,23962,11.0,45.906017861614224
41027,Hood River,Oregon,2020-09-08,238,2020,23962,2.0,8.346548702111678
41027,Hood River,Oregon,2020-09-15,238,2020,23962,0.0,0.0
41027,Hood River,Oregon,2020-09-22,246,2020,23962,8.0,33.38619480844671
41027,Hood River,Oregon,2020-09-29,252,2020,23962,6.0,25.03964610633503
41027,Hood River,Oregon,2020-10-06,255,2020,23962,3.0,12.519823053167515
41027,Hood River,Oregon,2020-10-13,268,2020,23962,13.0,54.25256656372591
41027,Hood River,Oregon,2020-10-20,269,2020,23962,1.0,4.173274351055839
41027,Hood River,Oregon,2020-10-27,277,2020,23962,8.0,33.38619480844671
41027,Hood River,Oregon,2020-11-03,291,2020,23962,14.0,58.42584091478174
41027,Hood River,Oregon,2020-11-10,305,2020,23962,14.0,58.42584091478174
41027,Hood River,Oregon,2020-11-17,327,2020,23962,22.0,91.81203572322845
41027,Hood River,Oregon,2020-11-24,372,2020,23962,45.0,187.79734579751272
