fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
41067,Washington,Oregon,2020-03-10,8,2020,601130,0.0,0.0
41067,Washington,Oregon,2020-03-11,8,2020,601130,0.0,0.0
41067,Washington,Oregon,2020-03-12,10,2020,601130,2.0,0.3327067356478632
41067,Washington,Oregon,2020-03-13,10,2020,601130,0.0,0.0
41067,Washington,Oregon,2020-03-14,13,2020,601130,3.0,0.4990601034717948
41067,Washington,Oregon,2020-03-15,13,2020,601130,0.0,0.0
41067,Washington,Oregon,2020-03-16,13,2020,601130,0.0,0.0
41067,Washington,Oregon,2020-03-17,21,2020,601130,8.0,1.3308269425914527
41067,Washington,Oregon,2020-03-18,23,2020,601130,2.0,0.3327067356478632
41067,Washington,Oregon,2020-03-19,25,2020,601130,2.0,0.3327067356478632
41067,Washington,Oregon,2020-03-20,31,2020,601130,6.0,0.9981202069435896
41067,Washington,Oregon,2020-03-21,42,2020,601130,11.0,1.8298870460632475
41067,Washington,Oregon,2020-03-22,55,2020,601130,13.0,2.1625937817111107
41067,Washington,Oregon,2020-03-23,69,2020,601130,14.0,2.3289471495350424
41067,Washington,Oregon,2020-03-24,76,2020,601130,7.0,1.1644735747675212
41067,Washington,Oregon,2020-03-25,96,2020,601130,20.0,3.3270673564786324
41067,Washington,Oregon,2020-03-26,104,2020,601130,8.0,1.3308269425914527
41067,Washington,Oregon,2020-03-27,122,2020,601130,18.0,2.994360620830769
41067,Washington,Oregon,2020-03-28,140,2020,601130,18.0,2.994360620830769
41067,Washington,Oregon,2020-03-29,154,2020,601130,14.0,2.3289471495350424
41067,Washington,Oregon,2020-03-30,168,2020,601130,14.0,2.3289471495350424
41067,Washington,Oregon,2020-03-31,186,2020,601130,18.0,2.994360620830769
41067,Washington,Oregon,2020-04-01,189,2020,601130,3.0,0.4990601034717948
41067,Washington,Oregon,2020-04-02,211,2020,601130,22.0,3.659774092126495
41067,Washington,Oregon,2020-04-03,228,2020,601130,17.0,2.828007253006837
41067,Washington,Oregon,2020-04-04,228,2020,601130,0.0,0.0
41067,Washington,Oregon,2020-04-05,259,2020,601130,31.0,5.15695440254188
41067,Washington,Oregon,2020-04-06,259,2020,601130,0.0,0.0
41067,Washington,Oregon,2020-04-07,271,2020,601130,12.0,1.9962404138871792
41067,Washington,Oregon,2020-04-08,282,2020,601130,11.0,1.8298870460632475
41067,Washington,Oregon,2020-04-09,311,2020,601130,29.0,4.824247666894016
41067,Washington,Oregon,2020-04-10,311,2020,601130,0.0,0.0
41067,Washington,Oregon,2020-04-11,320,2020,601130,9.0,1.4971803104153845
41067,Washington,Oregon,2020-04-12,348,2020,601130,28.0,4.657894299070085
41067,Washington,Oregon,2020-04-13,360,2020,601130,12.0,1.9962404138871792
41067,Washington,Oregon,2020-04-14,365,2020,601130,5.0,0.8317668391196581
