fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
41067.0,Washington,Oregon,2020-03-10,8,2020,601130,0.0,0.0
41067.0,Washington,Oregon,2020-03-17,21,2020,601130,13.0,2.1625937817111107
41067.0,Washington,Oregon,2020-03-24,76,2020,601130,55.0,9.149435230316238
41067.0,Washington,Oregon,2020-03-31,186,2020,601130,110.0,18.298870460632475
41067.0,Washington,Oregon,2020-04-07,271,2020,601130,85.0,14.140036265034185
41067.0,Washington,Oregon,2020-04-14,365,2020,601130,94.0,15.63721657544957
41067.0,Washington,Oregon,2020-04-21,415,2020,601130,50.0,8.31766839119658
41067.0,Washington,Oregon,2020-04-28,474,2020,601130,59.0,9.814848701611963
41067.0,Washington,Oregon,2020-05-05,531,2020,601130,57.0,9.482141965964102
41067.0,Washington,Oregon,2020-05-12,601,2020,601130,70.0,11.644735747675211
41067.0,Washington,Oregon,2020-05-19,644,2020,601130,43.0,7.153194816429059
41067.0,Washington,Oregon,2020-05-26,698,2020,601130,54.0,8.983081862492305
41067.0,Washington,Oregon,2020-06-02,747,2020,601130,49.0,8.151315023372648
41067.0,Washington,Oregon,2020-06-09,807,2020,601130,60.0,9.981202069435897
41067.0,Washington,Oregon,2020-06-16,928,2020,601130,121.0,20.128757506695724
41067.0,Washington,Oregon,2020-06-23,1120,2020,601130,192.0,31.939846622194867
41067.0,Washington,Oregon,2020-06-30,1331,2020,601130,211.0,35.10056061084957
41067.0,Washington,Oregon,2020-07-07,1645,2020,601130,314.0,52.23495749671453
41067.0,Washington,Oregon,2020-07-14,1945,2020,601130,300.0,49.906010347179475
41067.0,Washington,Oregon,2020-07-21,2276,2020,601130,331.0,55.06296474972136
41067.0,Washington,Oregon,2020-07-28,2583,2020,601130,307.0,51.070483921947
41067.0,Washington,Oregon,2020-08-04,2877,2020,601130,294.0,48.90789014023589
41067.0,Washington,Oregon,2020-08-11,3161,2020,601130,284.0,47.244356461996574
41067.0,Washington,Oregon,2020-08-18,3380,2020,601130,219.0,36.43138755344102
41067.0,Washington,Oregon,2020-08-25,3610,2020,601130,230.0,38.26127459950426
41067.0,Washington,Oregon,2020-09-01,3822,2020,601130,212.0,35.2669139786735
41067.0,Washington,Oregon,2020-09-08,3996,2020,601130,174.0,28.9454860013641
41067.0,Washington,Oregon,2020-09-15,4145,2020,601130,149.0,24.78665180576581
41067.0,Washington,Oregon,2020-09-22,4355,2020,601130,210.0,34.93420724302563
41067.0,Washington,Oregon,2020-09-29,4581,2020,601130,226.0,37.59586112820854
41067.0,Washington,Oregon,2020-10-06,4840,2020,601130,259.0,43.085522266398286
41067.0,Washington,Oregon,2020-10-13,5146,2020,601130,306.0,50.904130554123064
41067.0,Washington,Oregon,2020-10-20,5429,2020,601130,283.0,47.078003094172644
41067.0,Washington,Oregon,2020-10-27,5838,2020,601130,409.0,68.03852743998803
41067.0,Washington,Oregon,2020-11-03,6356,2020,601130,518.0,86.17104453279657
41067.0,Washington,Oregon,2020-11-10,7108,2020,601130,752.0,125.09773260359655
41067.0,Washington,Oregon,2020-11-17,8020,2020,601130,912.0,151.71427145542563
41067.0,Washington,Oregon,2020-11-24,9222,2020,601130,1202.0,199.95674812436576
41067.0,Washington,Oregon,2020-12-01,10714,2020,601130,1492.0,248.19922479330592
41067.0,Washington,Oregon,2020-12-08,12375,2020,601130,1661.0,276.3129439555504
41067.0,Washington,Oregon,2020-12-15,13636,2020,601130,1261.0,209.77159682597775
41067.0,Washington,Oregon,2020-12-22,14878,2020,601130,1242.0,206.61088283732303
41067.0,Washington,Oregon,2020-12-29,15785,2020,601130,907.0,150.88250461630597
41067.0,Washington,Oregon,2021-01-05,16838,2021,602453,1053.0,174.7854189455443
41067.0,Washington,Oregon,2021-01-12,17975,2021,602453,1137.0,188.72841532866462
41067.0,Washington,Oregon,2021-01-19,18808,2021,602453,833.0,138.2680474659434
41067.0,Washington,Oregon,2021-01-26,19370,2021,602453,562.0,93.28528532516229
41067.0,Washington,Oregon,2021-02-02,19961,2021,602453,591.0,98.09893883838241
41067.0,Washington,Oregon,2021-02-09,20390,2021,602453,429.0,71.20887438522175
41067.0,Washington,Oregon,2021-02-16,20678,2021,602453,288.0,47.80455902784118
41067.0,Washington,Oregon,2021-02-23,20962,2021,602453,284.0,47.14060681912116
41067.0,Washington,Oregon,2021-03-02,21287,2021,602453,325.0,53.94611695850132
41067.0,Washington,Oregon,2021-03-09,21507,2021,602453,220.0,36.5173714796009
41067.0,Washington,Oregon,2021-03-16,21759,2021,602453,252.0,41.82898914936103
41067.0,Washington,Oregon,2021-03-23,21972,2021,602453,213.0,35.35545511434087
41067.0,Washington,Oregon,2021-03-30,22288,2021,602453,316.0,52.45222448888129
41067.0,Washington,Oregon,2021-04-06,22625,2021,602453,337.0,55.93797358466137
41067.0,Washington,Oregon,2021-04-13,23060,2021,602453,435.0,72.20480269830178
41067.0,Washington,Oregon,2021-04-20,23569,2021,602453,509.0,84.48791855962207
41067.0,Washington,Oregon,2021-04-27,24307,2021,602453,738.0,122.49918250884302
41067.0,Washington,Oregon,2021-05-04,24904,2021,602453,597.0,99.09486715146245
41067.0,Washington,Oregon,2021-05-11,25452,2021,602453,548.0,90.96145259464224
41067.0,Washington,Oregon,2021-05-18,25852,2021,602453,400.0,66.39522087200163
41067.0,Washington,Oregon,2021-05-25,26155,2021,602453,303.0,50.29437981054123
41067.0,Washington,Oregon,2021-06-01,26368,2021,602453,213.0,35.35545511434087
41067.0,Washington,Oregon,2021-06-08,26534,2021,602453,166.0,27.554016661880677
41067.0,Washington,Oregon,2021-06-15,26690,2021,602453,156.0,25.894136140080636
41067.0,Washington,Oregon,2021-06-22,26812,2021,602453,122.0,20.2505423659605
41067.0,Washington,Oregon,2021-06-29,26939,2021,602453,127.0,21.08048262686052
41067.0,Washington,Oregon,2021-07-06,26996,2021,602453,57.0,9.461318974260232
41067.0,Washington,Oregon,2021-07-13,27118,2021,602453,122.0,20.2505423659605
41067.0,Washington,Oregon,2021-07-20,27330,2021,602453,212.0,35.189467062160865
41067.0,Washington,Oregon,2021-07-27,27645,2021,602453,315.0,52.28623643670128
41067.0,Washington,Oregon,2021-08-03,28086,2021,602453,441.0,73.2007310113818
41067.0,Washington,Oregon,2021-08-10,28593,2021,602453,507.0,84.15594245526206
41067.0,Washington,Oregon,2021-08-17,29682,2021,602453,1089.0,180.76098882402445
41067.0,Washington,Oregon,2021-08-24,30710,2021,602453,1028.0,170.6357176410442
41067.0,Washington,Oregon,2021-08-31,31833,2021,602453,1123.0,186.4045825981446
41067.0,Washington,Oregon,2021-09-07,32991,2021,602453,1158.0,192.21416442444473
41067.0,Washington,Oregon,2021-09-14,34129,2021,602453,1138.0,188.89440338084466
41067.0,Washington,Oregon,2021-09-21,35086,2021,602453,957.0,158.8505659362639
41067.0,Washington,Oregon,2021-09-28,36083,2021,602453,997.0,165.49008802346407
41067.0,Washington,Oregon,2021-10-05,36985,2021,602453,902.0,149.72122306636368
41067.0,Washington,Oregon,2021-10-12,37724,2021,602453,739.0,122.66517056102302
41067.0,Washington,Oregon,2021-10-19,38425,2021,602453,701.0,116.35762457818286
41067.0,Washington,Oregon,2021-10-26,39109,2021,602453,684.0,113.53582769112278
41067.0,Washington,Oregon,2021-11-02,39774,2021,602453,665.0,110.38205469970272
41067.0,Washington,Oregon,2021-11-09,40431,2021,602453,657.0,109.05415028226268
41067.0,Washington,Oregon,2021-11-16,40961,2021,602453,530.0,87.97366765540217
41067.0,Washington,Oregon,2021-11-23,41476,2021,602453,515.0,85.4838468727021
41067.0,Washington,Oregon,2021-11-30,41981,2021,602453,505.0,83.82396635090205
41067.0,Washington,Oregon,2021-12-07,42725,2021,602453,744.0,123.49511082192305
41067.0,Washington,Oregon,2021-12-14,43267,2021,602453,542.0,89.96552428156222
41067.0,Washington,Oregon,2021-12-21,43964,2021,602453,697.0,115.69367236946285
41067.0,Washington,Oregon,2021-12-28,44987,2021,602453,1023.0,169.80577738014418
41067.0,Washington,Oregon,2022-01-04,48356,2022,600086,3369.0,561.4195298673857
41067.0,Washington,Oregon,2022-01-11,57331,2022,600086,8975.0,1495.6189612822163
41067.0,Washington,Oregon,2022-01-18,65280,2022,600086,7949.0,1324.6434677696197
41067.0,Washington,Oregon,2022-01-25,72322,2022,600086,7042.0,1173.4984652199853
41067.0,Washington,Oregon,2022-02-01,77335,2022,600086,5013.0,835.3802621624234
41067.0,Washington,Oregon,2022-02-08,80626,2022,600086,3291.0,548.4213929336795
41067.0,Washington,Oregon,2022-02-15,82489,2022,600086,1863.0,310.4555013781358
41067.0,Washington,Oregon,2022-02-22,83478,2022,600086,989.0,164.80971060814616
41067.0,Washington,Oregon,2022-03-01,84158,2022,600086,680.0,113.31709121692556
41067.0,Washington,Oregon,2022-03-08,84518,2022,600086,360.0,59.99140123249001
41067.0,Washington,Oregon,2022-03-15,84800,2022,600086,282.0,46.99326429878384
41067.0,Washington,Oregon,2022-03-22,84907,2022,600086,107.0,17.83077758854564
41067.0,Washington,Oregon,2022-03-29,84955,2022,600086,48.0,7.998853497665334
41067.0,Washington,Oregon,2022-04-05,85081,2022,600086,126.0,20.996990431371504
41067.0,Washington,Oregon,2022-04-12,85575,2022,600086,494.0,82.32153391347241
41067.0,Washington,Oregon,2022-04-19,86205,2022,600086,630.0,104.98495215685753
41067.0,Washington,Oregon,2022-04-26,87233,2022,600086,1028.0,171.30877907499925
41067.0,Washington,Oregon,2022-05-03,88522,2022,600086,1289.0,214.80254496855449
41067.0,Washington,Oregon,2022-05-10,90141,2022,600086,1619.0,269.7946627650037
41067.0,Washington,Oregon,2022-05-17,91639,2022,600086,1498.0,249.630886239639
41067.0,Washington,Oregon,2022-05-24,94050,2022,600086,2411.0,401.77574547648175
41067.0,Washington,Oregon,2022-05-31,95914,2022,600086,1864.0,310.62214415933715
41067.0,Washington,Oregon,2022-06-07,97762,2022,600086,1848.0,307.9558596601154
41067.0,Washington,Oregon,2022-06-14,99333,2022,600086,1571.0,261.7958092673383
41067.0,Washington,Oregon,2022-06-21,100596,2022,600086,1263.0,210.4698326573191
41067.0,Washington,Oregon,2022-06-28,102358,2022,600086,1762.0,293.6245804767983
41067.0,Washington,Oregon,2022-07-05,103827,2022,600086,1469.0,244.79824558479953
41067.0,Washington,Oregon,2022-07-12,105181,2022,600086,1354.0,225.634325746643
41067.0,Washington,Oregon,2022-07-19,106370,2022,600086,1189.0,198.1382668484184
41067.0,Washington,Oregon,2022-07-26,107502,2022,600086,1132.0,188.6396283199408
41067.0,Washington,Oregon,2022-08-02,108486,2022,600086,984.0,163.97649670213937
41067.0,Washington,Oregon,2022-08-09,109402,2022,600086,916.0,152.6447875804468
41067.0,Washington,Oregon,2022-08-16,110124,2022,600086,722.0,120.31608802738273
41067.0,Washington,Oregon,2022-08-23,110775,2022,600086,651.0,108.48445056208611
41067.0,Washington,Oregon,2022-08-30,111410,2022,600086,635.0,105.81816606286432
41067.0,Washington,Oregon,2022-09-06,111886,2022,600086,476.0,79.3219638518479
41067.0,Washington,Oregon,2022-09-13,112498,2022,600086,612.0,101.98538209523302
41067.0,Washington,Oregon,2022-09-20,112561,2022,600086,63.0,10.498495215685752
41067.0,Washington,Oregon,2022-09-27,113186,2022,600086,625.0,104.15173825085071
41067.0,Washington,Oregon,2022-10-04,113783,2022,600086,597.0,99.48574037721261
41067.0,Washington,Oregon,2022-10-11,114372,2022,600086,589.0,98.1525981276017
41067.0,Washington,Oregon,2022-10-18,114833,2022,600086,461.0,76.82232213382748
41067.0,Washington,Oregon,2022-10-25,115208,2022,600086,375.0,62.491042950510426
41067.0,Washington,Oregon,2022-11-01,115522,2022,600086,314.0,52.3258332972274
41067.0,Washington,Oregon,2022-11-08,115844,2022,600086,322.0,53.65897554683829
41067.0,Washington,Oregon,2022-11-15,116265,2022,600086,421.0,70.15661088577303
41067.0,Washington,Oregon,2022-11-22,116742,2022,600086,477.0,79.48860663304926
41067.0,Washington,Oregon,2022-11-29,117164,2022,600086,422.0,70.32325366697441
41067.0,Washington,Oregon,2022-12-06,117699,2022,600086,535.0,89.1538879427282
41067.0,Washington,Oregon,2022-12-13,118288,2022,600086,589.0,98.1525981276017
41067.0,Washington,Oregon,2022-12-20,118763,2022,600086,475.0,79.15532107064654
41067.0,Washington,Oregon,2022-12-27,119242,2022,600086,479.0,79.82189219545198
41067.0,Washington,Oregon,2023-01-03,119543,2023,598865,301.0,50.261745134546175
41067.0,Washington,Oregon,2023-01-10,119902,2023,598865,359.0,59.9467325691099
41067.0,Washington,Oregon,2023-01-17,120255,2023,598865,353.0,58.94483731725849
41067.0,Washington,Oregon,2023-01-24,120497,2023,598865,242.0,40.40977515800723
41067.0,Washington,Oregon,2023-01-31,120736,2023,598865,239.0,39.908827532081524
41067.0,Washington,Oregon,2023-02-07,121031,2023,598865,295.0,49.259849882694766
41067.0,Washington,Oregon,2023-02-14,121327,2023,598865,296.0,49.426832424669996
41067.0,Washington,Oregon,2023-02-21,121655,2023,598865,328.0,54.77027376787757
41067.0,Washington,Oregon,2023-02-28,121985,2023,598865,330.0,55.10423885182804
