date,county,state,fips,cases,deaths,delta_cases
2020-03-10,Multnomah,Oregon,41051.0,1,0.0,0.0
2020-03-17,Multnomah,Oregon,41051.0,3,1.0,2.0
2020-03-24,Multnomah,Oregon,41051.0,25,2.0,22.0
2020-03-31,Multnomah,Oregon,41051.0,116,2.0,91.0
2020-04-07,Multnomah,Oregon,41051.0,258,7.0,142.0
2020-04-14,Multnomah,Oregon,41051.0,420,20.0,162.0
2020-04-21,Multnomah,Oregon,41051.0,542,29.0,122.0
2020-04-28,Multnomah,Oregon,41051.0,677,40.0,135.0
2020-05-05,Multnomah,Oregon,41051.0,769,49.0,92.0
2020-05-12,Multnomah,Oregon,41051.0,908,53.0,139.0
2020-05-19,Multnomah,Oregon,41051.0,1005,55.0,97.0
2020-05-26,Multnomah,Oregon,41051.0,1052,58.0,47.0
2020-06-02,Multnomah,Oregon,41051.0,1181,61.0,129.0
2020-06-09,Multnomah,Oregon,41051.0,1337,66.0,156.0
2020-06-16,Multnomah,Oregon,41051.0,1601,68.0,264.0
2020-06-23,Multnomah,Oregon,41051.0,1896,68.0,295.0
2020-06-30,Multnomah,Oregon,41051.0,2205,71.0,309.0
2020-07-07,Multnomah,Oregon,41051.0,2583,73.0,378.0
2020-07-14,Multnomah,Oregon,41051.0,3042,75.0,459.0
2020-07-21,Multnomah,Oregon,41051.0,3636,78.0,594.0
2020-07-28,Multnomah,Oregon,41051.0,4115,84.0,479.0
2020-08-04,Multnomah,Oregon,41051.0,4553,95.0,438.0
2020-08-11,Multnomah,Oregon,41051.0,5014,100.0,461.0
2020-08-18,Multnomah,Oregon,41051.0,5410,104.0,396.0
2020-08-25,Multnomah,Oregon,41051.0,5761,115.0,351.0
2020-09-01,Multnomah,Oregon,41051.0,6053,122.0,292.0
2020-09-08,Multnomah,Oregon,41051.0,6343,127.0,290.0
2020-09-15,Multnomah,Oregon,41051.0,6618,129.0,275.0
2020-09-22,Multnomah,Oregon,41051.0,6912,136.0,294.0
2020-09-29,Multnomah,Oregon,41051.0,7257,140.0,345.0
2020-10-06,Multnomah,Oregon,41051.0,7623,145.0,366.0
2020-10-13,Multnomah,Oregon,41051.0,8086,148.0,463.0
2020-10-20,Multnomah,Oregon,41051.0,8689,156.0,603.0
2020-10-27,Multnomah,Oregon,41051.0,9292,163.0,603.0
2020-11-03,Multnomah,Oregon,41051.0,10139,175.0,847.0
2020-11-10,Multnomah,Oregon,41051.0,11497,188.0,1358.0
2020-11-17,Multnomah,Oregon,41051.0,13138,200.0,1641.0
2020-11-24,Multnomah,Oregon,41051.0,15386,224.0,2248.0
2020-12-01,Multnomah,Oregon,41051.0,17825,244.0,2439.0
2020-12-08,Multnomah,Oregon,41051.0,19995,286.0,2170.0
2020-12-15,Multnomah,Oregon,41051.0,21764,323.0,1769.0
2020-12-22,Multnomah,Oregon,41051.0,23620,375.0,1856.0
2020-12-29,Multnomah,Oregon,41051.0,24796,389.0,1176.0
2021-01-05,Multnomah,Oregon,41051.0,26180,404.0,1384.0
2021-01-12,Multnomah,Oregon,41051.0,27400,425.0,1220.0
2021-01-19,Multnomah,Oregon,41051.0,28586,463.0,1186.0
2021-01-26,Multnomah,Oregon,41051.0,29403,468.0,817.0
2021-02-02,Multnomah,Oregon,41051.0,30234,486.0,831.0
2021-02-09,Multnomah,Oregon,41051.0,30830,491.0,596.0
2021-02-16,Multnomah,Oregon,41051.0,31340,512.0,510.0
2021-02-23,Multnomah,Oregon,41051.0,31669,520.0,329.0
2021-03-02,Multnomah,Oregon,41051.0,31971,535.0,302.0
2021-03-09,Multnomah,Oregon,41051.0,32138,554.0,167.0
2021-03-16,Multnomah,Oregon,41051.0,32503,558.0,365.0
2021-03-23,Multnomah,Oregon,41051.0,32814,566.0,311.0
2021-03-30,Multnomah,Oregon,41051.0,33164,567.0,350.0
2021-04-06,Multnomah,Oregon,41051.0,33712,567.0,548.0
2021-04-13,Multnomah,Oregon,41051.0,34326,575.0,614.0
2021-04-20,Multnomah,Oregon,41051.0,35152,578.0,826.0
2021-04-27,Multnomah,Oregon,41051.0,36242,586.0,1090.0
2021-05-04,Multnomah,Oregon,41051.0,37286,587.0,1044.0
