fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
06001,Alameda,California,2020-03-10,4,2020,1680466,0.0,0.0
06001,Alameda,California,2020-03-11,5,2020,1680466,1.0,0.05950730333133785
06001,Alameda,California,2020-03-12,9,2020,1680466,4.0,0.2380292133253514
06001,Alameda,California,2020-03-13,12,2020,1680466,3.0,0.17852190999401357
06001,Alameda,California,2020-03-14,11,2020,1680466,-1.0,-0.05950730333133785
06001,Alameda,California,2020-03-15,17,2020,1680466,6.0,0.35704381998802714
06001,Alameda,California,2020-03-16,17,2020,1680466,0.0,0.0
06001,Alameda,California,2020-03-17,19,2020,1680466,2.0,0.1190146066626757
06001,Alameda,California,2020-03-18,29,2020,1680466,10.0,0.5950730333133786
06001,Alameda,California,2020-03-19,36,2020,1680466,7.0,0.416551123319365
06001,Alameda,California,2020-03-20,42,2020,1680466,6.0,0.35704381998802714
06001,Alameda,California,2020-03-21,62,2020,1680466,20.0,1.1901460666267571
06001,Alameda,California,2020-03-22,72,2020,1680466,10.0,0.5950730333133786
06001,Alameda,California,2020-03-23,88,2020,1680466,16.0,0.9521168533014056
06001,Alameda,California,2020-03-24,96,2020,1680466,8.0,0.4760584266507028
06001,Alameda,California,2020-03-25,134,2020,1680466,38.0,2.2612775265908387
06001,Alameda,California,2020-03-26,172,2020,1680466,38.0,2.2612775265908387
06001,Alameda,California,2020-03-27,185,2020,1680466,13.0,0.7735949433073921
06001,Alameda,California,2020-03-28,410,2020,1680466,225.0,13.389143249551019
06001,Alameda,California,2020-03-29,207,2020,1680466,-203.0,-12.079982576261585
06001,Alameda,California,2020-03-30,250,2020,1680466,43.0,2.5588140432475277
06001,Alameda,California,2020-03-31,269,2020,1680466,19.0,1.1306387632954193
06001,Alameda,California,2020-04-01,288,2020,1680466,19.0,1.1306387632954193
06001,Alameda,California,2020-04-02,346,2020,1680466,58.0,3.451423593217596
06001,Alameda,California,2020-04-03,396,2020,1680466,50.0,2.9753651665668928
06001,Alameda,California,2020-04-04,469,2020,1680466,73.0,4.344033143187664
06001,Alameda,California,2020-04-05,476,2020,1680466,7.0,0.416551123319365
06001,Alameda,California,2020-04-06,528,2020,1680466,52.0,3.0943797732295684
06001,Alameda,California,2020-04-07,561,2020,1680466,33.0,1.963741009934149
06001,Alameda,California,2020-04-08,595,2020,1680466,34.0,2.023248313265487
06001,Alameda,California,2020-04-09,642,2020,1680466,47.0,2.7968432565728794
06001,Alameda,California,2020-04-10,707,2020,1680466,65.0,3.8679747165369607
06001,Alameda,California,2020-04-11,752,2020,1680466,45.0,2.6778286499102033
06001,Alameda,California,2020-04-12,775,2020,1680466,23.0,1.3686679766207706
06001,Alameda,California,2020-04-13,822,2020,1680466,47.0,2.7968432565728794
