fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
6001.0,Alameda,California,2020-03-10,4,2020,1680466,0.0,0.0
6001.0,Alameda,California,2020-03-17,19,2020,1680466,15.0,0.8926095499700679
6001.0,Alameda,California,2020-03-24,96,2020,1680466,77.0,4.582062356513014
6001.0,Alameda,California,2020-03-31,269,2020,1680466,173.0,10.29476347632145
6001.0,Alameda,California,2020-04-07,561,2020,1680466,292.0,17.376132572750656
6001.0,Alameda,California,2020-04-14,844,2020,1680466,283.0,16.840566842768613
6001.0,Alameda,California,2020-04-21,1236,2020,1680466,392.0,23.32686290588444
6001.0,Alameda,California,2020-04-28,1527,2020,1680466,291.0,17.316625269419315
6001.0,Alameda,California,2020-05-05,1822,2020,1680466,295.0,17.554654482744667
6001.0,Alameda,California,2020-05-12,2149,2020,1680466,327.0,19.45888818934748
6001.0,Alameda,California,2020-05-19,2496,2020,1680466,347.0,20.649034255974236
6001.0,Alameda,California,2020-05-26,2961,2020,1680466,465.0,27.670896049072105
6001.0,Alameda,California,2020-06-02,3522,2020,1680466,561.0,33.383597168880534
6001.0,Alameda,California,2020-06-09,3969,2020,1680466,447.0,26.599764589108023
6001.0,Alameda,California,2020-06-16,4435,2020,1680466,466.0,27.73040335240344
6001.0,Alameda,California,2020-06-23,5166,2020,1680466,731.0,43.49983873520797
6001.0,Alameda,California,2020-06-30,5967,2020,1680466,801.0,47.66534996840162
6001.0,Alameda,California,2020-07-07,7107,2020,1680466,1140.0,67.83832579772515
6001.0,Alameda,California,2020-07-14,8399,2020,1680466,1292.0,76.8834359040885
6001.0,Alameda,California,2020-07-21,9426,2020,1680466,1027.0,61.11400052128398
6001.0,Alameda,California,2020-07-28,10921,2020,1680466,1495.0,88.96341848035009
6001.0,Alameda,California,2020-08-04,12088,2020,1680466,1167.0,69.44502298767128
6001.0,Alameda,California,2020-08-11,14071,2020,1680466,1983.0,118.00298250604297
6001.0,Alameda,California,2020-08-18,15742,2020,1680466,1671.0,99.43670386666555
6001.0,Alameda,California,2020-08-25,17399,2020,1680466,1657.0,98.60360162002682
6001.0,Alameda,California,2020-09-01,18509,2020,1680466,1110.0,66.05310669778501
6001.0,Alameda,California,2020-09-08,19437,2020,1680466,928.0,55.22277749148154
6001.0,Alameda,California,2020-09-15,20081,2020,1680466,644.0,38.322703345381576
6001.0,Alameda,California,2020-09-22,20775,2020,1680466,694.0,41.29806851194847
6001.0,Alameda,California,2020-09-29,21421,2020,1680466,646.0,38.44171795204425
