fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
6013.0,Contra Costa,California,2020-03-10,11,2020,1166069,0.0,0.0
6013.0,Contra Costa,California,2020-03-11,16,2020,1166069,5.0,0.42879109212233585
6013.0,Contra Costa,California,2020-03-12,18,2020,1166069,2.0,0.17151643684893433
6013.0,Contra Costa,California,2020-03-13,22,2020,1166069,4.0,0.34303287369786867
6013.0,Contra Costa,California,2020-03-14,30,2020,1166069,8.0,0.6860657473957373
6013.0,Contra Costa,California,2020-03-15,34,2020,1166069,4.0,0.34303287369786867
6013.0,Contra Costa,California,2020-03-16,36,2020,1166069,2.0,0.17151643684893433
6013.0,Contra Costa,California,2020-03-17,37,2020,1166069,1.0,0.08575821842446717
6013.0,Contra Costa,California,2020-03-18,44,2020,1166069,7.0,0.6003075289712702
6013.0,Contra Costa,California,2020-03-19,46,2020,1166069,2.0,0.17151643684893433
6013.0,Contra Costa,California,2020-03-20,52,2020,1166069,6.0,0.514549310546803
6013.0,Contra Costa,California,2020-03-21,62,2020,1166069,10.0,0.8575821842446717
6013.0,Contra Costa,California,2020-03-22,79,2020,1166069,17.0,1.4578897132159416
6013.0,Contra Costa,California,2020-03-23,91,2020,1166069,12.0,1.029098621093606
6013.0,Contra Costa,California,2020-03-24,108,2020,1166069,17.0,1.4578897132159416
6013.0,Contra Costa,California,2020-03-25,131,2020,1166069,23.0,1.9724390237627447
6013.0,Contra Costa,California,2020-03-26,147,2020,1166069,16.0,1.3721314947914747
6013.0,Contra Costa,California,2020-03-27,161,2020,1166069,14.0,1.2006150579425403
6013.0,Contra Costa,California,2020-03-28,350,2020,1166069,189.0,16.208303282224293
6013.0,Contra Costa,California,2020-03-29,187,2020,1166069,-163.0,-13.978589603188146
6013.0,Contra Costa,California,2020-03-30,212,2020,1166069,25.0,2.143955460611679
6013.0,Contra Costa,California,2020-03-31,246,2020,1166069,34.0,2.9157794264318833
6013.0,Contra Costa,California,2020-04-01,267,2020,1166069,21.0,1.8009225869138104
6013.0,Contra Costa,California,2020-04-02,297,2020,1166069,30.0,2.572746552734015
6013.0,Contra Costa,California,2020-04-03,327,2020,1166069,30.0,2.572746552734015
6013.0,Contra Costa,California,2020-04-04,382,2020,1166069,55.0,4.716702013345694
6013.0,Contra Costa,California,2020-04-05,415,2020,1166069,33.0,2.8300212080074165
6013.0,Contra Costa,California,2020-04-06,447,2020,1166069,32.0,2.7442629895829493
6013.0,Contra Costa,California,2020-04-07,471,2020,1166069,24.0,2.058197242187212
6013.0,Contra Costa,California,2020-04-08,481,2020,1166069,10.0,0.8575821842446717
6013.0,Contra Costa,California,2020-04-09,505,2020,1166069,24.0,2.058197242187212
6013.0,Contra Costa,California,2020-04-10,537,2020,1166069,32.0,2.7442629895829493
6013.0,Contra Costa,California,2020-04-11,550,2020,1166069,13.0,1.1148568395180731
6013.0,Contra Costa,California,2020-04-12,553,2020,1166069,3.0,0.2572746552734015
6013.0,Contra Costa,California,2020-04-13,569,2020,1166069,16.0,1.3721314947914747
6013.0,Contra Costa,California,2020-04-14,617,2020,1166069,48.0,4.116394484374424
6013.0,Contra Costa,California,2020-04-15,645,2020,1166069,28.0,2.4012301158850806
6013.0,Contra Costa,California,2020-04-16,675,2020,1166069,30.0,2.572746552734015
6013.0,Contra Costa,California,2020-04-17,687,2020,1166069,12.0,1.029098621093606
6013.0,Contra Costa,California,2020-04-18,721,2020,1166069,34.0,2.9157794264318833
6013.0,Contra Costa,California,2020-04-19,731,2020,1166069,10.0,0.8575821842446717
6013.0,Contra Costa,California,2020-04-20,753,2020,1166069,22.0,1.8866808053382778
6013.0,Contra Costa,California,2020-04-21,766,2020,1166069,13.0,1.1148568395180731
6013.0,Contra Costa,California,2020-04-22,772,2020,1166069,6.0,0.514549310546803
6013.0,Contra Costa,California,2020-04-23,786,2020,1166069,14.0,1.2006150579425403
6013.0,Contra Costa,California,2020-04-24,806,2020,1166069,20.0,1.7151643684893434
6013.0,Contra Costa,California,2020-04-25,821,2020,1166069,15.0,1.2863732763670075
6013.0,Contra Costa,California,2020-04-26,830,2020,1166069,9.0,0.7718239658202044
6013.0,Contra Costa,California,2020-04-27,843,2020,1166069,13.0,1.1148568395180731
6013.0,Contra Costa,California,2020-04-28,866,2020,1166069,23.0,1.9724390237627447
6013.0,Contra Costa,California,2020-04-29,885,2020,1166069,19.0,1.6294061500648762
6013.0,Contra Costa,California,2020-04-30,900,2020,1166069,15.0,1.2863732763670075
6013.0,Contra Costa,California,2020-05-01,915,2020,1166069,15.0,1.2863732763670075
6013.0,Contra Costa,California,2020-05-02,929,2020,1166069,14.0,1.2006150579425403
6013.0,Contra Costa,California,2020-05-03,945,2020,1166069,16.0,1.3721314947914747
6013.0,Contra Costa,California,2020-05-04,949,2020,1166069,4.0,0.34303287369786867
6013.0,Contra Costa,California,2020-05-05,976,2020,1166069,27.0,2.3154718974606134
6013.0,Contra Costa,California,2020-05-06,990,2020,1166069,14.0,1.2006150579425403
6013.0,Contra Costa,California,2020-05-07,1005,2020,1166069,15.0,1.2863732763670075
6013.0,Contra Costa,California,2020-05-08,1024,2020,1166069,19.0,1.6294061500648762
6013.0,Contra Costa,California,2020-05-09,1039,2020,1166069,15.0,1.2863732763670075
6013.0,Contra Costa,California,2020-05-10,1046,2020,1166069,7.0,0.6003075289712702
6013.0,Contra Costa,California,2020-05-11,1053,2020,1166069,7.0,0.6003075289712702
6013.0,Contra Costa,California,2020-05-12,1068,2020,1166069,15.0,1.2863732763670075
6013.0,Contra Costa,California,2020-05-13,1083,2020,1166069,15.0,1.2863732763670075
6013.0,Contra Costa,California,2020-05-14,1091,2020,1166069,8.0,0.6860657473957373
6013.0,Contra Costa,California,2020-05-15,1107,2020,1166069,16.0,1.3721314947914747
6013.0,Contra Costa,California,2020-05-16,1137,2020,1166069,30.0,2.572746552734015
6013.0,Contra Costa,California,2020-05-17,1156,2020,1166069,19.0,1.6294061500648762
6013.0,Contra Costa,California,2020-05-18,1174,2020,1166069,18.0,1.5436479316404088
6013.0,Contra Costa,California,2020-05-19,1206,2020,1166069,32.0,2.7442629895829493
6013.0,Contra Costa,California,2020-05-20,1224,2020,1166069,18.0,1.5436479316404088
6013.0,Contra Costa,California,2020-05-21,1244,2020,1166069,20.0,1.7151643684893434
6013.0,Contra Costa,California,2020-05-22,1273,2020,1166069,29.0,2.486988334309548
6013.0,Contra Costa,California,2020-05-23,1303,2020,1166069,30.0,2.572746552734015
6013.0,Contra Costa,California,2020-05-24,1326,2020,1166069,23.0,1.9724390237627447
6013.0,Contra Costa,California,2020-05-25,1349,2020,1166069,23.0,1.9724390237627447
6013.0,Contra Costa,California,2020-05-26,1353,2020,1166069,4.0,0.34303287369786867
6013.0,Contra Costa,California,2020-05-27,1374,2020,1166069,21.0,1.8009225869138104
6013.0,Contra Costa,California,2020-05-28,1393,2020,1166069,19.0,1.6294061500648762
6013.0,Contra Costa,California,2020-05-29,1412,2020,1166069,19.0,1.6294061500648762
6013.0,Contra Costa,California,2020-05-30,1430,2020,1166069,18.0,1.5436479316404088
6013.0,Contra Costa,California,2020-05-31,1459,2020,1166069,29.0,2.486988334309548
6013.0,Contra Costa,California,2020-06-01,1487,2020,1166069,28.0,2.4012301158850806
6013.0,Contra Costa,California,2020-06-02,1506,2020,1166069,19.0,1.6294061500648762
6013.0,Contra Costa,California,2020-06-03,1512,2020,1166069,6.0,0.514549310546803
6013.0,Contra Costa,California,2020-06-04,1552,2020,1166069,40.0,3.430328736978687
6013.0,Contra Costa,California,2020-06-05,1576,2020,1166069,24.0,2.058197242187212
6013.0,Contra Costa,California,2020-06-06,1620,2020,1166069,44.0,3.7733616106765555
6013.0,Contra Costa,California,2020-06-07,1654,2020,1166069,34.0,2.9157794264318833
6013.0,Contra Costa,California,2020-06-08,1716,2020,1166069,62.0,5.317009542316963
6013.0,Contra Costa,California,2020-06-09,1746,2020,1166069,30.0,2.572746552734015
6013.0,Contra Costa,California,2020-06-10,1780,2020,1166069,34.0,2.9157794264318833
6013.0,Contra Costa,California,2020-06-11,1799,2020,1166069,19.0,1.6294061500648762
6013.0,Contra Costa,California,2020-06-12,1829,2020,1166069,30.0,2.572746552734015
6013.0,Contra Costa,California,2020-06-13,1870,2020,1166069,41.0,3.516086955403154
6013.0,Contra Costa,California,2020-06-14,1895,2020,1166069,25.0,2.143955460611679
6013.0,Contra Costa,California,2020-06-15,1920,2020,1166069,25.0,2.143955460611679
6013.0,Contra Costa,California,2020-06-16,1973,2020,1166069,53.0,4.54518557649676
6013.0,Contra Costa,California,2020-06-17,2023,2020,1166069,50.0,4.287910921223358
6013.0,Contra Costa,California,2020-06-18,2075,2020,1166069,52.0,4.4594273580722925
6013.0,Contra Costa,California,2020-06-19,2109,2020,1166069,34.0,2.9157794264318833
6013.0,Contra Costa,California,2020-06-20,2234,2020,1166069,125.0,10.719777303058397
6013.0,Contra Costa,California,2020-06-21,2285,2020,1166069,51.0,4.373669139647825
6013.0,Contra Costa,California,2020-06-22,2366,2020,1166069,81.0,6.946415692381841
6013.0,Contra Costa,California,2020-06-23,2456,2020,1166069,90.0,7.7182396582020445
6013.0,Contra Costa,California,2020-06-24,2523,2020,1166069,67.0,5.7458006344393
6013.0,Contra Costa,California,2020-06-25,2594,2020,1166069,71.0,6.088833508137168
6013.0,Contra Costa,California,2020-06-26,2679,2020,1166069,85.0,7.289448566079709
6013.0,Contra Costa,California,2020-06-27,2720,2020,1166069,41.0,3.516086955403154
6013.0,Contra Costa,California,2020-06-28,2807,2020,1166069,87.0,7.460965002928644
6013.0,Contra Costa,California,2020-06-29,2981,2020,1166069,174.0,14.921930005857288
6013.0,Contra Costa,California,2020-06-30,3146,2020,1166069,165.0,14.15010604003708
6013.0,Contra Costa,California,2020-07-01,3265,2020,1166069,119.0,10.205227992511594
6013.0,Contra Costa,California,2020-07-02,3353,2020,1166069,88.0,7.546723221353111
6013.0,Contra Costa,California,2020-07-03,3453,2020,1166069,100.0,8.575821842446716
6013.0,Contra Costa,California,2020-07-04,3589,2020,1166069,136.0,11.663117705727533
6013.0,Contra Costa,California,2020-07-05,3671,2020,1166069,82.0,7.032173910806308
6013.0,Contra Costa,California,2020-07-06,3908,2020,1166069,237.0,20.324697766598717
6013.0,Contra Costa,California,2020-07-07,4139,2020,1166069,231.0,19.810148456051916
6013.0,Contra Costa,California,2020-07-08,4277,2020,1166069,138.0,11.83463414257647
6013.0,Contra Costa,California,2020-07-09,4399,2020,1166069,122.0,10.462502647784994
6013.0,Contra Costa,California,2020-07-10,4493,2020,1166069,94.0,8.061272531899913
6013.0,Contra Costa,California,2020-07-11,4661,2020,1166069,168.0,14.407380695310483
6013.0,Contra Costa,California,2020-07-12,4719,2020,1166069,58.0,4.973976668619096
6013.0,Contra Costa,California,2020-07-13,4895,2020,1166069,176.0,15.093446442706222
6013.0,Contra Costa,California,2020-07-14,5125,2020,1166069,230.0,19.724390237627446
6013.0,Contra Costa,California,2020-07-15,5263,2020,1166069,138.0,11.83463414257647
6013.0,Contra Costa,California,2020-07-16,5355,2020,1166069,92.0,7.889756095050979
6013.0,Contra Costa,California,2020-07-17,5506,2020,1166069,151.0,12.94949098209454
6013.0,Contra Costa,California,2020-07-18,5640,2020,1166069,134.0,11.4916012688786
6013.0,Contra Costa,California,2020-07-19,5714,2020,1166069,74.0,6.3461081634105705
6013.0,Contra Costa,California,2020-07-20,5848,2020,1166069,134.0,11.4916012688786
6013.0,Contra Costa,California,2020-07-21,6235,2020,1166069,387.0,33.18843053026879
6013.0,Contra Costa,California,2020-07-22,6426,2020,1166069,191.0,16.379819719073225
6013.0,Contra Costa,California,2020-07-23,6644,2020,1166069,218.0,18.69529161653384
6013.0,Contra Costa,California,2020-07-24,6841,2020,1166069,197.0,16.89436902962003
6013.0,Contra Costa,California,2020-07-25,6947,2020,1166069,106.0,9.09037115299352
6013.0,Contra Costa,California,2020-07-26,7122,2020,1166069,175.0,15.007688224281752
6013.0,Contra Costa,California,2020-07-27,7283,2020,1166069,161.0,13.807073166339213
6013.0,Contra Costa,California,2020-07-28,7453,2020,1166069,170.0,14.578897132159417
6013.0,Contra Costa,California,2020-07-29,7547,2020,1166069,94.0,8.061272531899913
6013.0,Contra Costa,California,2020-07-30,7642,2020,1166069,95.0,8.147030750324381
6013.0,Contra Costa,California,2020-07-31,7725,2020,1166069,83.0,7.117932129230774
6013.0,Contra Costa,California,2020-08-01,7896,2020,1166069,171.0,14.664655350583885
6013.0,Contra Costa,California,2020-08-02,8025,2020,1166069,129.0,11.062810176756264
6013.0,Contra Costa,California,2020-08-03,8099,2020,1166069,74.0,6.3461081634105705
6013.0,Contra Costa,California,2020-08-04,8243,2020,1166069,144.0,12.34918345312327
6013.0,Contra Costa,California,2020-08-05,8395,2020,1166069,152.0,13.03524920051901
6013.0,Contra Costa,California,2020-08-06,8616,2020,1166069,221.0,18.952566271807243
6013.0,Contra Costa,California,2020-08-07,8844,2020,1166069,228.0,19.552873800778514
6013.0,Contra Costa,California,2020-08-08,9138,2020,1166069,294.0,25.212916216793346
6013.0,Contra Costa,California,2020-08-09,9248,2020,1166069,110.0,9.433404026691388
6013.0,Contra Costa,California,2020-08-10,9489,2020,1166069,241.0,20.667730640296586
6013.0,Contra Costa,California,2020-08-11,10049,2020,1166069,560.0,48.024602317701614
6013.0,Contra Costa,California,2020-08-12,10343,2020,1166069,294.0,25.212916216793346
