fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
06013,Contra Costa,California,2020-03-10,11,2020,1166069,0.0,0.0
06013,Contra Costa,California,2020-03-17,37,2020,1166069,26.0,2.2297136790361463
06013,Contra Costa,California,2020-03-24,108,2020,1166069,71.0,6.088833508137168
06013,Contra Costa,California,2020-03-31,246,2020,1166069,138.0,11.83463414257647
06013,Contra Costa,California,2020-04-07,471,2020,1166069,225.0,19.29559914550511
06013,Contra Costa,California,2020-04-14,617,2020,1166069,146.0,12.520699889972205
06013,Contra Costa,California,2020-04-21,766,2020,1166069,149.0,12.777974545245607
06013,Contra Costa,California,2020-04-28,866,2020,1166069,100.0,8.575821842446716
06013,Contra Costa,California,2020-05-05,976,2020,1166069,110.0,9.433404026691388
06013,Contra Costa,California,2020-05-12,1068,2020,1166069,92.0,7.889756095050979
06013,Contra Costa,California,2020-05-19,1206,2020,1166069,138.0,11.83463414257647
06013,Contra Costa,California,2020-05-26,1353,2020,1166069,147.0,12.606458108396673
06013,Contra Costa,California,2020-06-02,1506,2020,1166069,153.0,13.121007418943474
06013,Contra Costa,California,2020-06-09,1746,2020,1166069,240.0,20.58197242187212
06013,Contra Costa,California,2020-06-16,1973,2020,1166069,227.0,19.467115582354044
06013,Contra Costa,California,2020-06-23,2456,2020,1166069,483.0,41.42121949901764
06013,Contra Costa,California,2020-06-30,3146,2020,1166069,690.0,59.173170712882346
06013,Contra Costa,California,2020-07-07,4139,2020,1166069,993.0,85.1579108954959
06013,Contra Costa,California,2020-07-14,5125,2020,1166069,986.0,84.55760336652463
06013,Contra Costa,California,2020-07-21,6235,2020,1166069,1110.0,95.19162245115855
06013,Contra Costa,California,2020-07-28,7453,2020,1166069,1218.0,104.45351004100101
06013,Contra Costa,California,2020-08-04,8243,2020,1166069,790.0,67.74899255532905
06013,Contra Costa,California,2020-08-11,10049,2020,1166069,1806.0,154.8793424745877
06013,Contra Costa,California,2020-08-18,11730,2020,1166069,1681.0,144.1595651715293
06013,Contra Costa,California,2020-08-25,13229,2020,1166069,1499.0,128.55156941827627
06013,Contra Costa,California,2020-09-01,14053,2020,1166069,824.0,70.66477198176094
06013,Contra Costa,California,2020-09-08,14809,2020,1166069,756.0,64.83321312889717
06013,Contra Costa,California,2020-09-15,15500,2020,1166069,691.0,59.25892893130681
06013,Contra Costa,California,2020-09-22,16170,2020,1166069,670.0,57.458006344393
06013,Contra Costa,California,2020-09-29,16797,2020,1166069,627.0,53.77040295214091
06013,Contra Costa,California,2020-10-06,17381,2020,1166069,584.0,50.08279955988882
06013,Contra Costa,California,2020-10-13,17872,2020,1166069,491.0,42.107285246413376
06013,Contra Costa,California,2020-10-20,18338,2020,1166069,466.0,39.9633297858017
06013,Contra Costa,California,2020-10-27,18860,2020,1166069,522.0,44.76579001757186
06013,Contra Costa,California,2020-11-03,19514,2020,1166069,654.0,56.08587484960153
06013,Contra Costa,California,2020-11-10,20435,2020,1166069,921.0,78.98331916893426
06013,Contra Costa,California,2020-11-17,21684,2020,1166069,1249.0,107.11201481215949
06013,Contra Costa,California,2020-11-24,23226,2020,1166069,1542.0,132.23917281052834
06013,Contra Costa,California,2020-12-01,24975,2020,1166069,1749.0,149.99112402439306
06013,Contra Costa,California,2020-12-08,28180,2020,1166069,3205.0,274.8550900504173
06013,Contra Costa,California,2020-12-15,31742,2020,1166069,3562.0,305.470774027952
06013,Contra Costa,California,2020-12-22,36142,2020,1166069,4400.0,377.3361610676555
06013,Contra Costa,California,2020-12-29,39821,2020,1166069,3679.0,315.50448558361467
06013,Contra Costa,California,2021-01-05,44166,2021,1163941,4345.0,373.3007085410687
06013,Contra Costa,California,2021-01-12,49057,2021,1163941,4891.0,420.2103027558957
06013,Contra Costa,California,2021-01-19,53615,2021,1163941,4558.0,391.6006051853144
06013,Contra Costa,California,2021-01-26,56284,2021,1163941,2669.0,229.30715560324794
06013,Contra Costa,California,2021-02-02,58526,2021,1163941,2242.0,192.62144730703702
06013,Contra Costa,California,2021-02-09,60316,2021,1163941,1790.0,153.78786381783956
06013,Contra Costa,California,2021-02-16,61597,2021,1163941,1281.0,110.05712488863267
06013,Contra Costa,California,2021-02-23,62665,2021,1163941,1068.0,91.75722824438695
06013,Contra Costa,California,2021-03-02,63621,2021,1163941,956.0,82.13474737980705
06013,Contra Costa,California,2021-03-09,64396,2021,1163941,775.0,66.58413098258417
06013,Contra Costa,California,2021-03-16,65043,2021,1163941,647.0,55.58700999449285
06013,Contra Costa,California,2021-03-23,65599,2021,1163941,556.0,47.76874429202167
06013,Contra Costa,California,2021-03-30,66165,2021,1163941,566.0,48.62789436921631
06013,Contra Costa,California,2021-04-06,66712,2021,1163941,547.0,46.9955092225465
06013,Contra Costa,California,2021-04-13,67457,2021,1163941,745.0,64.00668075100026
06013,Contra Costa,California,2021-04-20,68069,2021,1163941,612.0,52.57998472431162
06013,Contra Costa,California,2021-04-27,68667,2021,1163941,598.0,51.377174616239145
06013,Contra Costa,California,2021-05-04,69149,2021,1163941,482.0,41.411033720781376
06013,Contra Costa,California,2021-05-11,69639,2021,1163941,490.0,42.09835378253709
