fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
06041,Marin,California,2020-03-10,1,2020,261306,0.0,0.0
06041,Marin,California,2020-03-11,1,2020,261306,0.0,0.0
06041,Marin,California,2020-03-12,1,2020,261306,0.0,0.0
06041,Marin,California,2020-03-13,3,2020,261306,2.0,0.7653861755948965
06041,Marin,California,2020-03-14,3,2020,261306,0.0,0.0
06041,Marin,California,2020-03-15,3,2020,261306,0.0,0.0
06041,Marin,California,2020-03-16,4,2020,261306,1.0,0.38269308779744826
06041,Marin,California,2020-03-17,4,2020,261306,0.0,0.0
06041,Marin,California,2020-03-18,10,2020,261306,6.0,2.296158526784689
06041,Marin,California,2020-03-19,19,2020,261306,9.0,3.4442377901770334
06041,Marin,California,2020-03-20,30,2020,261306,11.0,4.20962396577193
06041,Marin,California,2020-03-21,30,2020,261306,0.0,0.0
06041,Marin,California,2020-03-22,30,2020,261306,0.0,0.0
06041,Marin,California,2020-03-23,30,2020,261306,0.0,0.0
06041,Marin,California,2020-03-24,44,2020,261306,14.0,5.357703229164275
06041,Marin,California,2020-03-25,47,2020,261306,3.0,1.1480792633923445
06041,Marin,California,2020-03-26,56,2020,261306,9.0,3.4442377901770334
06041,Marin,California,2020-03-27,58,2020,261306,2.0,0.7653861755948965
06041,Marin,California,2020-03-28,116,2020,261306,58.0,22.196199092251998
06041,Marin,California,2020-03-29,60,2020,261306,-56.0,-21.4308129166571
06041,Marin,California,2020-03-30,78,2020,261306,18.0,6.888475580354067
06041,Marin,California,2020-03-31,85,2020,261306,7.0,2.6788516145821375
06041,Marin,California,2020-04-01,87,2020,261306,2.0,0.7653861755948965
06041,Marin,California,2020-04-02,102,2020,261306,15.0,5.740396316961723
06041,Marin,California,2020-04-03,106,2020,261306,4.0,1.530772351189793
06041,Marin,California,2020-04-04,111,2020,261306,5.0,1.913465438987241
06041,Marin,California,2020-04-05,114,2020,261306,3.0,1.1480792633923445
06041,Marin,California,2020-04-06,120,2020,261306,6.0,2.296158526784689
06041,Marin,California,2020-04-07,123,2020,261306,3.0,1.1480792633923445
06041,Marin,California,2020-04-08,126,2020,261306,3.0,1.1480792633923445
06041,Marin,California,2020-04-09,127,2020,261306,1.0,0.38269308779744826
06041,Marin,California,2020-04-10,129,2020,261306,2.0,0.7653861755948965
06041,Marin,California,2020-04-11,137,2020,261306,8.0,3.061544702379586
06041,Marin,California,2020-04-12,139,2020,261306,2.0,0.7653861755948965
06041,Marin,California,2020-04-13,145,2020,261306,6.0,2.296158526784689
06041,Marin,California,2020-04-14,148,2020,261306,3.0,1.1480792633923445
06041,Marin,California,2020-04-15,163,2020,261306,15.0,5.740396316961723
06041,Marin,California,2020-04-16,171,2020,261306,8.0,3.061544702379586
06041,Marin,California,2020-04-17,190,2020,261306,19.0,7.271168668151516
06041,Marin,California,2020-04-18,194,2020,261306,4.0,1.530772351189793
06041,Marin,California,2020-04-19,195,2020,261306,1.0,0.38269308779744826
06041,Marin,California,2020-04-20,201,2020,261306,6.0,2.296158526784689
06041,Marin,California,2020-04-21,203,2020,261306,2.0,0.7653861755948965
06041,Marin,California,2020-04-22,203,2020,261306,0.0,0.0
06041,Marin,California,2020-04-23,210,2020,261306,7.0,2.6788516145821375
06041,Marin,California,2020-04-24,212,2020,261306,2.0,0.7653861755948965
06041,Marin,California,2020-04-25,216,2020,261306,4.0,1.530772351189793
06041,Marin,California,2020-04-26,226,2020,261306,10.0,3.826930877974482
06041,Marin,California,2020-04-27,228,2020,261306,2.0,0.7653861755948965
06041,Marin,California,2020-04-28,229,2020,261306,1.0,0.38269308779744826
06041,Marin,California,2020-04-29,235,2020,261306,6.0,2.296158526784689
06041,Marin,California,2020-04-30,241,2020,261306,6.0,2.296158526784689
06041,Marin,California,2020-05-01,243,2020,261306,2.0,0.7653861755948965
06041,Marin,California,2020-05-02,244,2020,261306,1.0,0.38269308779744826
06041,Marin,California,2020-05-03,244,2020,261306,0.0,0.0
06041,Marin,California,2020-05-04,245,2020,261306,1.0,0.38269308779744826
06041,Marin,California,2020-05-05,245,2020,261306,0.0,0.0
06041,Marin,California,2020-05-06,245,2020,261306,0.0,0.0
06041,Marin,California,2020-05-07,253,2020,261306,8.0,3.061544702379586
06041,Marin,California,2020-05-08,258,2020,261306,5.0,1.913465438987241
06041,Marin,California,2020-05-09,262,2020,261306,4.0,1.530772351189793
06041,Marin,California,2020-05-10,268,2020,261306,6.0,2.296158526784689
06041,Marin,California,2020-05-11,272,2020,261306,4.0,1.530772351189793
06041,Marin,California,2020-05-12,275,2020,261306,3.0,1.1480792633923445
06041,Marin,California,2020-05-13,279,2020,261306,4.0,1.530772351189793
06041,Marin,California,2020-05-14,284,2020,261306,5.0,1.913465438987241
06041,Marin,California,2020-05-15,296,2020,261306,12.0,4.592317053569378
06041,Marin,California,2020-05-16,298,2020,261306,2.0,0.7653861755948965
06041,Marin,California,2020-05-17,316,2020,261306,18.0,6.888475580354067
06041,Marin,California,2020-05-18,330,2020,261306,14.0,5.357703229164275
06041,Marin,California,2020-05-19,341,2020,261306,11.0,4.20962396577193
06041,Marin,California,2020-05-20,349,2020,261306,8.0,3.061544702379586
06041,Marin,California,2020-05-21,360,2020,261306,11.0,4.20962396577193
06041,Marin,California,2020-05-22,373,2020,261306,13.0,4.975010141366827
06041,Marin,California,2020-05-23,394,2020,261306,21.0,8.036554843746412
