fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
6041.0,Marin,California,2020-03-10,1,2020,261306,0.0,0.0
6041.0,Marin,California,2020-03-17,4,2020,261306,3.0,1.1480792633923445
6041.0,Marin,California,2020-03-24,44,2020,261306,40.0,15.307723511897928
6041.0,Marin,California,2020-03-31,85,2020,261306,41.0,15.690416599695375
6041.0,Marin,California,2020-04-07,123,2020,261306,38.0,14.542337336303031
6041.0,Marin,California,2020-04-14,148,2020,261306,25.0,9.567327194936205
6041.0,Marin,California,2020-04-21,203,2020,261306,55.0,21.04811982885965
6041.0,Marin,California,2020-04-28,229,2020,261306,26.0,9.950020282733654
6041.0,Marin,California,2020-05-05,245,2020,261306,16.0,6.123089404759172
6041.0,Marin,California,2020-05-12,275,2020,261306,30.0,11.480792633923446
6041.0,Marin,California,2020-05-19,341,2020,261306,66.0,25.25774379463158
6041.0,Marin,California,2020-05-26,426,2020,261306,85.0,32.5289124627831
6041.0,Marin,California,2020-06-02,511,2020,261306,85.0,32.5289124627831
6041.0,Marin,California,2020-06-09,618,2020,261306,107.0,40.94816039432696
6041.0,Marin,California,2020-06-16,728,2020,261306,110.0,42.0962396577193
6041.0,Marin,California,2020-06-23,1143,2020,261306,415.0,158.817631435941
6041.0,Marin,California,2020-06-30,1618,2020,261306,475.0,181.77921670378788
6041.0,Marin,California,2020-07-07,2631,2020,261306,1013.0,387.66809793881504
6041.0,Marin,California,2020-07-14,3456,2020,261306,825.0,315.7217974328948
6041.0,Marin,California,2020-07-21,4323,2020,261306,867.0,331.79490712038756
6041.0,Marin,California,2020-07-28,4703,2020,261306,380.0,145.42337336303032
6041.0,Marin,California,2020-08-04,5029,2020,261306,326.0,124.75794662196812
6041.0,Marin,California,2020-08-11,5298,2020,261306,269.0,102.94444061751356
6041.0,Marin,California,2020-08-18,5721,2020,261306,423.0,161.8791761383206
6041.0,Marin,California,2020-08-25,5875,2020,261306,154.0,58.934735520807024
6041.0,Marin,California,2020-09-01,6117,2020,261306,242.0,92.61172724698247
6041.0,Marin,California,2020-09-08,6328,2020,261306,211.0,80.74824152526158
6041.0,Marin,California,2020-09-15,6438,2020,261306,110.0,42.0962396577193
6041.0,Marin,California,2020-09-22,6578,2020,261306,140.0,53.57703229164275
6041.0,Marin,California,2020-09-29,6709,2020,261306,131.0,50.13279450146571
6041.0,Marin,California,2020-10-06,6784,2020,261306,75.0,28.701981584808614
6041.0,Marin,California,2020-10-13,6918,2020,261306,134.0,51.28087376485806
6041.0,Marin,California,2020-10-20,7013,2020,261306,95.0,36.35584334075758
6041.0,Marin,California,2020-10-27,7090,2020,261306,77.0,29.467367760403512
6041.0,Marin,California,2020-11-03,7168,2020,261306,78.0,29.85006084820096
6041.0,Marin,California,2020-11-10,7282,2020,261306,114.0,43.6270120089091
6041.0,Marin,California,2020-11-17,7429,2020,261306,147.0,56.25588390622488
