fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
6055.0,Napa,California,2020-03-10,0,2020,137459,0.0,0.0
6055.0,Napa,California,2020-03-17,0,2020,137459,0.0,0.0
6055.0,Napa,California,2020-03-24,2,2020,137459,2.0,1.454979302919416
6055.0,Napa,California,2020-03-31,9,2020,137459,7.0,5.092427560217956
6055.0,Napa,California,2020-04-07,18,2020,137459,9.0,6.547406863137371
6055.0,Napa,California,2020-04-14,33,2020,137459,15.0,10.912344771895619
6055.0,Napa,California,2020-04-21,58,2020,137459,25.0,18.1872412864927
6055.0,Napa,California,2020-04-28,67,2020,137459,9.0,6.547406863137371
6055.0,Napa,California,2020-05-05,74,2020,137459,7.0,5.092427560217956
6055.0,Napa,California,2020-05-12,80,2020,137459,6.0,4.364937908758248
6055.0,Napa,California,2020-05-19,93,2020,137459,13.0,9.457365468976205
6055.0,Napa,California,2020-05-26,109,2020,137459,16.0,11.639834423355328
6055.0,Napa,California,2020-06-02,116,2020,137459,7.0,5.092427560217956
6055.0,Napa,California,2020-06-09,156,2020,137459,40.0,29.09958605838832
6055.0,Napa,California,2020-06-16,196,2020,137459,40.0,29.09958605838832
6055.0,Napa,California,2020-06-23,230,2020,137459,34.0,24.73464814963007
6055.0,Napa,California,2020-06-30,342,2020,137459,112.0,81.4788409634873
6055.0,Napa,California,2020-07-07,459,2020,137459,117.0,85.11628922078583
6055.0,Napa,California,2020-07-14,557,2020,137459,98.0,71.29398584305139
6055.0,Napa,California,2020-07-21,660,2020,137459,103.0,74.93143410034993
6055.0,Napa,California,2020-07-28,824,2020,137459,164.0,119.30830283939211
6055.0,Napa,California,2020-08-04,994,2020,137459,170.0,123.67324074815035
6055.0,Napa,California,2020-08-11,1145,2020,137459,151.0,109.8509373704159
6055.0,Napa,California,2020-08-18,1279,2020,137459,134.0,97.48361329560088
6055.0,Napa,California,2020-08-25,1379,2020,137459,100.0,72.7489651459708
6055.0,Napa,California,2020-09-01,1452,2020,137459,73.0,53.10674455655868
6055.0,Napa,California,2020-09-08,1526,2020,137459,74.0,53.83423420801839
6055.0,Napa,California,2020-09-15,1588,2020,137459,62.0,45.10435839050189
6055.0,Napa,California,2020-09-22,1660,2020,137459,72.0,52.37925490509897
6055.0,Napa,California,2020-09-29,1735,2020,137459,75.0,54.56172385947809
6055.0,Napa,California,2020-10-06,1778,2020,137459,43.0,31.282055012767444
6055.0,Napa,California,2020-10-13,1833,2020,137459,55.0,40.011930830283944
6055.0,Napa,California,2020-10-20,1920,2020,137459,87.0,63.29159967699459
6055.0,Napa,California,2020-10-27,1988,2020,137459,68.0,49.46929629926014
6055.0,Napa,California,2020-11-03,2140,2020,137459,152.0,110.57842702187561
6055.0,Napa,California,2020-11-10,2352,2020,137459,212.0,154.2278061094581
6055.0,Napa,California,2020-11-17,2585,2020,137459,233.0,169.50508879011196
6055.0,Napa,California,2020-11-24,2921,2020,137459,336.0,244.43652289046187
6055.0,Napa,California,2020-12-01,3142,2020,137459,221.0,160.77521297259545
6055.0,Napa,California,2020-12-08,3798,2020,137459,656.0,477.23321135756845
6055.0,Napa,California,2020-12-15,4464,2020,137459,666.0,484.5081078721655
6055.0,Napa,California,2020-12-22,5084,2020,137459,620.0,451.043583905019
6055.0,Napa,California,2020-12-29,5688,2020,137459,604.0,439.4037494816636
6055.0,Napa,California,2021-01-05,6289,2021,136265,601.0,441.0523612079404
6055.0,Napa,California,2021-01-12,6966,2021,136265,677.0,496.82603750045865
6055.0,Napa,California,2021-01-19,7702,2021,136265,736.0,540.1240230433347
6055.0,Napa,California,2021-01-26,8176,2021,136265,474.0,347.85161266649544
6055.0,Napa,California,2021-02-02,8536,2021,136265,360.0,264.19109822771804
6055.0,Napa,California,2021-02-09,8780,2021,136265,244.0,179.06285546545334
6055.0,Napa,California,2021-02-16,8885,2021,136265,105.0,77.05573698308443
6055.0,Napa,California,2021-02-23,8998,2021,136265,113.0,82.92665027703373
6055.0,Napa,California,2021-03-02,9111,2021,136265,113.0,82.92665027703373
6055.0,Napa,California,2021-03-09,9186,2021,136265,75.0,55.0398121307746
6055.0,Napa,California,2021-03-16,9240,2021,136265,54.0,39.62866473415771
6055.0,Napa,California,2021-03-23,9330,2021,136265,90.0,66.04777455692951
6055.0,Napa,California,2021-03-30,9422,2021,136265,92.0,67.51550288041683
6055.0,Napa,California,2021-04-06,9540,2021,136265,118.0,86.59597108575203
6055.0,Napa,California,2021-04-13,9658,2021,136265,118.0,86.59597108575203
6055.0,Napa,California,2021-04-20,9742,2021,136265,84.0,61.644589586467546
6055.0,Napa,California,2021-04-27,9805,2021,136265,63.0,46.233442189850656
6055.0,Napa,California,2021-05-04,9857,2021,136265,52.0,38.16093641067039
6055.0,Napa,California,2021-05-11,9903,2021,136265,46.0,33.757751440208416
6055.0,Napa,California,2021-05-18,9938,2021,136265,35.0,25.685245661028144
6055.0,Napa,California,2021-05-25,9959,2021,136265,21.0,15.411147396616887
6055.0,Napa,California,2021-06-01,9984,2021,136265,25.0,18.34660404359153
6055.0,Napa,California,2021-06-08,9997,2021,136265,13.0,9.540234102667597
6055.0,Napa,California,2021-06-15,10045,2021,136265,48.0,35.22547976369574
6055.0,Napa,California,2021-06-22,10065,2021,136265,20.0,14.677283234873224
6055.0,Napa,California,2021-06-29,10070,2021,136265,5.0,3.669320808718306
6055.0,Napa,California,2021-07-06,10119,2021,136265,49.0,35.9593439254394
6055.0,Napa,California,2021-07-13,10157,2021,136265,38.0,27.886838146259127
6055.0,Napa,California,2021-07-20,10237,2021,136265,80.0,58.709132939492896
6055.0,Napa,California,2021-07-27,10401,2021,136265,164.0,120.35372252596045
6055.0,Napa,California,2021-08-03,10585,2021,136265,184.0,135.03100576083366
6055.0,Napa,California,2021-08-10,10765,2021,136265,180.0,132.09554911385902
6055.0,Napa,California,2021-08-17,11072,2021,136265,307.0,225.29629765530402
6055.0,Napa,California,2021-08-24,11366,2021,136265,294.0,215.7560635526364
6055.0,Napa,California,2021-08-31,11691,2021,136265,325.0,238.50585256668992
6055.0,Napa,California,2021-09-07,11890,2021,136265,199.0,146.0389681869886
6055.0,Napa,California,2021-09-14,12148,2021,136265,258.0,189.3369537298646
6055.0,Napa,California,2021-09-21,12324,2021,136265,176.0,129.16009246688438
6055.0,Napa,California,2021-09-28,12477,2021,136265,153.0,112.28121674678017
6055.0,Napa,California,2021-10-05,12629,2021,136265,152.0,111.5473525850365
6055.0,Napa,California,2021-10-12,12770,2021,136265,141.0,103.47484680585625
6055.0,Napa,California,2021-10-19,12873,2021,136265,103.0,75.58800865959711
6055.0,Napa,California,2021-10-26,12954,2021,136265,81.0,59.442997101236564
6055.0,Napa,California,2021-11-02,13040,2021,136265,86.0,63.11231790995487
6055.0,Napa,California,2021-11-09,13162,2021,136265,122.0,89.53142773272667
6055.0,Napa,California,2021-11-16,13263,2021,136265,101.0,74.12028033610979
6055.0,Napa,California,2021-11-23,13371,2021,136265,108.0,79.25732946831542
6055.0,Napa,California,2021-11-30,13423,2021,136265,52.0,38.16093641067039
6055.0,Napa,California,2021-12-07,13533,2021,136265,110.0,80.72505779180274
6055.0,Napa,California,2021-12-14,13659,2021,136265,126.0,92.46688437970131
6055.0,Napa,California,2021-12-21,13858,2021,136265,199.0,146.0389681869886
6055.0,Napa,California,2021-12-28,14338,2021,136265,480.0,352.2547976369574
6055.0,Napa,California,2022-01-04,15699,2022,134370,1361.0,1012.874897670611
6055.0,Napa,California,2022-01-11,17493,2022,134370,1794.0,1335.1194463049787
6055.0,Napa,California,2022-01-18,20506,2022,134370,3013.0,2242.3159931532336
6055.0,Napa,California,2022-01-25,22387,2022,134370,1881.0,1399.8660415271268
6055.0,Napa,California,2022-02-01,23622,2022,134370,1235.0,919.1039666592245
