fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
6081.0,San Mateo,California,2020-03-10,11,2020,762479,0.0,0.0
6081.0,San Mateo,California,2020-03-11,16,2020,762479,5.0,0.6557557650768087
6081.0,San Mateo,California,2020-03-12,22,2020,762479,6.0,0.7869069180921703
6081.0,San Mateo,California,2020-03-13,25,2020,762479,3.0,0.39345345904608514
6081.0,San Mateo,California,2020-03-14,28,2020,762479,3.0,0.39345345904608514
6081.0,San Mateo,California,2020-03-15,30,2020,762479,2.0,0.26230230603072346
6081.0,San Mateo,California,2020-03-16,44,2020,762479,14.0,1.8361161422150643
6081.0,San Mateo,California,2020-03-17,48,2020,762479,4.0,0.5246046120614469
6081.0,San Mateo,California,2020-03-18,59,2020,762479,11.0,1.442662683168979
6081.0,San Mateo,California,2020-03-19,60,2020,762479,1.0,0.13115115301536173
6081.0,San Mateo,California,2020-03-20,73,2020,762479,13.0,1.7049649891997025
6081.0,San Mateo,California,2020-03-21,80,2020,762479,7.0,0.9180580711075321
6081.0,San Mateo,California,2020-03-22,84,2020,762479,4.0,0.5246046120614469
6081.0,San Mateo,California,2020-03-23,90,2020,762479,6.0,0.7869069180921703
6081.0,San Mateo,California,2020-03-24,102,2020,762479,12.0,1.5738138361843406
6081.0,San Mateo,California,2020-03-25,113,2020,762479,11.0,1.442662683168979
6081.0,San Mateo,California,2020-03-26,124,2020,762479,11.0,1.442662683168979
6081.0,San Mateo,California,2020-03-27,215,2020,762479,91.0,11.934754924397918
6081.0,San Mateo,California,2020-03-28,464,2020,762479,249.0,32.65663710082507
6081.0,San Mateo,California,2020-03-29,236,2020,762479,-228.0,-29.902462887502477
6081.0,San Mateo,California,2020-03-30,259,2020,762479,23.0,3.01647651935332
6081.0,San Mateo,California,2020-03-31,299,2020,762479,40.0,5.246046120614469
6081.0,San Mateo,California,2020-04-01,356,2020,762479,57.0,7.475615721875619
6081.0,San Mateo,California,2020-04-02,425,2020,762479,69.0,9.049429558059959
6081.0,San Mateo,California,2020-04-03,476,2020,762479,51.0,6.688708803783448
6081.0,San Mateo,California,2020-04-04,522,2020,762479,46.0,6.03295303870664
6081.0,San Mateo,California,2020-04-05,530,2020,762479,8.0,1.0492092241228939
6081.0,San Mateo,California,2020-04-06,571,2020,762479,41.0,5.3771972736298315
6081.0,San Mateo,California,2020-04-07,575,2020,762479,4.0,0.5246046120614469
6081.0,San Mateo,California,2020-04-08,610,2020,762479,35.0,4.59029035553766
6081.0,San Mateo,California,2020-04-09,632,2020,762479,22.0,2.885325366337958
6081.0,San Mateo,California,2020-04-10,644,2020,762479,12.0,1.5738138361843406
6081.0,San Mateo,California,2020-04-11,664,2020,762479,20.0,2.6230230603072346
6081.0,San Mateo,California,2020-04-12,666,2020,762479,2.0,0.26230230603072346
6081.0,San Mateo,California,2020-04-13,681,2020,762479,15.0,1.967267295230426
6081.0,San Mateo,California,2020-04-14,683,2020,762479,2.0,0.26230230603072346
6081.0,San Mateo,California,2020-04-15,709,2020,762479,26.0,3.409929978399405
6081.0,San Mateo,California,2020-04-16,747,2020,762479,38.0,4.983743814583746
6081.0,San Mateo,California,2020-04-17,770,2020,762479,23.0,3.01647651935332
6081.0,San Mateo,California,2020-04-18,823,2020,762479,53.0,6.951011109814171
6081.0,San Mateo,California,2020-04-19,847,2020,762479,24.0,3.147627672368681
6081.0,San Mateo,California,2020-04-20,892,2020,762479,45.0,5.9018018856912775
6081.0,San Mateo,California,2020-04-21,935,2020,762479,43.0,5.639499579660554
6081.0,San Mateo,California,2020-04-22,947,2020,762479,12.0,1.5738138361843406
6081.0,San Mateo,California,2020-04-23,972,2020,762479,25.0,3.2787788253840433
6081.0,San Mateo,California,2020-04-24,1006,2020,762479,34.0,4.459139202522299
6081.0,San Mateo,California,2020-04-25,1056,2020,762479,50.0,6.557557650768087
6081.0,San Mateo,California,2020-04-26,1072,2020,762479,16.0,2.0984184482457877
6081.0,San Mateo,California,2020-04-27,1094,2020,762479,22.0,2.885325366337958
6081.0,San Mateo,California,2020-04-28,1131,2020,762479,37.0,4.8525926615683845
6081.0,San Mateo,California,2020-04-29,1172,2020,762479,41.0,5.3771972736298315
6081.0,San Mateo,California,2020-04-30,1196,2020,762479,24.0,3.147627672368681
6081.0,San Mateo,California,2020-05-01,1224,2020,762479,28.0,3.6722322844301285
6081.0,San Mateo,California,2020-05-02,1274,2020,762479,50.0,6.557557650768087
6081.0,San Mateo,California,2020-05-03,1279,2020,762479,5.0,0.6557557650768087
6081.0,San Mateo,California,2020-05-04,1315,2020,762479,36.0,4.721441508553022
6081.0,San Mateo,California,2020-05-05,1337,2020,762479,22.0,2.885325366337958
6081.0,San Mateo,California,2020-05-06,1350,2020,762479,13.0,1.7049649891997025
6081.0,San Mateo,California,2020-05-07,1400,2020,762479,50.0,6.557557650768087
6081.0,San Mateo,California,2020-05-08,1425,2020,762479,25.0,3.2787788253840433
6081.0,San Mateo,California,2020-05-09,1455,2020,762479,30.0,3.934534590460852
6081.0,San Mateo,California,2020-05-10,1465,2020,762479,10.0,1.3115115301536173
6081.0,San Mateo,California,2020-05-11,1501,2020,762479,36.0,4.721441508553022
6081.0,San Mateo,California,2020-05-12,1535,2020,762479,34.0,4.459139202522299
6081.0,San Mateo,California,2020-05-13,1552,2020,762479,17.0,2.2295696012611494
