fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
06081,San Mateo,California,2020-03-10,11,2020,762479,0.0,0.0
06081,San Mateo,California,2020-03-17,48,2020,762479,37.0,4.8525926615683845
06081,San Mateo,California,2020-03-24,102,2020,762479,54.0,7.0821622628295335
06081,San Mateo,California,2020-03-31,299,2020,762479,197.0,25.83677714402626
06081,San Mateo,California,2020-04-07,575,2020,762479,276.0,36.197718232239836
06081,San Mateo,California,2020-04-14,683,2020,762479,108.0,14.164324525659067
06081,San Mateo,California,2020-04-21,935,2020,762479,252.0,33.05009055987116
06081,San Mateo,California,2020-04-28,1131,2020,762479,196.0,25.705625991010898
06081,San Mateo,California,2020-05-05,1337,2020,762479,206.0,27.017137521164514
06081,San Mateo,California,2020-05-12,1535,2020,762479,198.0,25.96792829704162
06081,San Mateo,California,2020-05-19,1706,2020,762479,171.0,22.426847165626857
06081,San Mateo,California,2020-05-26,1969,2020,762479,263.0,34.492753243040134
06081,San Mateo,California,2020-06-02,2205,2020,762479,236.0,30.95167211162537
06081,San Mateo,California,2020-06-09,2466,2020,762479,261.0,34.230450937009415
06081,San Mateo,California,2020-06-16,2621,2020,762479,155.0,20.32842871738107
06081,San Mateo,California,2020-06-23,2911,2020,762479,290.0,38.033834374454905
06081,San Mateo,California,2020-06-30,3274,2020,762479,363.0,47.607868544576306
06081,San Mateo,California,2020-07-07,3698,2020,762479,424.0,55.60808887851337
06081,San Mateo,California,2020-07-14,4180,2020,762479,482.0,63.21485575340436
06081,San Mateo,California,2020-07-21,4740,2020,762479,560.0,73.44464568860256
06081,San Mateo,California,2020-07-28,5178,2020,762479,438.0,57.44420502072844
06081,San Mateo,California,2020-08-04,5697,2020,762479,519.0,68.06744841497274
06081,San Mateo,California,2020-08-11,6346,2020,762479,649.0,85.11709830696977
06081,San Mateo,California,2020-08-18,7082,2020,762479,736.0,96.52724861930623
06081,San Mateo,California,2020-08-25,7644,2020,762479,562.0,73.7069479946333
06081,San Mateo,California,2020-09-01,8142,2020,762479,498.0,65.31327420165015
06081,San Mateo,California,2020-09-08,8470,2020,762479,328.0,43.01757818903865
06081,San Mateo,California,2020-09-15,8905,2020,762479,435.0,57.05075156168236
06081,San Mateo,California,2020-09-22,9301,2020,762479,396.0,51.93585659408324
06081,San Mateo,California,2020-09-29,9629,2020,762479,328.0,43.01757818903865
06081,San Mateo,California,2020-10-06,9945,2020,762479,316.0,41.44376435285431
06081,San Mateo,California,2020-10-13,10297,2020,762479,352.0,46.16520586140733
06081,San Mateo,California,2020-10-20,10670,2020,762479,373.0,48.91938007472993
06081,San Mateo,California,2020-10-27,11085,2020,762479,415.0,54.42772850137512
06081,San Mateo,California,2020-11-03,11417,2020,762479,332.0,43.5421828011001
06081,San Mateo,California,2020-11-10,11950,2020,762479,533.0,69.9035645571878
06081,San Mateo,California,2020-11-17,12503,2020,762479,553.0,72.52658761749504
06081,San Mateo,California,2020-11-24,13573,2020,762479,1070.0,140.33173372643705
06081,San Mateo,California,2020-12-01,14513,2020,762479,940.0,123.28208383444003
06081,San Mateo,California,2020-12-08,16328,2020,762479,1815.0,238.03934272288154
06081,San Mateo,California,2020-12-15,18962,2020,762479,2634.0,345.45213704246277
06081,San Mateo,California,2020-12-22,21461,2020,762479,2499.0,327.74673138538896
06081,San Mateo,California,2020-12-29,23884,2020,762479,2423.0,317.7792437562215
06081,San Mateo,California,2021-01-05,26643,2021,739149,2759.0,373.2670949970845
06081,San Mateo,California,2021-01-12,29947,2021,739149,3304.0,447.0005371041563
06081,San Mateo,California,2021-01-19,33005,2021,739149,3058.0,413.7190201163771
06081,San Mateo,California,2021-01-26,34767,2021,739149,1762.0,238.382247692955
06081,San Mateo,California,2021-02-02,36367,2021,739149,1600.0,216.46515114002725
06081,San Mateo,California,2021-02-09,37609,2021,739149,1242.0,168.03107357244616
06081,San Mateo,California,2021-02-16,38429,2021,739149,820.0,110.93838995926396
06081,San Mateo,California,2021-02-23,39066,2021,739149,637.0,86.18018829762335
06081,San Mateo,California,2021-03-02,39554,2021,739149,488.0,66.02187109770831
06081,San Mateo,California,2021-03-09,39949,2021,739149,395.0,53.43983418769423
06081,San Mateo,California,2021-03-16,40226,2021,739149,277.0,37.47552929111721
06081,San Mateo,California,2021-03-23,40458,2021,739149,232.0,31.38744691530395
06081,San Mateo,California,2021-03-30,40805,2021,739149,347.0,46.945879653493414
06081,San Mateo,California,2021-04-06,41080,2021,739149,275.0,37.204947852192184
06081,San Mateo,California,2021-04-13,41393,2021,739149,313.0,42.345995191767834
06081,San Mateo,California,2021-04-20,41696,2021,739149,303.0,40.99308799714266
06081,San Mateo,California,2021-04-27,41925,2021,739149,229.0,30.981574756916398
06081,San Mateo,California,2021-05-04,42167,2021,739149,242.0,32.74035410992912
06081,San Mateo,California,2021-05-11,42446,2021,739149,279.0,37.74611073004225
06081,San Mateo,California,2021-05-18,42563,2021,739149,117.0,15.829014177114493
06081,San Mateo,California,2021-05-25,42736,2021,739149,173.0,23.405294467015448
06081,San Mateo,California,2021-06-01,42852,2021,739149,116.0,15.693723457651975
06081,San Mateo,California,2021-06-08,42959,2021,739149,107.0,14.476106982489322
06081,San Mateo,California,2021-06-15,43066,2021,739149,107.0,14.476106982489322
06081,San Mateo,California,2021-06-22,43202,2021,739149,136.0,18.399537846902316
06081,San Mateo,California,2021-06-29,43027,2021,739149,-175.0,-23.67587590594048
06081,San Mateo,California,2021-07-06,43388,2021,739149,361.0,48.83994972596865
06081,San Mateo,California,2021-07-13,43696,2021,739149,308.0,41.66954159445525
06081,San Mateo,California,2021-07-20,44213,2021,739149,517.0,69.9453019621213
06081,San Mateo,California,2021-07-27,44956,2021,739149,743.0,100.52100456065016
06081,San Mateo,California,2021-08-03,45892,2021,739149,936.0,126.63211341691594
06081,San Mateo,California,2021-08-10,46842,2021,739149,950.0,128.52618348939117
06081,San Mateo,California,2021-08-17,47810,2021,739149,968.0,130.9614164397165
06081,San Mateo,California,2021-08-24,48751,2021,739149,941.0,127.30856701422852
06081,San Mateo,California,2021-08-31,50026,2021,739149,1275.0,172.4956673147092
06081,San Mateo,California,2021-09-07,50656,2021,739149,630.0,85.23315326138574
06081,San Mateo,California,2021-09-14,51360,2021,739149,704.0,95.24466650161199
06081,San Mateo,California,2021-09-21,51909,2021,739149,549.0,74.27460498492185
06081,San Mateo,California,2021-09-28,52403,2021,739149,494.0,66.8336154144834
06081,San Mateo,California,2021-10-05,52805,2021,739149,402.0,54.386869223931846
06081,San Mateo,California,2021-10-12,53133,2021,739149,328.0,44.37535598370559
06081,San Mateo,California,2021-10-19,53435,2021,739149,302.0,40.85779727768014
06081,San Mateo,California,2021-10-26,53814,2021,739149,379.0,51.27518267629396
06081,San Mateo,California,2021-11-02,54212,2021,739149,398.0,53.845706346081776
06081,San Mateo,California,2021-11-09,54583,2021,739149,371.0,50.19285692059381
06081,San Mateo,California,2021-11-16,54943,2021,739149,360.0,48.704659006506134
06081,San Mateo,California,2021-11-23,55286,2021,739149,343.0,46.40471677564334
06081,San Mateo,California,2021-11-30,55598,2021,739149,312.0,42.210704472305316
06081,San Mateo,California,2021-12-07,56145,2021,739149,547.0,74.00402354599682
06081,San Mateo,California,2021-12-14,56615,2021,739149,470.0,63.586638147383006
06081,San Mateo,California,2021-12-21,57461,2021,739149,846.0,114.45594866528941
06081,San Mateo,California,2021-12-28,60077,2021,739149,2616.0,353.9205221139445
06081,San Mateo,California,2022-01-04,67445,2022,728929,7368.0,1010.7980338277115
06081,San Mateo,California,2022-01-11,80338,2022,728929,12893.0,1768.759371626043
06081,San Mateo,California,2022-01-18,93055,2022,728929,12717.0,1744.6143588744583
06081,San Mateo,California,2022-01-25,103863,2022,728929,10808.0,1482.7232830632338
06081,San Mateo,California,2022-02-01,110167,2022,728929,6304.0,864.8304567385849
06081,San Mateo,California,2022-02-08,121069,2022,728929,10902.0,1495.6189148737394
06081,San Mateo,California,2022-02-15,122918,2022,728929,1849.0,253.6598214640932
06081,San Mateo,California,2022-02-22,124149,2022,728929,1231.0,168.87790168864183
06081,San Mateo,California,2022-03-01,125125,2022,728929,976.0,133.8950707133342
06081,San Mateo,California,2022-03-08,125924,2022,728929,799.0,109.61287038929717
06081,San Mateo,California,2022-03-15,126446,2022,728929,522.0,71.61191282004145
06081,San Mateo,California,2022-03-22,126865,2022,728929,419.0,57.481592857466225
06081,San Mateo,California,2022-03-29,127359,2022,728929,494.0,67.77066079138024
06081,San Mateo,California,2022-04-05,127998,2022,728929,639.0,87.6628587969473
06081,San Mateo,California,2022-04-12,129191,2022,728929,1193.0,163.66477393545873
06081,San Mateo,California,2022-04-19,130393,2022,728929,1202.0,164.8994620875284
06081,San Mateo,California,2022-04-26,132264,2022,728929,1871.0,256.6779480580413
06081,San Mateo,California,2022-05-03,134232,2022,728929,1968.0,269.9851425859034
06081,San Mateo,California,2022-05-10,136464,2022,728929,2232.0,306.20266171328075
06081,San Mateo,California,2022-05-17,139279,2022,728929,2815.0,386.1830164529055
06081,San Mateo,California,2022-05-24,142707,2022,728929,3428.0,470.27899836609595
06081,San Mateo,California,2022-05-31,146107,2022,728929,3400.0,466.43774633743476
06081,San Mateo,California,2022-06-07,149404,2022,728929,3297.0,452.3074263748595
06081,San Mateo,California,2022-06-14,152342,2022,728929,2938.0,403.0570878645245
06081,San Mateo,California,2022-06-21,154991,2022,728929,2649.0,363.4098794258426
06081,San Mateo,California,2022-06-28,157919,2022,728929,2928.0,401.68521214000265
06081,San Mateo,California,2022-07-05,160897,2022,728929,2978.0,408.544590762612
06081,San Mateo,California,2022-07-12,163578,2022,728929,2681.0,367.79988174431253
06081,San Mateo,California,2022-07-19,166019,2022,728929,2441.0,334.87486435578774
06081,San Mateo,California,2022-07-26,168297,2022,728929,2278.0,312.5132900460813
06081,San Mateo,California,2022-08-02,170311,2022,728929,2014.0,276.295770918704
06081,San Mateo,California,2022-08-09,172002,2022,728929,1691.0,231.98418501664773
06081,San Mateo,California,2022-08-16,173404,2022,728929,1402.0,192.33697657796577
06081,San Mateo,California,2022-08-23,174549,2022,728929,1145.0,157.07977045775377
06081,San Mateo,California,2022-08-30,175452,2022,728929,903.0,123.8803779243246
06081,San Mateo,California,2022-09-06,176233,2022,728929,781.0,107.14349408515781
06081,San Mateo,California,2022-09-13,176958,2022,728929,725.0,99.46099002783536
06081,San Mateo,California,2022-09-20,177553,2022,728929,595.0,81.62660560905108
06081,San Mateo,California,2022-09-27,178256,2022,728929,703.0,96.44286343388725
06081,San Mateo,California,2022-10-04,178903,2022,728929,647.0,88.7603593765648
06081,San Mateo,California,2022-10-11,179449,2022,728929,546.0,74.90441455889393
06081,San Mateo,California,2022-10-18,180004,2022,728929,555.0,76.13910271096361
06081,San Mateo,California,2022-10-25,180488,2022,728929,484.0,66.39878506685837
06081,San Mateo,California,2022-11-01,181034,2022,728929,546.0,74.90441455889393
06081,San Mateo,California,2022-11-08,181791,2022,728929,757.0,103.85099234630533
06081,San Mateo,California,2022-11-15,182496,2022,728929,705.0,96.71723857879162
06081,San Mateo,California,2022-11-22,183258,2022,728929,762.0,104.53693020856626
06081,San Mateo,California,2022-11-29,184042,2022,728929,784.0,107.55505680251439
06081,San Mateo,California,2022-12-06,185631,2022,728929,1589.0,217.9910526265247
06081,San Mateo,California,2022-12-13,186884,2022,728929,1253.0,171.89602828258992
06081,San Mateo,California,2022-12-20,187938,2022,728929,1054.0,144.5957013646048
06081,San Mateo,California,2022-12-27,188791,2022,728929,853.0,117.02099930171526
06081,San Mateo,California,2023-01-03,189629,2023,726353,838.0,115.37090092558302
06081,San Mateo,California,2023-01-10,190531,2023,726353,902.0,124.18204371703565
06081,San Mateo,California,2023-01-17,190957,2023,726353,426.0,58.64916920560664
06081,San Mateo,California,2023-01-24,191303,2023,726353,346.0,47.63524071629084
06081,San Mateo,California,2023-01-31,191982,2023,726353,679.0,93.48071805306786
06081,San Mateo,California,2023-02-07,192551,2023,726353,569.0,78.33656638025863
06081,San Mateo,California,2023-02-14,193122,2023,726353,571.0,78.61191459249153
06081,San Mateo,California,2023-02-21,193658,2023,726353,536.0,73.79332087841587
06081,San Mateo,California,2023-02-28,194128,2023,726353,470.0,64.70682987473033
