fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
6085.0,Santa Clara,California,2020-03-10,43,2020,1931168,0.0,0.0
6085.0,Santa Clara,California,2020-03-11,46,2020,1931168,3.0,0.1553464017630781
6085.0,Santa Clara,California,2020-03-12,49,2020,1931168,3.0,0.1553464017630781
6085.0,Santa Clara,California,2020-03-13,57,2020,1931168,8.0,0.4142570713682083
6085.0,Santa Clara,California,2020-03-14,60,2020,1931168,3.0,0.1553464017630781
6085.0,Santa Clara,California,2020-03-15,77,2020,1931168,17.0,0.8802962766574426
6085.0,Santa Clara,California,2020-03-16,113,2020,1931168,36.0,1.8641568211569373
6085.0,Santa Clara,California,2020-03-17,119,2020,1931168,6.0,0.3106928035261562
6085.0,Santa Clara,California,2020-03-18,149,2020,1931168,30.0,1.5534640176307808
6085.0,Santa Clara,California,2020-03-19,181,2020,1931168,32.0,1.657028285472833
6085.0,Santa Clara,California,2020-03-20,244,2020,1931168,63.0,3.2622744370246397
6085.0,Santa Clara,California,2020-03-21,267,2020,1931168,23.0,1.1909890801835987
6085.0,Santa Clara,California,2020-03-22,282,2020,1931168,15.0,0.7767320088153904
6085.0,Santa Clara,California,2020-03-23,334,2020,1931168,52.0,2.6926709638933537
6085.0,Santa Clara,California,2020-03-24,387,2020,1931168,53.0,2.7444530978143797
6085.0,Santa Clara,California,2020-03-25,450,2020,1931168,63.0,3.2622744370246397
6085.0,Santa Clara,California,2020-03-26,485,2020,1931168,35.0,1.812374687235911
6085.0,Santa Clara,California,2020-03-27,555,2020,1931168,70.0,3.624749374471822
6085.0,Santa Clara,California,2020-03-28,1172,2020,1931168,617.0,31.94957662927306
6085.0,Santa Clara,California,2020-03-29,589,2020,1931168,-583.0,-30.188984075958174
6085.0,Santa Clara,California,2020-03-30,743,2020,1931168,154.0,7.974448623838009
6085.0,Santa Clara,California,2020-03-31,775,2020,1931168,32.0,1.657028285472833
6085.0,Santa Clara,California,2020-04-01,806,2020,1931168,31.0,1.605246151551807
6085.0,Santa Clara,California,2020-04-02,909,2020,1931168,103.0,5.333559793865682
6085.0,Santa Clara,California,2020-04-03,984,2020,1931168,75.0,3.8836600440769526
6085.0,Santa Clara,California,2020-04-04,1046,2020,1931168,62.0,3.210492303103614
6085.0,Santa Clara,California,2020-04-05,1053,2020,1931168,7.0,0.36247493744718223
6085.0,Santa Clara,California,2020-04-06,1129,2020,1931168,76.0,3.9354421779979787
6085.0,Santa Clara,California,2020-04-07,1194,2020,1931168,65.0,3.3658387048666922
6085.0,Santa Clara,California,2020-04-08,1259,2020,1931168,65.0,3.3658387048666922
6085.0,Santa Clara,California,2020-04-09,1303,2020,1931168,44.0,2.2784138925251454
6085.0,Santa Clara,California,2020-04-10,1353,2020,1931168,50.0,2.5891066960513016
6085.0,Santa Clara,California,2020-04-11,1443,2020,1931168,90.0,4.660392052892343
6085.0,Santa Clara,California,2020-04-12,1463,2020,1931168,20.0,1.0356426784205206
6085.0,Santa Clara,California,2020-04-13,1542,2020,1931168,79.0,4.090788579761057
6085.0,Santa Clara,California,2020-04-14,1563,2020,1931168,21.0,1.0874248123415466
6085.0,Santa Clara,California,2020-04-15,1694,2020,1931168,131.0,6.783459543654411
6085.0,Santa Clara,California,2020-04-16,1791,2020,1931168,97.0,5.022866990339525
6085.0,Santa Clara,California,2020-04-17,1836,2020,1931168,45.0,2.3301960264461714
6085.0,Santa Clara,California,2020-04-18,1864,2020,1931168,28.0,1.449899749788729
6085.0,Santa Clara,California,2020-04-19,1880,2020,1931168,16.0,0.8285141427364165
6085.0,Santa Clara,California,2020-04-20,1922,2020,1931168,42.0,2.1748496246830933
6085.0,Santa Clara,California,2020-04-21,1945,2020,1931168,23.0,1.1909890801835987
6085.0,Santa Clara,California,2020-04-22,1971,2020,1931168,26.0,1.3463354819466768
6085.0,Santa Clara,California,2020-04-23,1998,2020,1931168,27.0,1.398117615867703
6085.0,Santa Clara,California,2020-04-24,2028,2020,1931168,30.0,1.5534640176307808
6085.0,Santa Clara,California,2020-04-25,2047,2020,1931168,19.0,0.9838605444994947
6085.0,Santa Clara,California,2020-04-26,2100,2020,1931168,53.0,2.7444530978143797
6085.0,Santa Clara,California,2020-04-27,2108,2020,1931168,8.0,0.4142570713682083
6085.0,Santa Clara,California,2020-04-28,2135,2020,1931168,27.0,1.398117615867703
6085.0,Santa Clara,California,2020-04-29,2152,2020,1931168,17.0,0.8802962766574426
6085.0,Santa Clara,California,2020-04-30,2177,2020,1931168,25.0,1.2945533480256508
6085.0,Santa Clara,California,2020-05-01,2181,2020,1931168,4.0,0.20712853568410414
6085.0,Santa Clara,California,2020-05-02,2208,2020,1931168,27.0,1.398117615867703
6085.0,Santa Clara,California,2020-05-03,2240,2020,1931168,32.0,1.657028285472833
6085.0,Santa Clara,California,2020-05-04,2243,2020,1931168,3.0,0.1553464017630781
6085.0,Santa Clara,California,2020-05-05,2254,2020,1931168,11.0,0.5696034731312863
6085.0,Santa Clara,California,2020-05-06,2276,2020,1931168,22.0,1.1392069462625727
6085.0,Santa Clara,California,2020-05-07,2288,2020,1931168,12.0,0.6213856070523124
6085.0,Santa Clara,California,2020-05-08,2292,2020,1931168,4.0,0.20712853568410414
6085.0,Santa Clara,California,2020-05-09,2324,2020,1931168,32.0,1.657028285472833
6085.0,Santa Clara,California,2020-05-10,2338,2020,1931168,14.0,0.7249498748943645
6085.0,Santa Clara,California,2020-05-11,2347,2020,1931168,9.0,0.4660392052892343
6085.0,Santa Clara,California,2020-05-12,2369,2020,1931168,22.0,1.1392069462625727
6085.0,Santa Clara,California,2020-05-13,2377,2020,1931168,8.0,0.4142570713682083
6085.0,Santa Clara,California,2020-05-14,2387,2020,1931168,10.0,0.5178213392102603
6085.0,Santa Clara,California,2020-05-15,2402,2020,1931168,15.0,0.7767320088153904
6085.0,Santa Clara,California,2020-05-16,2428,2020,1931168,26.0,1.3463354819466768
6085.0,Santa Clara,California,2020-05-17,2461,2020,1931168,33.0,1.708810419393859
6085.0,Santa Clara,California,2020-05-18,2476,2020,1931168,15.0,0.7767320088153904
6085.0,Santa Clara,California,2020-05-19,2488,2020,1931168,12.0,0.6213856070523124
6085.0,Santa Clara,California,2020-05-20,2516,2020,1931168,28.0,1.449899749788729
6085.0,Santa Clara,California,2020-05-21,2529,2020,1931168,13.0,0.6731677409733384
6085.0,Santa Clara,California,2020-05-22,2546,2020,1931168,17.0,0.8802962766574426
6085.0,Santa Clara,California,2020-05-23,2602,2020,1931168,56.0,2.899799499577458
6085.0,Santa Clara,California,2020-05-24,2633,2020,1931168,31.0,1.605246151551807
6085.0,Santa Clara,California,2020-05-25,2657,2020,1931168,24.0,1.2427712141046248
6085.0,Santa Clara,California,2020-05-26,2669,2020,1931168,12.0,0.6213856070523124
6085.0,Santa Clara,California,2020-05-27,2690,2020,1931168,21.0,1.0874248123415466
6085.0,Santa Clara,California,2020-05-28,2708,2020,1931168,18.0,0.9320784105784686
6085.0,Santa Clara,California,2020-05-29,2717,2020,1931168,9.0,0.4660392052892343
6085.0,Santa Clara,California,2020-05-30,2751,2020,1931168,34.0,1.7605925533148852
6085.0,Santa Clara,California,2020-05-31,2795,2020,1931168,44.0,2.2784138925251454
6085.0,Santa Clara,California,2020-06-01,2807,2020,1931168,12.0,0.6213856070523124
6085.0,Santa Clara,California,2020-06-02,2830,2020,1931168,23.0,1.1909890801835987
6085.0,Santa Clara,California,2020-06-03,2847,2020,1931168,17.0,0.8802962766574426
6085.0,Santa Clara,California,2020-06-04,2882,2020,1931168,35.0,1.812374687235911
6085.0,Santa Clara,California,2020-06-05,2913,2020,1931168,31.0,1.605246151551807
6085.0,Santa Clara,California,2020-06-06,2945,2020,1931168,32.0,1.657028285472833
6085.0,Santa Clara,California,2020-06-07,2958,2020,1931168,13.0,0.6731677409733384
6085.0,Santa Clara,California,2020-06-08,2982,2020,1931168,24.0,1.2427712141046248
