fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
6085.0,Santa Clara,California,2020-03-10,43,2020,1931168,0.0,0.0
6085.0,Santa Clara,California,2020-03-17,119,2020,1931168,76.0,3.9354421779979787
6085.0,Santa Clara,California,2020-03-24,387,2020,1931168,268.0,13.877611890834975
6085.0,Santa Clara,California,2020-03-31,775,2020,1931168,388.0,20.0914679613581
6085.0,Santa Clara,California,2020-04-07,1194,2020,1931168,419.0,21.69671411290991
6085.0,Santa Clara,California,2020-04-14,1563,2020,1931168,369.0,19.107607416858606
6085.0,Santa Clara,California,2020-04-21,1945,2020,1931168,382.0,19.780775157831943
6085.0,Santa Clara,California,2020-04-28,2135,2020,1931168,190.0,9.838605444994947
6085.0,Santa Clara,California,2020-05-05,2254,2020,1931168,119.0,6.162073936602098
6085.0,Santa Clara,California,2020-05-12,2369,2020,1931168,115.0,5.954945400917993
6085.0,Santa Clara,California,2020-05-19,2488,2020,1931168,119.0,6.162073936602098
6085.0,Santa Clara,California,2020-05-26,2669,2020,1931168,181.0,9.372566239705712
6085.0,Santa Clara,California,2020-06-02,2830,2020,1931168,161.0,8.336923561285191
6085.0,Santa Clara,California,2020-06-09,3017,2020,1931168,187.0,9.683259043231867
6085.0,Santa Clara,California,2020-06-16,3240,2020,1931168,223.0,11.547415864388805
6085.0,Santa Clara,California,2020-06-23,3714,2020,1931168,474.0,24.54473147856634
6085.0,Santa Clara,California,2020-06-30,4360,2020,1931168,646.0,33.45125851298282
6085.0,Santa Clara,California,2020-07-07,5454,2020,1931168,1094.0,56.649654509602485
6085.0,Santa Clara,California,2020-07-14,6704,2020,1931168,1250.0,64.72766740128255
6085.0,Santa Clara,California,2020-07-21,8014,2020,1931168,1310.0,67.8345954365441
6085.0,Santa Clara,California,2020-07-28,9333,2020,1931168,1319.0,68.30063464183334
6085.0,Santa Clara,California,2020-08-04,11014,2020,1931168,1681.0,87.04576712124477
6085.0,Santa Clara,California,2020-08-11,12950,2020,1931168,1936.0,100.2502112711064
6085.0,Santa Clara,California,2020-08-18,14817,2020,1931168,1867.0,96.6772440305556
6085.0,Santa Clara,California,2020-08-25,16233,2020,1931168,1416.0,73.32350163217286
6085.0,Santa Clara,California,2020-09-01,17354,2020,1931168,1121.0,58.04777212547018
