fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
6097.0,Sonoma,California,2020-03-10,2,2020,488282,0.0,0.0
6097.0,Sonoma,California,2020-03-11,2,2020,488282,0.0,0.0
6097.0,Sonoma,California,2020-03-12,2,2020,488282,0.0,0.0
6097.0,Sonoma,California,2020-03-13,2,2020,488282,0.0,0.0
6097.0,Sonoma,California,2020-03-14,2,2020,488282,0.0,0.0
6097.0,Sonoma,California,2020-03-15,4,2020,488282,2.0,0.4095993708553664
6097.0,Sonoma,California,2020-03-16,4,2020,488282,0.0,0.0
6097.0,Sonoma,California,2020-03-17,4,2020,488282,0.0,0.0
6097.0,Sonoma,California,2020-03-18,6,2020,488282,2.0,0.4095993708553664
6097.0,Sonoma,California,2020-03-19,8,2020,488282,2.0,0.4095993708553664
6097.0,Sonoma,California,2020-03-20,7,2020,488282,-1.0,-0.2047996854276832
6097.0,Sonoma,California,2020-03-21,15,2020,488282,8.0,1.6383974834214656
6097.0,Sonoma,California,2020-03-22,18,2020,488282,3.0,0.6143990562830496
6097.0,Sonoma,California,2020-03-23,19,2020,488282,1.0,0.2047996854276832
6097.0,Sonoma,California,2020-03-24,27,2020,488282,8.0,1.6383974834214656
6097.0,Sonoma,California,2020-03-25,31,2020,488282,4.0,0.8191987417107328
6097.0,Sonoma,California,2020-03-26,33,2020,488282,2.0,0.4095993708553664
6097.0,Sonoma,California,2020-03-27,35,2020,488282,2.0,0.4095993708553664
6097.0,Sonoma,California,2020-03-28,70,2020,488282,35.0,7.167988989968911
6097.0,Sonoma,California,2020-03-29,35,2020,488282,-35.0,-7.167988989968911
6097.0,Sonoma,California,2020-03-30,57,2020,488282,22.0,4.505593079409031
6097.0,Sonoma,California,2020-03-31,58,2020,488282,1.0,0.2047996854276832
6097.0,Sonoma,California,2020-04-01,60,2020,488282,2.0,0.4095993708553664
6097.0,Sonoma,California,2020-04-02,76,2020,488282,16.0,3.2767949668429313
6097.0,Sonoma,California,2020-04-03,84,2020,488282,8.0,1.6383974834214656
6097.0,Sonoma,California,2020-04-04,88,2020,488282,4.0,0.8191987417107328
6097.0,Sonoma,California,2020-04-05,88,2020,488282,0.0,0.0
6097.0,Sonoma,California,2020-04-06,102,2020,488282,14.0,2.8671955959875643
6097.0,Sonoma,California,2020-04-07,102,2020,488282,0.0,0.0
6097.0,Sonoma,California,2020-04-08,107,2020,488282,5.0,1.023998427138416
6097.0,Sonoma,California,2020-04-09,113,2020,488282,6.0,1.2287981125660992
6097.0,Sonoma,California,2020-04-10,129,2020,488282,16.0,3.2767949668429313
6097.0,Sonoma,California,2020-04-11,131,2020,488282,2.0,0.4095993708553664
6097.0,Sonoma,California,2020-04-12,131,2020,488282,0.0,0.0
6097.0,Sonoma,California,2020-04-13,133,2020,488282,2.0,0.4095993708553664
6097.0,Sonoma,California,2020-04-14,133,2020,488282,0.0,0.0
6097.0,Sonoma,California,2020-04-15,140,2020,488282,7.0,1.4335977979937822
6097.0,Sonoma,California,2020-04-16,145,2020,488282,5.0,1.023998427138416
6097.0,Sonoma,California,2020-04-17,167,2020,488282,22.0,4.505593079409031
6097.0,Sonoma,California,2020-04-18,168,2020,488282,1.0,0.2047996854276832
6097.0,Sonoma,California,2020-04-19,172,2020,488282,4.0,0.8191987417107328
6097.0,Sonoma,California,2020-04-20,178,2020,488282,6.0,1.2287981125660992
6097.0,Sonoma,California,2020-04-21,182,2020,488282,4.0,0.8191987417107328
6097.0,Sonoma,California,2020-04-22,185,2020,488282,3.0,0.6143990562830496
6097.0,Sonoma,California,2020-04-23,187,2020,488282,2.0,0.4095993708553664
6097.0,Sonoma,California,2020-04-24,199,2020,488282,12.0,2.4575962251321983
6097.0,Sonoma,California,2020-04-25,199,2020,488282,0.0,0.0
6097.0,Sonoma,California,2020-04-26,216,2020,488282,17.0,3.481594652270614
6097.0,Sonoma,California,2020-04-27,220,2020,488282,4.0,0.8191987417107328
6097.0,Sonoma,California,2020-04-28,226,2020,488282,6.0,1.2287981125660992
6097.0,Sonoma,California,2020-04-29,230,2020,488282,4.0,0.8191987417107328
6097.0,Sonoma,California,2020-04-30,233,2020,488282,3.0,0.6143990562830496
6097.0,Sonoma,California,2020-05-01,242,2020,488282,9.0,1.8431971688491486
6097.0,Sonoma,California,2020-05-02,250,2020,488282,8.0,1.6383974834214656
6097.0,Sonoma,California,2020-05-03,254,2020,488282,4.0,0.8191987417107328
6097.0,Sonoma,California,2020-05-04,256,2020,488282,2.0,0.4095993708553664
6097.0,Sonoma,California,2020-05-05,263,2020,488282,7.0,1.4335977979937822
6097.0,Sonoma,California,2020-05-06,269,2020,488282,6.0,1.2287981125660992
6097.0,Sonoma,California,2020-05-07,282,2020,488282,13.0,2.6623959105598813
6097.0,Sonoma,California,2020-05-08,285,2020,488282,3.0,0.6143990562830496
6097.0,Sonoma,California,2020-05-09,288,2020,488282,3.0,0.6143990562830496
6097.0,Sonoma,California,2020-05-10,290,2020,488282,2.0,0.4095993708553664
6097.0,Sonoma,California,2020-05-11,303,2020,488282,13.0,2.6623959105598813
6097.0,Sonoma,California,2020-05-12,308,2020,488282,5.0,1.023998427138416
6097.0,Sonoma,California,2020-05-13,330,2020,488282,22.0,4.505593079409031
6097.0,Sonoma,California,2020-05-14,333,2020,488282,3.0,0.6143990562830496
6097.0,Sonoma,California,2020-05-15,349,2020,488282,16.0,3.2767949668429313
6097.0,Sonoma,California,2020-05-16,356,2020,488282,7.0,1.4335977979937822
6097.0,Sonoma,California,2020-05-17,376,2020,488282,20.0,4.095993708553664
6097.0,Sonoma,California,2020-05-18,387,2020,488282,11.0,2.2527965397045153
6097.0,Sonoma,California,2020-05-19,389,2020,488282,2.0,0.4095993708553664
6097.0,Sonoma,California,2020-05-20,411,2020,488282,22.0,4.505593079409031
6097.0,Sonoma,California,2020-05-21,427,2020,488282,16.0,3.2767949668429313
6097.0,Sonoma,California,2020-05-22,444,2020,488282,17.0,3.481594652270614
6097.0,Sonoma,California,2020-05-23,462,2020,488282,18.0,3.6863943376982973
6097.0,Sonoma,California,2020-05-24,485,2020,488282,23.0,4.710392764836713
6097.0,Sonoma,California,2020-05-25,496,2020,488282,11.0,2.2527965397045153
6097.0,Sonoma,California,2020-05-26,509,2020,488282,13.0,2.6623959105598813
6097.0,Sonoma,California,2020-05-27,522,2020,488282,13.0,2.6623959105598813
6097.0,Sonoma,California,2020-05-28,530,2020,488282,8.0,1.6383974834214656
6097.0,Sonoma,California,2020-05-29,538,2020,488282,8.0,1.6383974834214656
6097.0,Sonoma,California,2020-05-30,552,2020,488282,14.0,2.8671955959875643
6097.0,Sonoma,California,2020-05-31,556,2020,488282,4.0,0.8191987417107328
6097.0,Sonoma,California,2020-06-01,566,2020,488282,10.0,2.047996854276832
6097.0,Sonoma,California,2020-06-02,572,2020,488282,6.0,1.2287981125660992
6097.0,Sonoma,California,2020-06-03,579,2020,488282,7.0,1.4335977979937822
6097.0,Sonoma,California,2020-06-04,592,2020,488282,13.0,2.6623959105598813
6097.0,Sonoma,California,2020-06-05,620,2020,488282,28.0,5.734391191975129
6097.0,Sonoma,California,2020-06-06,624,2020,488282,4.0,0.8191987417107328
6097.0,Sonoma,California,2020-06-07,641,2020,488282,17.0,3.481594652270614
6097.0,Sonoma,California,2020-06-08,656,2020,488282,15.0,3.071995281415248
6097.0,Sonoma,California,2020-06-09,663,2020,488282,7.0,1.4335977979937822
6097.0,Sonoma,California,2020-06-10,675,2020,488282,12.0,2.4575962251321983
6097.0,Sonoma,California,2020-06-11,684,2020,488282,9.0,1.8431971688491486
6097.0,Sonoma,California,2020-06-12,698,2020,488282,14.0,2.8671955959875643
6097.0,Sonoma,California,2020-06-13,713,2020,488282,15.0,3.071995281415248
