fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
6097.0,Sonoma,California,2020-03-10,2,2020,488282,0.0,0.0
6097.0,Sonoma,California,2020-03-17,4,2020,488282,2.0,0.4095993708553664
6097.0,Sonoma,California,2020-03-24,27,2020,488282,23.0,4.710392764836713
6097.0,Sonoma,California,2020-03-31,58,2020,488282,31.0,6.348790248258179
6097.0,Sonoma,California,2020-04-07,102,2020,488282,44.0,9.011186158818061
6097.0,Sonoma,California,2020-04-14,133,2020,488282,31.0,6.348790248258179
6097.0,Sonoma,California,2020-04-21,182,2020,488282,49.0,10.035184585956477
6097.0,Sonoma,California,2020-04-28,226,2020,488282,44.0,9.011186158818061
6097.0,Sonoma,California,2020-05-05,263,2020,488282,37.0,7.577588360824278
6097.0,Sonoma,California,2020-05-12,308,2020,488282,45.0,9.215985844245743
6097.0,Sonoma,California,2020-05-19,389,2020,488282,81.0,16.58877451964234
6097.0,Sonoma,California,2020-05-26,509,2020,488282,120.0,24.575962251321982
6097.0,Sonoma,California,2020-06-02,572,2020,488282,63.0,12.902380181944041
6097.0,Sonoma,California,2020-06-09,663,2020,488282,91.0,18.63677137391917
6097.0,Sonoma,California,2020-06-16,741,2020,488282,78.0,15.974375463359287
6097.0,Sonoma,California,2020-06-23,916,2020,488282,175.0,35.83994494984456
6097.0,Sonoma,California,2020-06-30,1127,2020,488282,211.0,43.21273362524115
6097.0,Sonoma,California,2020-07-07,1478,2020,488282,351.0,71.8846895851168
6097.0,Sonoma,California,2020-07-14,1872,2020,488282,394.0,80.69107605850716
6097.0,Sonoma,California,2020-07-21,2206,2020,488282,334.0,68.40309493284619
6097.0,Sonoma,California,2020-07-28,2560,2020,488282,354.0,72.49908864139984
6097.0,Sonoma,California,2020-08-04,3116,2020,488282,556.0,113.86862509779185
6097.0,Sonoma,California,2020-08-11,3766,2020,488282,650.0,133.11979552799409
6097.0,Sonoma,California,2020-08-18,4525,2020,488282,759.0,155.44296123961152
6097.0,Sonoma,California,2020-08-25,5167,2020,488282,642.0,131.48139804457261
6097.0,Sonoma,California,2020-09-01,5753,2020,488282,586.0,120.01261566062233
6097.0,Sonoma,California,2020-09-08,6376,2020,488282,623.0,127.59020402144662
6097.0,Sonoma,California,2020-09-15,6721,2020,488282,345.0,70.65589147255069
6097.0,Sonoma,California,2020-09-22,7088,2020,488282,367.0,75.16148455195973
6097.0,Sonoma,California,2020-09-29,7448,2020,488282,360.0,73.72788675396595
6097.0,Sonoma,California,2020-10-06,7917,2020,488282,469.0,96.05105246558341
6097.0,Sonoma,California,2020-10-13,8479,2020,488282,562.0,115.09742321035796
6097.0,Sonoma,California,2020-10-20,8928,2020,488282,449.0,91.95505875702975
6097.0,Sonoma,California,2020-10-27,9417,2020,488282,489.0,100.14704617413707
6097.0,Sonoma,California,2020-11-03,9940,2020,488282,523.0,107.1102354786783
6097.0,Sonoma,California,2020-11-10,10449,2020,488282,509.0,104.24303988269075
6097.0,Sonoma,California,2020-11-17,11124,2020,488282,675.0,138.23978766368614
6097.0,Sonoma,California,2020-11-24,11698,2020,488282,574.0,117.55501943549015
6097.0,Sonoma,California,2020-12-01,12570,2020,488282,872.0,178.58532569293973
6097.0,Sonoma,California,2020-12-08,13687,2020,488282,1117.0,228.76124862272212
6097.0,Sonoma,California,2020-12-15,15502,2020,488282,1815.0,371.711429051245
6097.0,Sonoma,California,2020-12-22,17317,2020,488282,1815.0,371.711429051245
6097.0,Sonoma,California,2020-12-29,18898,2020,488282,1581.0,323.7883026611671
6097.0,Sonoma,California,2021-01-05,20361,2021,484519,1463.0,301.94894317869887
6097.0,Sonoma,California,2021-01-12,22520,2021,484519,2159.0,445.5965607127894
6097.0,Sonoma,California,2021-01-19,24254,2021,484519,1734.0,357.88070230475995
6097.0,Sonoma,California,2021-01-26,25403,2021,484519,1149.0,237.14240308429598
6097.0,Sonoma,California,2021-02-02,26196,2021,484519,793.0,163.66747227662898
6097.0,Sonoma,California,2021-02-09,26982,2021,484519,786.0,162.22274049108498
6097.0,Sonoma,California,2021-02-16,27555,2021,484519,573.0,118.26161615953143
6097.0,Sonoma,California,2021-02-23,28081,2021,484519,526.0,108.56127417087873
6097.0,Sonoma,California,2021-03-02,28479,2021,484519,398.0,82.14332152093107
6097.0,Sonoma,California,2021-03-09,28826,2021,484519,347.0,71.61741851196754
6097.0,Sonoma,California,2021-03-16,29090,2021,484519,264.0,54.487027340517095
6097.0,Sonoma,California,2021-03-23,29272,2021,484519,182.0,37.563026424144354
6097.0,Sonoma,California,2021-03-30,29469,2021,484519,197.0,40.658880250310105
6097.0,Sonoma,California,2021-04-06,29670,2021,484519,201.0,41.48444127062097
6097.0,Sonoma,California,2021-04-13,29836,2021,484519,166.0,34.260782342900896
6097.0,Sonoma,California,2021-04-20,29973,2021,484519,137.0,28.275464945647126
6097.0,Sonoma,California,2021-04-27,30067,2021,484519,94.0,19.400683977305327
6097.0,Sonoma,California,2021-05-04,30186,2021,484519,119.0,24.560440354248232
6097.0,Sonoma,California,2021-05-11,30290,2021,484519,104.0,21.46458652808249
6097.0,Sonoma,California,2021-05-18,30379,2021,484519,89.0,18.36873270191675
6097.0,Sonoma,California,2021-05-25,30535,2021,484519,156.0,32.19687979212373
6097.0,Sonoma,California,2021-06-01,30659,2021,484519,124.0,25.59239162963682
6097.0,Sonoma,California,2021-06-08,30869,2021,484519,210.0,43.34195356632041
6097.0,Sonoma,California,2021-06-15,31060,2021,484519,191.0,39.420538719843805
6097.0,Sonoma,California,2021-06-22,31291,2021,484519,231.0,47.67614892295246
6097.0,Sonoma,California,2021-06-29,31311,2021,484519,20.0,4.127805101554325
6097.0,Sonoma,California,2021-07-06,31493,2021,484519,182.0,37.563026424144354
6097.0,Sonoma,California,2021-07-13,31797,2021,484519,304.0,62.74263754362574
6097.0,Sonoma,California,2021-07-20,32135,2021,484519,338.0,69.75990621626809
6097.0,Sonoma,California,2021-07-27,32750,2021,484519,615.0,126.93000687279549
6097.0,Sonoma,California,2021-08-03,33641,2021,484519,891.0,183.89371727424518
6097.0,Sonoma,California,2021-08-10,34460,2021,484519,819.0,169.0336189086496
6097.0,Sonoma,California,2021-08-17,35373,2021,484519,913.0,188.43430288595493
6097.0,Sonoma,California,2021-08-24,36290,2021,484519,917.0,189.2598639062658
6097.0,Sonoma,California,2021-08-31,37832,2021,484519,1542.0,318.25377332983845
6097.0,Sonoma,California,2021-09-07,38470,2021,484519,638.0,131.67698273958297
6097.0,Sonoma,California,2021-09-14,39064,2021,484519,594.0,122.59581151616344
6097.0,Sonoma,California,2021-09-21,39523,2021,484519,459.0,94.73312708067176
6097.0,Sonoma,California,2021-09-28,39880,2021,484519,357.0,73.6813210627447
