date,county,state,fips,cases,deaths,delta_cases
2020-03-10,King,Washington,53033.0,191,23.0,0.0
2020-03-17,King,Washington,53033.0,518,47.0,327.0
2020-03-24,King,Washington,53033.0,1278,95.0,760.0
2020-03-31,King,Washington,53033.0,2332,152.0,1054.0
2020-04-07,King,Washington,53033.0,3488,232.0,1156.0
2020-04-14,King,Washington,53033.0,4622,305.0,1134.0
2020-04-21,King,Washington,53033.0,5381,374.0,759.0
2020-04-28,King,Washington,53033.0,6056,429.0,675.0
2020-05-05,King,Washington,53033.0,6655,471.0,599.0
2020-05-12,King,Washington,53033.0,7181,513.0,526.0
2020-05-19,King,Washington,53033.0,7584,536.0,403.0
2020-05-26,King,Washington,53033.0,7898,554.0,314.0
2020-06-02,King,Washington,53033.0,8237,572.0,339.0
2020-06-09,King,Washington,53033.0,8538,582.0,301.0
2020-06-16,King,Washington,53033.0,8857,597.0,319.0
2020-06-23,King,Washington,53033.0,9371,606.0,514.0
2020-06-30,King,Washington,53033.0,10198,612.0,827.0
2020-07-07,King,Washington,53033.0,11208,628.0,1010.0
2020-07-14,King,Washington,53033.0,12246,645.0,1038.0
2020-07-21,King,Washington,53033.0,13488,659.0,1242.0
2020-07-28,King,Washington,53033.0,14748,667.0,1260.0
2020-08-04,King,Washington,53033.0,15798,678.0,1050.0
2020-08-11,King,Washington,53033.0,16849,698.0,1051.0
2020-08-18,King,Washington,53033.0,18008,717.0,1159.0
2020-08-25,King,Washington,53033.0,18896,734.0,888.0
2020-09-01,King,Washington,53033.0,19730,747.0,834.0
2020-09-08,King,Washington,53033.0,20345,755.0,615.0
2020-09-15,King,Washington,53033.0,21032,767.0,687.0
2020-09-22,King,Washington,53033.0,21609,776.0,577.0
2020-09-29,King,Washington,53033.0,22282,780.0,673.0
2020-10-06,King,Washington,53033.0,23287,794.0,1005.0
2020-10-13,King,Washington,53033.0,24349,807.0,1062.0
2020-10-20,King,Washington,53033.0,25386,819.0,1037.0
2020-10-27,King,Washington,53033.0,26640,828.0,1254.0
2020-11-03,King,Washington,53033.0,28408,840.0,1768.0
2020-11-10,King,Washington,53033.0,31595,848.0,3187.0
2020-11-17,King,Washington,53033.0,35729,864.0,4134.0
2020-11-24,King,Washington,53033.0,40755,883.0,5026.0
2020-12-01,King,Washington,53033.0,45157,906.0,4402.0
2020-12-08,King,Washington,53033.0,50345,948.0,5188.0
2020-12-15,King,Washington,53033.0,54868,947.0,4523.0
2020-12-22,King,Washington,53033.0,58970,966.0,4102.0
2020-12-29,King,Washington,53033.0,61457,1024.0,2487.0
2021-01-05,King,Washington,53033.0,65836,1070.0,4379.0
2021-01-12,King,Washington,53033.0,70547,1124.0,4711.0
2021-01-19,King,Washington,53033.0,73669,1168.0,3122.0
2021-01-26,King,Washington,53033.0,76148,1222.0,2479.0
2021-02-02,King,Washington,53033.0,78680,1252.0,2532.0
2021-02-09,King,Washington,53033.0,80596,1292.0,1916.0
2021-02-16,King,Washington,53033.0,82024,1323.0,1428.0
2021-02-23,King,Washington,53033.0,83197,1373.0,1173.0
2021-03-02,King,Washington,53033.0,84328,1399.0,1131.0
2021-03-09,King,Washington,53033.0,85419,1429.0,1091.0
2021-03-16,King,Washington,53033.0,86657,1445.0,1238.0
2021-03-23,King,Washington,53033.0,88114,1454.0,1457.0
2021-03-30,King,Washington,53033.0,90335,1466.0,2221.0
2021-04-06,King,Washington,53033.0,92572,1477.0,2237.0
2021-04-13,King,Washington,53033.0,95003,1489.0,2431.0
2021-04-20,King,Washington,53033.0,97714,1503.0,2711.0
2021-04-27,King,Washington,53033.0,100479,1509.0,2765.0
2021-05-04,King,Washington,53033.0,103353,1526.0,2874.0
2021-05-11,King,Washington,53033.0,105692,1540.0,2339.0
2021-05-18,King,Washington,53033.0,107464,1552.0,1772.0
2021-05-25,King,Washington,53033.0,108616,1567.0,1152.0
2021-06-01,King,Washington,53033.0,109759,1587.0,1143.0
2021-06-08,King,Washington,53033.0,110567,1597.0,808.0
2021-06-15,King,Washington,53033.0,111242,1619.0,675.0
2021-06-22,King,Washington,53033.0,111759,1620.0,517.0
2021-06-29,King,Washington,53033.0,112516,1659.0,757.0
2021-07-06,King,Washington,53033.0,112996,1666.0,480.0
2021-07-13,King,Washington,53033.0,113784,1680.0,788.0
2021-07-20,King,Washington,53033.0,114750,1684.0,966.0
2021-07-27,King,Washington,53033.0,116357,1684.0,1607.0
2021-08-03,King,Washington,53033.0,118747,1685.0,2390.0
2021-08-10,King,Washington,53033.0,122724,1698.0,3977.0
2021-08-17,King,Washington,53033.0,126931,1712.0,4207.0
2021-08-24,King,Washington,53033.0,131365,1734.0,4434.0
2021-08-31,King,Washington,53033.0,135633,1769.0,4268.0
2021-09-07,King,Washington,53033.0,139733,1782.0,4100.0
2021-09-14,King,Washington,53033.0,143726,1824.0,3993.0
2021-09-21,King,Washington,53033.0,147291,1851.0,3565.0
2021-09-28,King,Washington,53033.0,150688,1876.0,3397.0
2021-10-05,King,Washington,53033.0,153870,1907.0,3182.0
2021-10-12,King,Washington,53033.0,156949,1928.0,3079.0
2021-10-19,King,Washington,53033.0,159828,1958.0,2879.0
2021-10-26,King,Washington,53033.0,162711,1990.0,2883.0
2021-11-02,King,Washington,53033.0,165512,2024.0,2801.0
2021-11-09,King,Washington,53033.0,167817,2047.0,2305.0
2021-11-16,King,Washington,53033.0,169923,2059.0,2106.0
2021-11-23,King,Washington,53033.0,171837,2078.0,1914.0
2021-11-30,King,Washington,53033.0,173130,2086.0,1293.0
2021-12-07,King,Washington,53033.0,175548,2117.0,2418.0
2021-12-14,King,Washington,53033.0,177616,2129.0,2068.0
2021-12-21,King,Washington,53033.0,182420,2140.0,4804.0
2021-12-28,King,Washington,53033.0,196625,2158.0,14205.0
2022-01-04,King,Washington,53033.0,214904,2172.0,18279.0
2022-01-11,King,Washington,53033.0,254174,2213.0,39270.0
2022-01-18,King,Washington,53033.0,288810,2248.0,34636.0
2022-01-25,King,Washington,53033.0,319375,2301.0,30565.0
2022-02-01,King,Washington,53033.0,346077,2330.0,26702.0
2022-02-08,King,Washington,53033.0,356460,2431.0,10383.0
2022-02-15,King,Washington,53033.0,361829,2484.0,5369.0
2022-02-22,King,Washington,53033.0,364445,2532.0,2616.0
2022-03-01,King,Washington,53033.0,365873,2569.0,1428.0
